effect_bundles_tables	1
key	localised_description	localised_title	ui_icon	bundle_target
wh2_dlc09_spell_nehekhara_djafs_incantation_of_cursed_blades_disable				force
wh2_dlc09_spell_nehekhara_djafs_incantation_of_cursed_blades_enable				force
wh2_dlc09_spell_nehekhara_nerus_incantation_of_protection_disable				force
wh2_dlc09_spell_nehekhara_nerus_incantation_of_protection_enable				force
wh2_dlc09_spell_nehekhara_ptras_incantation_of_righteous_smiting_disable				force
wh2_dlc09_spell_nehekhara_ptras_incantation_of_righteous_smiting_enable				force
wh2_dlc09_spell_nehekhara_sakhmets_incantation_of_the_skullstorm_disable				force
wh2_dlc09_spell_nehekhara_sakhmets_incantation_of_the_skullstorm_enable				force
wh2_dlc09_spell_nehekhara_usekhps_incantation_of_desiccation_disable				force
wh2_dlc09_spell_nehekhara_usekhps_incantation_of_desiccation_enable				force
wh2_dlc09_spell_nehekhara_usirians_incantation_of_vengeance_disable				force
wh2_dlc09_spell_nehekhara_usirians_incantation_of_vengeance_enable				force
wh2_dlc11_spell_deep_denizens_of_the_deep_disable				force
wh2_dlc11_spell_deep_denizens_of_the_deep_enable				force
wh2_dlc11_spell_deep_fog_of_the_damned_disable				force
wh2_dlc11_spell_deep_fog_of_the_damned_enable				force
wh2_dlc11_spell_deep_ghost_ship_disable				force
wh2_dlc11_spell_deep_ghost_ship_enable				force
wh2_dlc11_spell_deep_krakens_pull_disable				force
wh2_dlc11_spell_deep_krakens_pull_enable				force
wh2_dlc11_spell_deep_spiteful_shot_disable				force
wh2_dlc11_spell_deep_spiteful_shot_enable				force
wh2_dlc11_hero_abilities_bomb_throw_disable				force
wh2_dlc11_hero_abilities_bomb_throw_enable				force
wh2_dlc11_spell_deep_tidecall_disable				force
wh2_dlc11_spell_deep_tidecall_enable				force
wh2_dlc11_spell_beasts_transformation_of_kadon_disable				force
wh2_dlc11_spell_beasts_transformation_of_kadon_enable				force
wh2_dlc11_spell_vampires_drowned_dead_disable				force
wh2_dlc11_spell_vampires_drowned_dead_enable				force
wh2_main_spell_dark_magic_bladewind_disable				force
wh2_main_spell_dark_magic_bladewind_enable				force
wh2_main_spell_dark_magic_chillwind_disable				force
wh2_main_spell_dark_magic_chillwind_enable				force
wh2_main_spell_dark_magic_doombolt_disable				force
wh2_main_spell_dark_magic_doombolt_enable				force
wh2_main_spell_dark_magic_power_of_darkness_disable				force
wh2_main_spell_dark_magic_power_of_darkness_enable				force
wh2_main_spell_dark_magic_power_of_darkness_disable				force
wh2_main_spell_dark_magic_power_of_darkness_enable				force
wh2_main_spell_dark_magic_soul_stealer_disable				force
wh2_main_spell_dark_magic_soul_stealer_enable				force
wh2_main_spell_dark_magic_word_of_pain_disable				force
wh2_main_spell_dark_magic_word_of_pain_enable				force
wh2_main_spell_high_magic_apotheosis_disable				force
wh2_main_spell_high_magic_apotheosis_enable				force
wh2_main_spell_high_magic_arcane_unforging_disable				force
wh2_main_spell_high_magic_arcane_unforging_enable				force
wh2_main_spell_high_magic_fiery_convocation_disable				force
wh2_main_spell_high_magic_fiery_convocation_enable				force
wh2_main_spell_high_magic_hand_of_glory_disable				force
wh2_main_spell_high_magic_hand_of_glory_enable				force
wh2_main_spell_high_magic_soul_quench_disable				force
wh2_main_spell_high_magic_soul_quench_enable				force
wh2_main_spell_high_magic_tempest_disable				force
wh2_main_spell_high_magic_tempest_enable				force
wh2_main_spell_plague_bless_with_filth_disable				force
wh2_main_spell_plague_bless_with_filth_enable				force
wh2_main_spell_grey_seer_the_dreaded_thirteenth_spell_disable				force
wh2_main_spell_grey_seer_the_dreaded_thirteenth_spell_enable				force
wh2_main_spell_plague_pestilent_birth_disable				force
wh2_main_spell_plague_pestilent_birth_enable				force
wh2_main_spell_plague_pestilent_breath_disable				force
wh2_main_spell_plague_pestilent_breath_enable				force
wh2_main_spell_plague_plague_disable				force
wh2_main_spell_plague_plague_enable				force
wh2_main_spell_plague_vermintide_disable				force
wh2_main_spell_plague_vermintide_enable				force
wh2_main_spell_plague_wither_disable				force
wh2_main_spell_plague_wither_enable				force
wh2_main_spell_ruin_cracks_call_disable				force
wh2_main_spell_ruin_cracks_call_enable				force
wh2_main_spell_ruin_death_frenzy_disable				force
wh2_main_spell_ruin_death_frenzy_enable				force
wh2_main_spell_ruin_howling_warpgale_disable				force
wh2_main_spell_ruin_howling_warpgale_enable				force
wh2_main_spell_ruin_scorch_disable				force
wh2_main_spell_ruin_scorch_enable				force
wh2_main_spell_ruin_skitterleap_disable				force
wh2_main_spell_ruin_skitterleap_enable				force
wh2_main_spell_ruin_warp_lightning_disable				force
wh2_main_spell_ruin_warp_lightning_enable				force
wh_dlc03_spell_beasts_flock_of_doom_disable				force
wh_dlc03_spell_beasts_flock_of_doom_enable				force
wh_dlc03_spell_beasts_panns_impenetrable_pelt_disable				force
wh_dlc03_spell_beasts_panns_impenetrable_pelt_enable				force
wh_dlc03_spell_beasts_the_amber_spear_disable				force
wh_dlc03_spell_beasts_the_amber_spear_enable				force
wh_dlc03_spell_beasts_the_curse_of_anraheir_disable				force
wh_dlc03_spell_beasts_the_curse_of_anraheir_enable				force
wh_dlc03_spell_beasts_transformation_of_kadon_disable				force
wh_dlc03_spell_beasts_transformation_of_kadon_enable				force
wh_dlc03_spell_beasts_wyssans_wildform_disable				force
wh_dlc03_spell_beasts_wyssans_wildform_enable				force
wh_dlc03_spell_wild_bray_scream_disable				force
wh_dlc03_spell_wild_bray_scream_enable				force
wh_dlc03_spell_wild_devolve_disable				force
wh_dlc03_spell_wild_devolve_enable				force
wh_dlc03_spell_wild_mantle_of_ghorok_disable				force
wh_dlc03_spell_wild_mantle_of_ghorok_enable				force
wh_dlc03_spell_wild_savage_dominion_disable				force
wh_dlc03_spell_wild_savage_dominion_enable				force
wh_dlc03_spell_wild_traitor_kin_disable				force
wh_dlc03_spell_wild_traitor_kin_enable				force
wh_dlc03_spell_wild_viletide_disable				force
wh_dlc03_spell_wild_viletide_enable				force
wh_dlc04_spell_death_doom_and_darkness_strigoi_disable				force
wh_dlc04_spell_death_doom_and_darkness_strigoi_enable				force
wh_dlc04_spell_death_soulblight_strigoi_disable				force
wh_dlc04_spell_death_soulblight_strigoi_enable				force
wh_dlc04_spell_death_spirit_leech_strigoi_disable				force
wh_dlc04_spell_death_spirit_leech_strigoi_enable				force
wh_dlc04_spell_vampires_gaze_of_nagash_strigoi_disable				force
wh_dlc04_spell_vampires_gaze_of_nagash_strigoi_enable				force
wh_dlc04_spell_vampires_invocation_of_nehek_strigoi_disable				force
wh_dlc04_spell_vampires_invocation_of_nehek_strigoi_enable				force
wh_dlc04_spell_vampires_raise_dead_helman_disable				force
wh_dlc04_spell_vampires_raise_dead_helman_enable				force
wh_dlc04_spell_vampires_raise_dead_strigoi_disable				force
wh_dlc04_spell_vampires_raise_dead_strigoi_enable				force
wh_dlc05_lore_passive_life_bloom_disable				force
wh_dlc05_lore_passive_life_bloom_enable				force
wh_dlc05_lore_passive_smoke_and_mirrors_disable				force
wh_dlc05_lore_passive_smoke_and_mirrors_enable				force
wh_dlc05_spell_life_awakening_of_the_wood_disable				force
wh_dlc05_spell_life_awakening_of_the_wood_enable				force
wh_dlc05_spell_life_awakening_the_wood_branchwraith_disable				force
wh_dlc05_spell_life_awakening_the_wood_branchwraith_enable				force
wh_dlc05_spell_life_earth_blood_disable				force
wh_dlc05_spell_life_earth_blood_enable				force
wh_dlc05_spell_life_earth_blood_branchwraith_disable				force
wh_dlc05_spell_life_earth_blood_branchwraith_enable				force
wh_dlc05_spell_life_flesh_to_stone_disable				force
wh_dlc05_spell_life_flesh_to_stone_enable				force
wh_dlc05_spell_life_regrowth_disable				force
wh_dlc05_spell_life_regrowth_enable				force
wh_dlc05_spell_life_shield_of_thorns_disable				force
wh_dlc05_spell_life_shield_of_thorns_enable				force
wh_dlc05_spell_life_shield_of_thorns_branchwraith_disable				force
wh_dlc05_spell_life_shield_of_thorns_branchwraith_enable				force
wh_dlc05_spell_life_the_dwellers_below_disable				force
wh_dlc05_spell_life_the_dwellers_below_enable				force
wh_dlc08_spell_death_aspect_of_the_dreadknight_arzik_disable				force
wh_dlc08_spell_death_aspect_of_the_dreadknight_arzik_enable				force
wh_dlc08_spell_death_soulblight_arzik_disable				force
wh_dlc08_spell_death_soulblight_arzik_enable				force
wh_dlc08_spell_death_the_fate_of_bjuna_arzik_disable				force
