effect_bonus_value_unit_ability_junctions_tables	0
effect	bonus_value_id	unit_ability
wh2_dlc09_spell_nehekhara_disable_djafs_incantation_of_cursed_blades	disable	wh2_dlc09_spell_nehekhara_djafs_incantation_of_cursed_blades
wh2_dlc09_spell_nehekhara_disable_nerus_incantation_of_protection	disable	wh2_dlc09_spell_nehekhara_nerus_incantation_of_protection
wh2_dlc09_spell_nehekhara_disable_ptras_incantation_of_righteous_smiting	disable	wh2_dlc09_spell_nehekhara_ptras_incantation_of_righteous_smiting
wh2_dlc09_spell_nehekhara_disable_sakhmets_incantation_of_the_skullstorm	disable	wh2_dlc09_spell_nehekhara_sakhmets_incantation_of_the_skullstorm
wh2_dlc09_spell_nehekhara_disable_usekhps_incantation_of_desiccation	disable	wh2_dlc09_spell_nehekhara_usekhps_incantation_of_desiccation
wh2_dlc09_spell_nehekhara_disable_usirians_incantation_of_vengeance	disable	wh2_dlc09_spell_nehekhara_usirians_incantation_of_vengeance
wh2_dlc11_ability_disable_denizens_of_the_deep	disable	wh2_dlc11_spell_deep_denizens_of_the_deep
wh2_dlc11_ability_disable_fog_of_the_damned	disable	wh2_dlc11_spell_deep_fog_of_the_damned
wh2_dlc11_ability_disable_ghost_ship	disable	wh2_dlc11_spell_deep_ghost_ship
wh2_dlc11_ability_disable_krakens_pull	disable	wh2_dlc11_spell_deep_krakens_pull
wh2_dlc11_ability_disable_spiteful_shot	disable	wh2_dlc11_spell_deep_spiteful_shot
wh2_dlc11_ability_disable_throw_bombs_hidden	disable	wh2_dlc11_hero_abilities_bomb_throw
wh2_dlc11_ability_disable_tidecall	disable	wh2_dlc11_spell_deep_tidecall
wh2_dlc11_effect_magic_beasts_disable_transformation_of_kadon_varghulf	disable	wh2_dlc11_spell_beasts_transformation_of_kadon
wh2_dlc11_effect_magic_vampires_disable_drowned_dead	disable	wh2_dlc11_spell_vampires_drowned_dead
wh2_main_effect_magic_dark_disable_bladewind	disable	wh2_main_spell_dark_magic_bladewind
wh2_main_effect_magic_dark_disable_chillwind	disable	wh2_main_spell_dark_magic_chillwind
wh2_main_effect_magic_dark_disable_doombolt	disable	wh2_main_spell_dark_magic_doombolt
wh2_main_effect_magic_dark_disable_power_of_darkness	disable	wh2_main_spell_dark_magic_power_of_darkness
wh2_main_effect_magic_dark_disable_power_of_darkness_hidden	disable	wh2_main_spell_dark_magic_power_of_darkness
wh2_main_effect_magic_dark_disable_soul_stealer	disable	wh2_main_spell_dark_magic_soul_stealer
wh2_main_effect_magic_dark_disable_word_of_pain	disable	wh2_main_spell_dark_magic_word_of_pain
wh2_main_effect_magic_high_disable_apotheosis	disable	wh2_main_spell_high_magic_apotheosis
wh2_main_effect_magic_high_disable_arcane_unforging	disable	wh2_main_spell_high_magic_arcane_unforging
wh2_main_effect_magic_high_disable_fiery_convocation	disable	wh2_main_spell_high_magic_fiery_convocation
wh2_main_effect_magic_high_disable_hand_of_glory	disable	wh2_main_spell_high_magic_hand_of_glory
wh2_main_effect_magic_high_disable_soul_quench	disable	wh2_main_spell_high_magic_soul_quench
wh2_main_effect_magic_high_disable_tempest	disable	wh2_main_spell_high_magic_tempest
wh2_main_effect_magic_plague_disable_bless_with_filth	disable	wh2_main_spell_plague_bless_with_filth
wh2_main_effect_magic_plague_disable_dreaded_thirteenth	disable	wh2_main_spell_grey_seer_the_dreaded_thirteenth_spell
wh2_main_effect_magic_plague_disable_pestilent_birth	disable	wh2_main_spell_plague_pestilent_birth
wh2_main_effect_magic_plague_disable_pestilent_breath	disable	wh2_main_spell_plague_pestilent_breath
wh2_main_effect_magic_plague_disable_plague	disable	wh2_main_spell_plague_plague
wh2_main_effect_magic_plague_disable_vermintide	disable	wh2_main_spell_plague_vermintide
wh2_main_effect_magic_plague_disable_wither	disable	wh2_main_spell_plague_wither
wh2_main_effect_magic_ruin_disable_cracks_call	disable	wh2_main_spell_ruin_cracks_call
wh2_main_effect_magic_ruin_disable_death_frenzy	disable	wh2_main_spell_ruin_death_frenzy
wh2_main_effect_magic_ruin_disable_howling_warpgale	disable	wh2_main_spell_ruin_howling_warpgale
wh2_main_effect_magic_ruin_disable_skaven_scorch	disable	wh2_main_spell_ruin_scorch
wh2_main_effect_magic_ruin_disable_skitterleap	disable	wh2_main_spell_ruin_skitterleap
