Loc PackedFile
Key	Text	Tooltip
frontend_faction_leaders_localised_description_wh2_dlc09_political_party_vor_tmb_arkhan	In the Land of the Dead, no name is more hated than Nagash the Arch-Necromancer, architect of Nehekhara’s downfall. It was he that cast a great ritual and brought all the dead back to Unlife ahead of the promised Day of Awakening. Centuries before this epochal moment, he had ruled Khemri, stealing the kingship from his younger brother.

Arkhan was the most loyal of Nagash’s followers, pivotal in the coup that brought the nascent Necromancer to power. After his lord, Arkhan was the first to imbibe the Elixir of Life, thereby transitioning from mere mortal to Unliving immortal. For decades, Arkhan remained staunchly loyal to Nagash; a great warrior and general, he was also an accomplished student of dark sorcery thanks to his master's teachings. After fifty years of rule, the other cities of Nehekhara revolted against Nagash – desperate to end his malicious reign. The Army of the Seven Kings besieged Khemri, and Nagash was forced to retreat. Arkhan held back the allied Priest Kings’ legions through feats both martial and arcane. He finally fell, not to some hero’s blade but an ordinary spear thrown by a nameless soldier. By his dying breath he cursed both the spear and any that desecrated his corpse.

Nagash has returned to enact vengeance on Nehekhara several times over the centuries. One of the Arch-Necromancer's first acts was to resurrect his faithful lieutenant. And so Arkhan the Black, the Liche King, rose from the dead, as loyal as always and a key figure in Nagash’s many machinations. In an age of comets and new empires, Nagash remains adrift from the world… for the moment. But he is very much active. Arkhan's Black Tower a beacon for those who worship the Arch-Necromancer as a god-in-waiting. Naturally, his greatest rival – everyone's greatest rival no less – is Settra the Imperishable. The two have fought dozens of times; although Arkhan’s forces cannot rival Settra’s legions, neither can the Imperishable overcome the Liche King’s dark sorcery. Thus, their wars end in stalemate, and only when Arkhan utters false promises of fealty does Settra return satisfied to Khemri. Such false servitude cannot – will not – last, for while there is still a chance to resurrect Nagash, his loyal servant will take it.	true
frontend_faction_leaders_loading_screen_text_wh_dlc03_political_party_beastmen_ruler	 	true
frontend_faction_leaders_localised_description_wh2_dlc09_political_party_vor_tmb_settra	In the land of Nehekhara, Khemri was the greatest city, ruled over by a dynasty of cruel kings and tyrants. While Nagash’s stolen rule of Khemri is indeed noteworthy, none – apart from the Arch-Necromancer himself – can question that its utmost reign came under High King Settra.

Before the wind of death ravaged Nehekhara, it was an impressive civilisation, a burgeoning realm of rival fiefdoms that saw mankind expand long before Sigmar was even born. But the curse of man, compared to Dwarfs and Elves, is their fleeting existence. Soon the kings and princes of the city-states became obsessed with death, with extending their meagre span. The Mortuary Cult was formed during Settra’s reign and charged with ensuring that mortal bonds would not halt his rule. Settra passed with a curse upon his lips, buried in a grand chamber beneath his mighty pyramid to await the Day of Awakening, when the Mortuary Cult will fulfil their promise and Settra will rise to rule Khemri and dominate all the kingdoms along the Great River Vitae once again. Only modest progress in extending life was made until the rise of Nagash, for it was he who was destined to become the first and greatest of all Necromancers – he who truly brought Unlife to the world.

The tale of Nagash is terrible to behold; needless to say, he was banished from Khemri – and thought destroyed – but many years later rose again and enacted his revenge on all Nehekhara. He cast a great ritual and all the dead in the city-states rose from their ageless slumbers. But this was not the glorious Day of Awakening promised by the Mortuary Cult. The kings awoke entombed in their sarcophagi, breaking free of their burial chambers they saw through empty eye sockets. They had not woken as gods, but were still the rotting mummies that had withered inside their tombs for countless centuries. Some went insane, others remain in denial, but a few were filled with rage at this betrayal. None more so than Settra.

Now Settra the Imperishable rules Khemri once more. His Undead legions march at his whim; the King of Kings will not rest until all are under his dominance, be they other, petty Tomb Kings, or the living, whom he despises, for they have something he can never again possess.	true
frontend_faction_leaders_localised_action_points_wh2_dlc11_political_party_cst_sartosa_ruler	 	true
frontend_faction_leaders_localised_action_points_wh2_dlc09_political_party_vor_tmb_khatep	 	true
frontend_faction_leaders_localised_description_wh2_dlc10_political_party_hef_alith_anar	Legend has it that, when Malekith fled into the west, the folk of Nagarythe chose Alith Anar as their ruler. The new king was the last heir of a great line, his forebears slain by the Witch King’s minions. In those days there were many Dark Elves still hiding in Ulthuan, and Alith Anar took to eradicating them with a vengeance. Foes not killed in battle were crucified on trees or had their skin stretched across the ragged cliff-faces, where those who passed could witness the insurgents' grisly fate. As Anar attacked and burned each enemy encampment, his infamy grew. He and his loyal warriors struck from the darkness to purge their homeland of traitors and those sympathetic to Malekith. And so the Legend of the Shadow King grew. 

To this day, Anar carries a bleak outlook, one which matches the lands over which he reigns, as the Shadowlands, Nagarythe, are dark and desolate places. Nagarythe's jagged coast still bears the scars of the Sundering, yet it is seen as home by the tough, seasoned Shadow Warriors who look upon their kin in the other nine kingdoms with nothing short of utter disdain.

Anar himself is a king without a palace, not that he desires a luxurious throne. One of the greatest Elven palaces of all, Anlec, was once capital of Nagarythe and the seat of the first Phoenix king. Now, it lies in ruins, but there have been many attempts by the Druchii and even some Asur to bring it back to past glories. The Shadow King, however, is more comfortable with his warriors in the wilds or even ranging beyond Nagarythe’s borders, to fulfil his eternal quest for vengeance against the traitor-kin who ruined his homeland and slaughtered his bloodline!	true
frontend_faction_leaders_localised_action_points_wh2_dlc11_political_party_vor_cst_the_drowned_ruler	 	true
frontend_faction_leaders_localised_action_points_wh_main_political_party_chaos_ruler	 	true
frontend_faction_leaders_localised_description_wh_main_political_party_dwarf_ungrim	The tale of Ungrim’s family is full of woe, as those in the Clan of Royal blood bear a history of calamities. Many years ago, King Barador, Ungrim’s five-time great-grandsire, suffered a terrible loss which drove him to take the Oath of the Slayers to forevermore seek death in battle at the hands of the most deadly enemy they can find. He was torn between conflicting vows: the Slayer Oath to seek out death and the oath of a King to protect his people. His son inherited his vows and continued the line of Slayer Kings, of which King Ungrim Ironfist is but the latest.

Although Ungrim cannot seek his death in the Slayer fashion, he grows ever more restless, leading the throng of Karak Kadrin into countless battles. Inspired by his High King and seeking to avenge the death of his lone son who was slain, Ungrim will march to war with the least provocation.	true
frontend_faction_leaders_localised_description_wh_dlc03_political_party_beastmen_malagor	The Beastmen believe that Malagor is the doom of mankind personified. He is a figure of nightmare, revered by the Beastmen but feared, above all, by superstitious men. To the denizens of the Empire, Malagor is the harbinger of disaster and destruction; the very embodiment of their downfall. Vilified by the Cult of Sigmar as the epitome of sin, he is depicted in holy wood carvings and tapestries as the ultimate evil - a figure that all Sigmar-fearing men should fight against or despair.

From the moment of his birth, it was obvious that Malagor was blessed by the Dark Gods, being possessed of a pair of feathered pinions as black as the night. Though Malagor is a Bray-Shaman he does not give his counsel to any one chieftain. Instead, his whisperings steer the course of the entire Beastmen race, visiting the herdstones and shrines across the Great Forest or even venturing deep beyond his normal bounds to cavort in long-devastated civilisations.

When the Beastmen rise and invade the lands of men with Malagor at its head, buildings will be destroyed and temples torn down or put to flame. Malagor desires nothing less than to cast down gods and goddesses of all kinds, to defile their altars, slay their priests - for he represents the Beastmen's ultimate goal: utter ruin for the Uncloven Ones.	true
frontend_faction_leaders_localised_description_wh2_main_political_party_lzd_kroq_gar	"Summon Grymloq. Now we hunt!"

To the south of the world, in much warmer, jungle climes, live the Lizardmen. These reptilian champions of Order are not one race but a collective of various cold-blooded creatures all dedicated to bringing the Great Plan of the Old Ones – the stellar race that terraformed the world before the Ancient Enemy brought ruin – to fruition.

The Lizardmen are led by the Slann Mage-Priests, who in turn are served by the adaptable Skinks, the labouring Kroxigor and the fearsome warrior-caste, the mighty Saurus. It is the Saurus that form the bulk of the Lizardmen armies for they are spawned for that sole purpose – bringing war to those deigned as enemies by the Mage-Priests.

Just because the Saurus have no concerns beyond battle does not mean they are limited in intellect. Far from it, in fact, for they excel in the role for which they are specifically spawned. None among their number is more capable or feared by the warmbloods than Kroq-Gar, Last Defender of Xhotl. Kroq-Gar is an Ancient Scar-Leader and a legendary presence amongst the Lizardmen, for he has fought Daemons and countless enemies over untold millennia.

