Loc PackedFile
Key	Text	Tooltip
effects_additional_tooltip_details_localised_description_wh2_main_effect_agent_action_passive_stimulate_growth_buff	[[col:yellow]]{{tr:agent_action_name_stimulate_growth}}[[/col]] (Constant Local Effect)
Increases growth in the local province (reduces in enemy provinces).	true
effects_additional_tooltip_details_localised_description_wh2_main_effect_agent_action_hinder_settlement_damage_building_buff	[[col:yellow]]{{tr:agent_action_name_damage_building}}[[/col]] (Target: Settlement)
Inflicts damage upon a building in the target settlement.	true
effects_additional_tooltip_details_localised_description_wh2_main_effect_agent_action_hinder_army_assult_units_buff	[[col:yellow]]{{tr:agent_action_name_assault_units}}[[/col]] (Target: Army)
Inflicts damage upon all units in the target army.	true
effects_additional_tooltip_details_localised_description_wh2_main_effect_agent_action_hinder_army_block_army_buff	[[col:yellow]]{{tr:agent_action_name_block_army}}[[/col]] (Target: Army)
Modifies the campaign movement range of the target army.	true
effects_additional_tooltip_details_localised_description_wh2_main_effect_agent_action_hinder_settlement_damage_walls_buff	[[col:yellow]]{{tr:agent_action_name_damage_walls}}[[/col]] (Target: Settlement)
Damages the walls of the target settlement.	true
effects_additional_tooltip_details_localised_description_wh2_main_effect_agent_action_hinder_army_hinder_replenishment_buff	[[col:yellow]]{{tr:agent_action_name_hinder_replenishment}}[[/col]] (Target: Army)
Modifies the replenishment of the target army.	true
effects_additional_tooltip_details_localised_description_wh_main_effect_character_stat_mod_ward_save_missile	Missile Resistance. Damage of missile attacks is reduced by this amount.	true
effects_additional_tooltip_details_localised_description_wh_main_effect_character_stat_mod_ward_save	Ward save. Any type of damage is reduced by this amount.	true
effects_additional_tooltip_details_localised_description_wh2_main_effect_agent_action_hinder_settlement_gain_influence_buff	[[col:yellow]]{{tr:agent_action_name_gain_influence}}[[/col]] (Target: Settlement)
Gains [[img:icon_influence]][[/img]]influence.	true
effects_additional_tooltip_details_localised_description_wh2_main_effect_agent_action_hinder_agent_assassinate_buff	[[col:yellow]]{{tr:agent_action_name_assassinate}}[[/col]] (Target: Hero)
Kills the target [[img:icon_hero]][[/img]]Hero.	true
effects_additional_tooltip_details_localised_description_wh2_main_effect_agent_action_passive_increase_trade_buff	[[col:yellow]]{{tr:agent_action_name_increase_trade}}[[/col]] (Constant Local Effect)
Increases tradable resources produced in the local province.	true
effects_additional_tooltip_details_localised_description_wh_main_effect_general_aura_mod_all_during_attack	Aura. Any unit standing within this character's aura in battle will receive a [[img:icon_morale]][[/img]]leadership bonus.	true
effects_additional_tooltip_details_localised_description_wh_main_effect_character_stat_mod_ward_save_magic	Magic Resistance. Damage of [[img:ui/skins/default/modifier_icon_magical.png]][[/img]]magical attacks is reduced by this amount.	true
effects_additional_tooltip_details_localised_description_wh_main_effect_general_aura_mod_all_during_defence	Aura. Any unit standing within this character's aura in battle will receive a [[img:icon_morale]][[/img]]leadership bonus.	true
effects_additional_tooltip_details_localised_description_wh_main_effect_character_stat_mod_personal_aura_size	Aura. Any unit standing within this character's aura in battle will receive a [[img:icon_morale]][[/img]]leadership bonus.	true
effects_additional_tooltip_details_localised_description_wh2_main_effect_agent_action_passive_spread_public_order_horde_buff	[[col:yellow]]{{tr:agent_action_name_spread_public_order}}[[/col]] (Constant Local Effect)
Reduces {{tr:hp_campaign_public_order_term}} in the local province.	true
