melee_weapons_tables	21
bonus_v_cavalry	bonus_v_large	bonus_v_infantry	key	damage	ap_damage	first_strike	weapon_length	melee_weapon_type	audio_type	splash_attack_target_size	splash_attack_max_attacks	splash_attack_power_multiplier	building_damage	ignition_amount	is_magical	contact_phase	collision_attack_max_targets	collision_attack_max_targets_cooldown	melee_attack_interval
0	0	25	wh2_main_shadowdancer_dual_swords	280	120	0	3	sword	sword	large	8	1	100	0	false		0	10	4
0	20	0	wh2_main_dwf_axe_hero_slayer	125	250	0	3	axe	axe	medium	7	1	150	0	false		0	10	4
0	30	0	wh2_mixu_bst_great_axe_doombull	160	280	0	3	axe	axe	medium	4	1.12	200	0	false		0	10	4
0	0	0	wh2_mixu_bst_axe_doombull	160	280	0	3	axe	axe	medium	6	1.2	200	0	false		0	10	4
0	0	30	wh2_mixu_bst_dual_axe_doombull	160	280	0	3	axe	axe	medium	4	1.12	200	0	false		0	10	4.4
0	0	0	wh2_main_def_supreme_sorceress_staff	240	100	0	3	sword	staff	medium	5	1	150	0	false		0	10	4
0	0	0	wh2_main_def_supreme_sorceress_cold_one	100	260	0	5	sword	claw	medium	5	1	150	0	false		0	10	4
0	0	0	wh2_mixu_vampire_countess_sword	300	150	0	3	sword	sword	medium	5	1	150	0	false		0	10	4
0	30	0	wh2_mixu_chs_shaggoth_champion	140	380	0	9	axe	axe_medium	large	7	1	600	0	false		0	10	3.6
0	0	30	wh2_main_hef_archmage_chariot	240	100	0	3	axe	claw	very_large	4	1	150	0	false		4	2	4.6
0	30	0	wh_mixu_nor_great_mace_warlord	120	340	0	3	axe	hammer	medium	4	1.12	350	0	true	wh_dlc06_unit_contact_sundered_armour	0	10	4
0	0	28	wh_mixu_nor_chariot_sorc_lord	120	270	0	3	axe	claw	very_large	4	1	150	0	false		4	2	4.6
