ancillaries_tables	16
key	type	applies_to	transferrable	unique_to_world	unique_to_faction	precedence	start_date	end_date	avatar_skill	avatar_special_ability	legendary_item	mp_exclusive	is_wife_ancillary	category	min_starting_age	max_starting_age	min_expiry_age	max_expiry_age	immortal	provided_bodyguard_unit	provided_banner	uniqueness_score	turns_before_swap_allowed	subcategory	randomly_dropped
wh_main_anc_mount_emp_cha_wizard_death_warhorse	wh_main_anc_mount_warhorse	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	wh2_mixu_emp_cha_wizard_death_warhorse		1	1		false
wh_main_anc_mount_emp_cha_wizard_death_pegasus	wh_main_anc_mount_imperial_pegasus	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	wh2_mixu_emp_cha_wizard_death_pegasus		1	1		false
wh_main_anc_mount_emp_cha_wizard_death_barded_warhorse	wh_main_anc_mount_barded_warhorse	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	wh2_mixu_emp_cha_wizard_death_barded_warhorse		1	1		false
wh_main_anc_mount_emp_cha_wizard_metal_warhorse	wh_main_anc_mount_warhorse	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	wh2_mixu_emp_cha_wizard_metal_warhorse		1	1		false
wh_main_anc_mount_emp_cha_wizard_metal_pegasus	wh_main_anc_mount_imperial_pegasus	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	wh2_mixu_emp_cha_wizard_metal_pegasus		1	1		false
wh_main_anc_mount_emp_cha_wizard_metal_barded_warhorse	wh_main_anc_mount_barded_warhorse	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	wh2_mixu_emp_cha_wizard_metal_barded_warhorse		1	1		false
wh_main_anc_mount_wef_spellweaver_elven_steed	wh_dlc05_anc_mount_wef_elven_steed	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	wh2_mixu_wef_cha_spellweaver_beasts_elven_steed		1	1		false
wh_main_anc_mount_wef_spellweaver_unicorn	wh_dlc05_anc_mount_wef_unicorn	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	wh2_mixu_wef_cha_spellweaver_beasts_unicorn		1	1		false
wh_main_anc_mount_wef_spellweaver_great_eagle	wh_dlc05_anc_mount_wef_great_eagle	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	wh2_mixu_wef_cha_spellweaver_beasts_great_eagle		1	1		false
wh_main_anc_mount_emp_cha_wizard_lord_beasts_warhorse	wh_main_anc_mount_warhorse	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	wh2_mixu_emp_cha_wizard_lord_beasts_warhorse		1	1		false
wh_main_anc_mount_emp_cha_wizard_lord_beasts_barded_warhorse	wh_main_anc_mount_barded_warhorse	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	wh2_mixu_emp_cha_wizard_lord_beasts_barded_warhorse		1	1		false
wh_main_anc_mount_emp_cha_wizard_lord_beasts_griffon	wh_main_anc_mount_imperial_griffon	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	wh2_mixu_emp_cha_wizard_lord_beasts_griffon		1	1		false
wh_main_anc_mount_emp_cha_wizard_lord_beasts_pegasus	wh_main_anc_mount_imperial_pegasus	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	wh2_mixu_emp_cha_wizard_lord_beasts_pegasus		1	1		false
wh_main_anc_mount_emp_cha_wizard_lord_light_warhorse	wh_main_anc_mount_warhorse	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	wh2_mixu_emp_cha_wizard_lord_light_warhorse		1	1		false
wh_main_anc_mount_emp_cha_wizard_lord_light_pegasus	wh_main_anc_mount_imperial_pegasus	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	wh2_mixu_emp_cha_wizard_lord_light_pegasus		1	1		false
wh_main_anc_mount_emp_cha_wizard_lord_light_barded_warhorse	wh_main_anc_mount_barded_warhorse	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	wh2_mixu_emp_cha_wizard_lord_light_barded_warhorse		1	1		false
wh_main_anc_mount_emp_cha_wizard_lord_light_luminark	wh_dlc04_anc_mount_war_altar_of_sigmar	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	wh2_mixu_emp_cha_wizard_lord_light_luminark		1	1		false
wh_main_anc_mount_grn_savage_orc_warboss_wyvern	wh_main_anc_mount_wyvern	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	wh2_mixu_grn_cha_savage_orc_warboss_wyvern		1	1		false
wh_main_anc_mount_grn_savage_orc_warboss_boar	wh_main_anc_mount_war_boar	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	wh2_mixu_grn_cha_savage_orc_warboss_boar		1	1		false
wh_main_anc_mount_grn_savage_orc_shaman_wyvern	wh_main_anc_mount_wyvern	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	wh2_mixu_grn_cha_savage_orc_shaman_wyvern		1	1		false
wh_main_anc_mount_grn_savage_orc_shaman_boar	wh_main_anc_mount_war_boar	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	wh2_mixu_grn_cha_savage_orc_shaman_boar		1	1		false
wh_main_anc_mount_grn_orc_great_shaman_boar	wh_main_anc_mount_war_boar	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	wh2_mixu_grn_cha_orc_great_shaman_boar		1	1		false
wh_main_anc_mount_grn_orc_great_shaman_wyvern	wh_main_anc_mount_wyvern	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	wh2_mixu_grn_cha_orc_great_shaman_wyvern		1	1		false
wh_main_anc_dwf_slayer_special_daemon_slayer	wh_main_anc_weapon	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true			1	0		false
wh_main_anc_dwf_slayer_special_giant_slayer	wh_main_anc_weapon	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true			1	0		false
