special_ability_phase_stat_effects_tables	3
phase	value	stat	how
wh2_main_spellweaver_passive_ancients_protection	10	stat_resistance_all	add
wh2_main_spellweaver_passive_ancients_protection	4	stat_melee_defence	add
wh2_main_light_wizard_passive_light_of_purity	12	stat_resistance_all	add
wh2_main_amber_wizard_passive_the_beast_unleashed	4	stat_melee_attack	add
wh2_main_amber_wizard_passive_the_beast_unleashed	1.12	stat_melee_damage_base	mult
wh2_main_doombull_slaughterers_call	10	stat_melee_attack	add
wh2_main_doombull_slaughterers_call	1.24	stat_melee_damage_base	mult
wh2_main_doombull_slaughterers_call	1.12	stat_charge_bonus	mult
wh2_main_doombull_slaughterers_call	8	stat_morale	add
wh2_main_doombull_blood_lust	1.25	stat_melee_damage_ap	mult
wh2_main_darkweaver_passive_creeping_madness	1.12	stat_melee_damage_base	mult
wh2_main_darkweaver_passive_wrath_of_the_woods	-6	stat_melee_attack	add
wh2_main_darkweaver_passive_wrath_of_the_woods	-6	stat_melee_defence	add
wh2_main_darkweaver_passive_creeping_madness	18	stat_melee_attack	add
wh2_main_darkweaver_passive_creeping_madness	-12	stat_melee_defence	add
wh2_main_highweaver_ability_blessing_of_lileath	8	stat_morale	add
wh2_main_highweaver_ability_blessing_of_lileath	22	stat_resistance_magic	add
wh2_main_highweaver_ability_lileaths_protection	44	stat_resistance_magic	add
wh2_main_vampire_countess_passive_seduction	0.92	stat_charge_bonus	mult
wh2_main_vampire_countess_passive_seduction	-9	stat_melee_attack	add
wh2_main_vampire_countess_ability_domination	-44	stat_melee_attack	add
wh2_main_vampire_countess_ability_beguile	-22	stat_melee_attack	add
wh2_main_coven_throne_passive_battle_of_wills	-8	stat_morale	add
wh2_main_slayer_hero_cb_giantslayer	5	stat_melee_attack	add
wh2_main_slayer_hero_cb_giantslayer	1.07	stat_melee_damage_ap	mult
wh2_main_slayer_hero_cb_giantslayer	1.07	stat_melee_damage_base	mult
wh2_main_slayer_hero_cb_giantslayer	5	stat_bonus_vs_large	add
wh2_main_slayer_hero_cb_dragonslayer	10	stat_bonus_vs_large	add
wh2_main_slayer_hero_cb_dragonslayer	1.12	stat_melee_damage_ap	mult
wh2_main_slayer_hero_cb_dragonslayer	1.12	stat_melee_damage_base	mult
wh2_main_slayer_hero_cb_dragonslayer	5	stat_melee_attack	add
wh2_main_slayer_hero_cb_dragonslayer	5	stat_melee_defence	add
wh2_main_slayer_hero_cb_daemonslayer	15	stat_bonus_vs_large	add
wh2_main_slayer_hero_cb_daemonslayer	1.15	stat_melee_damage_ap	mult
wh2_main_slayer_hero_cb_daemonslayer	1.15	stat_melee_damage_base	mult
wh2_main_slayer_hero_cb_daemonslayer	10	stat_melee_attack	add
wh2_main_slayer_hero_cb_daemonslayer	10	stat_melee_defence	add
