character_skill_utilization_hints_junctions_tables	0
hint	key
USEFUL_ALWAYS	wh_main_skill_mount_emp_cha_wizard_death_warhorse
USEFUL_ALWAYS	wh_main_skill_mount_emp_cha_wizard_death_pegasus
USEFUL_ALWAYS	wh_main_skill_mount_emp_cha_wizard_metal_warhorse
USEFUL_ALWAYS	wh_main_skill_mount_emp_cha_wizard_metal_pegasus
USEFUL_ALWAYS	wh_main_skill_mount_wef_spellweaver_elven_steed
USEFUL_ALWAYS	wh_main_skill_mount_wef_spellweaver_unicorn
USEFUL_ALWAYS	wh_main_skill_mount_wef_spellweaver_great_eagle
USEFUL_ALWAYS	wh_main_skill_wef_spellweaver_ancients_protection
USEFUL_ALWAYS	wh_main_skill_wef_shadowdancers_whirling_death
USEFUL_ALWAYS	wh_main_skill_wef_shadowdancers_storm_of_blades
USEFUL_ALWAYS	wh_main_skill_wef_shadowdancers_talismanic_tattoos
USEFUL_ALWAYS	wh_main_skill_wef_shadowdancers_shadows_coil
USEFUL_ALWAYS	wh_main_skill_wef_shadowdancers_pathfinder
USEFUL_ALWAYS	wh_main_skill_mount_emp_cha_wizard_lord_beasts_warhorse
USEFUL_ALWAYS	wh_main_skill_mount_emp_cha_wizard_lord_beasts_griffon
USEFUL_ALWAYS	wh_main_skill_mount_emp_cha_wizard_lord_beasts_pegasus
USEFUL_ALWAYS	wh_main_skill_mount_emp_cha_wizard_lord_light_warhorse
USEFUL_ALWAYS	wh_main_skill_mount_emp_cha_wizard_lord_light_pegasus
USEFUL_ALWAYS	wh_main_skill_mount_emp_cha_wizard_lord_light_luminark
USEFUL_ALWAYS	wh_main_skill_grn_army_real_savages
USEFUL_ALWAYS	wh_main_skill_grn_army_da_savage_boyz
USEFUL_ALWAYS	wh_main_skill_grn_army_brutish_beasts
USEFUL_ALWAYS	wh_main_skill_grn_army_da_red_wuns_go_fasta
USEFUL_ALWAYS	wh_main_skill_grn_army_shoot_fasta
USEFUL_ALWAYS	wh_main_skill_mount_grn_savage_orc_shaman_boar
USEFUL_ALWAYS	wh_main_skill_mount_grn_savage_orc_shaman_wyvern
USEFUL_ALWAYS	wh_main_skill_mount_grn_orc_great_shaman_boar
USEFUL_ALWAYS	wh_main_skill_mount_grn_orc_great_shaman_wyvern
USEFUL_ALWAYS	wh_main_skill_grn_army_da_bigger_da_better
USEFUL_ALWAYS	wh_main_skill_grn_army_da_red_wuns_go_fasta_normal
USEFUL_ALWAYS	wh_main_skill_grn_army_shoot_fasta_normal
USEFUL_ALWAYS	wh_main_skill_all_emp_battle_elite_regiments
USEFUL_ALWAYS	wh_main_skill_all_emp_battle_veteran_marksmen
USEFUL_ALWAYS	wh_main_skill_all_emp_battle_gunnery_schools_finest
USEFUL_ALWAYS	wh_main_skill_all_emp_battle_heroic_knightly_orders
USEFUL_ALWAYS	wh_main_skill_all_emp_battle_divine_sanction
USEFUL_ALWAYS	wh_main_skill_all_emp_battle_colleges_finest
USEFUL_ALWAYS	wh_main_skill_bst_doombull_slaughterers_call
USEFUL_ALWAYS	wh_main_skill_bst_doombull_the_unrelenting_warherd
USEFUL_ALWAYS	wh_main_skill_bst_doombull_strength_of_the_land
USEFUL_ALWAYS	wh_main_skill_bst_doombull_followers_of_destruction
USEFUL_ALWAYS	wh_main_skill_bst_doombull_the_bloodcallers
USEFUL_ALWAYS	wh_main_skill_bst_doombull_fathers_of_rage
USEFUL_ALWAYS	wh_main_skill_bst_doombull_consumed_by_bloodgreed
USEFUL_ALWAYS	wh_main_skill_bst_doombull_thunderous_hooves
USEFUL_ALWAYS	wh_main_skill_bst_doombull_will_of_the_dark_ones
USEFUL_ALWAYS	wh_main_skill_bst_doombull_blood_lust
USEFUL_ALWAYS	wh_main_skill_wef_weaver_rain_of_spines
USEFUL_ALWAYS	wh_main_skill_wef_weaver_shield_of_the_forest
USEFUL_ALWAYS	wh_main_skill_wef_weaver_the_skewering_branch
USEFUL_ALWAYS	wh_main_skill_wef_weaver_hunters_of_the_forest
USEFUL_ALWAYS	wh_main_skill_high_magic_hand_of_glory_lord
USEFUL_ALWAYS	wh_main_skill_high_magic_fiery_convocation_lord
USEFUL_ALWAYS	wh_main_skill_light_magic_light_of_battle_lord
USEFUL_ALWAYS	wh_main_skill_light_magic_banishment_lord
USEFUL_ALWAYS	wh_main_skill_life_magic_awakening_of_the_wood_lord
USEFUL_ALWAYS	wh_main_skill_darkweaver_synergy_1
USEFUL_ALWAYS	wh_main_skill_darkweaver_synergy_2
