main_units_tables	35
additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	prestige	recruitment_cost	recruitment_movie	religion_requirement	unit	upkeep_cost	weight	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	audio_voiceover_culture	ui_unit_group_land	ui_unit_group_naval	tier	is_high_threat	porthole_camera	mount	use_hitpoints_in_campaign	unit_scaling	porthole_composite_scene	melee_cp	missile_cp	can_siege	audio_voiceover_culture_override	restrict_xp_gain_in_campaign	audio_voiceover_actor_group	food_cost	has_spoken_vo	is_monstrous	multiplayer_qb_cap	vo_is_dragon	vo_is_dinosaur
	-1	hero	1	false	wh2_mixu_emp_cha_wizard_death	1	0	250	wh_main_shp_transport	1	1	1	0	1000			wh2_mixu_emp_cha_wizard_death	250	medium		false	false	0	87865320	false		wh_main_vo_culture_Empire	wizard_death	wizard_death	0	true	emp_soldier_15_degrees		true	false		250	0	false	vo_culture_None	false	wh_vo_actor_silent	0	true	false	3	false	false
	-1	hero	1	false	wh2_mixu_emp_cha_wizard_death_warhorse	1	0	450	wh_main_shp_transport	1	1	1	0	1100			wh2_mixu_emp_cha_wizard_death_warhorse	275	medium		false	false	0	87865321	false		wh_main_vo_culture_Empire	wizard_death_cavalry	wizard_death_cavalry	0	true	emp_soldier_15_degrees	wh_main_cam_mnt_emp_warhorse	true	false		450	0	false	vo_culture_None	false	wh_vo_actor_silent	0	true	false	3	false	false
	-1	hero	1	false	wh2_mixu_emp_cha_wizard_death_pegasus	1	0	750	wh_main_shp_transport	1	1	1	0	1350			wh2_mixu_emp_cha_wizard_death_pegasus	337	medium		false	false	0	87865322	false		wh_main_vo_culture_Empire	wizard_death_cavalry_flying	wizard_death_cavalry_flying	0	true	default	wh_main_cam_mnt_emp_imperial_pegasus	true	false		750	0	false	vo_culture_None	false	wh_vo_actor_silent	0	true	false	3	false	false
	-1	hero	1	false	wh2_mixu_emp_cha_wizard_death_barded_warhorse	1	0	550	wh_main_shp_transport	1	1	1	0	1200			wh2_mixu_emp_cha_wizard_death_barded_warhorse	300	medium		false	false	0	87865323	false		wh_main_vo_culture_Empire	wizard_death_cavalry	wizard_death_cavalry	0	true	emp_soldier_15_degrees	wh_main_cam_mnt_emp_barded_warhorse	true	false		550	0	false	vo_culture_None	false	wh_vo_actor_silent	0	true	false	3	false	false
	-1	hero	1	false	wh2_mixu_emp_cha_wizard_metal	1	0	250	wh_main_shp_transport	1	1	1	0	1000			wh2_mixu_emp_cha_wizard_metal	250	medium		false	false	0	87865324	false		wh_main_vo_culture_Empire	wizard_metal	wizard_metal	0	true	emp_soldier_15_degrees		true	false		250	0	false	vo_culture_None	false	wh_main_vo_actor_Empire_CelestialWizard	0	true	false	3	false	false
	-1	hero	1	false	wh2_mixu_emp_cha_wizard_metal_warhorse	1	0	450	wh_main_shp_transport	1	1	1	0	1100			wh2_mixu_emp_cha_wizard_metal_warhorse	275	medium		false	false	0	87865325	false		wh_main_vo_culture_Empire	wizard_metal_cavalry	wizard_metal_cavalry	0	true	emp_soldier_15_degrees	wh_main_cam_mnt_emp_warhorse	true	false		450	0	false	vo_culture_None	false	wh_main_vo_actor_Empire_CelestialWizard	0	true	false	3	false	false
	-1	hero	1	false	wh2_mixu_emp_cha_wizard_metal_pegasus	1	0	750	wh_main_shp_transport	1	1	1	0	1350			wh2_mixu_emp_cha_wizard_metal_pegasus	337	medium		false	false	0	87865326	false		wh_main_vo_culture_Empire	wizard_metal	wizard_metal	0	true	default	wh_main_cam_mnt_emp_imperial_pegasus	true	false		750	0	false	vo_culture_None	false	wh_main_vo_actor_Empire_CelestialWizard	0	true	false	3	false	false
	-1	hero	1	false	wh2_mixu_emp_cha_wizard_metal_barded_warhorse	1	0	550	wh_main_shp_transport	1	1	1	0	1200			wh2_mixu_emp_cha_wizard_metal_barded_warhorse	300	medium		false	false	0	87865327	false		wh_main_vo_culture_Empire	wizard_metal_cavalry	wizard_metal_cavalry	0	true	emp_soldier_15_degrees	wh_main_cam_mnt_emp_barded_warhorse	true	false		550	0	false	vo_culture_None	false	wh_main_vo_actor_Empire_CelestialWizard	0	true	false	3	false	false
	-1	lord	1	false	wh2_mixu_wef_cha_spellweaver_beasts	1	0	450	wh_main_shp_transport	1	1	1	0	1000			wh2_mixu_wef_cha_spellweaver_beasts	250	heavy		false	false	0	87865328	false		wh_dlc05_vo_culture_Wood_Elves	lord_wizard_beasts	lord_wizard_beasts	0	true	wef_spellsinger		true	false		450	0	false	vo_culture_None	false	wh_dlc05_vo_actor_Wood_Elves_Spellsinger	0	true	false	0	false	false
	-1	lord	1	false	wh2_mixu_wef_cha_spellweaver_beasts_elven_steed	1	0	650	wh_main_shp_transport	1	1	1	0	1100			wh2_mixu_wef_cha_spellweaver_beasts_elven_steed	275	heavy		false	false	0	87865329	false		wh_dlc05_vo_culture_Wood_Elves	lord_wizard_beasts	lord_wizard_beasts	0	true	wef_spellsinger	wh_dlc05_cam_mnt_wef_elven_steed	true	false		650	0	false	vo_culture_None	false	wh_dlc05_vo_actor_Wood_Elves_Spellsinger	0	true	false	0	false	false
