ancillary_to_effects_tables	0
ancillary	effect	effect_scope	value
wh_main_anc_dwf_slayer_special_giant_slayer	wh_main_effect_character_stat_mod_bonus_v_large	character_to_character_own	5
wh_main_anc_dwf_slayer_special_giant_slayer	wh_main_effect_character_stat_mod_melee_damage	character_to_character_own	7
wh_main_anc_dwf_slayer_special_giant_slayer	wh_main_effect_character_stat_mod_melee_attack	character_to_character_own	5
wh_main_anc_dwf_slayer_special_dragon_slayer	wh_main_effect_character_stat_mod_bonus_v_large	character_to_character_own	10
wh_main_anc_dwf_slayer_special_dragon_slayer	wh_main_effect_character_stat_mod_melee_damage	character_to_character_own	12
wh_main_anc_dwf_slayer_special_dragon_slayer	wh_main_effect_character_stat_mod_melee_attack	character_to_character_own	5
wh_main_anc_dwf_slayer_special_dragon_slayer	wh_main_effect_character_stat_mod_unit_health	character_to_character_own	10
wh_main_anc_dwf_slayer_special_dragon_slayer	wh_main_effect_character_stat_mod_melee_defence	character_to_character_own	5
wh_main_anc_dwf_slayer_special_daemon_slayer	wh_main_effect_character_stat_mod_unit_health	character_to_character_own	20
wh_main_anc_dwf_slayer_special_daemon_slayer	wh_main_effect_character_stat_mod_melee_damage	character_to_character_own	15
wh_main_anc_dwf_slayer_special_daemon_slayer	wh_main_effect_character_stat_mod_bonus_v_large	character_to_character_own	15
wh_main_anc_dwf_slayer_special_daemon_slayer	wh_main_effect_character_stat_mod_melee_defence	character_to_character_own	5
wh_main_anc_dwf_slayer_special_daemon_slayer	wh_main_effect_character_stat_mod_melee_attack	character_to_character_own	5
wh_main_anc_dwf_slayer_special_daemon_slayer	wh_dlc08_effect_ability_disable_deathblow_1	character_to_character_own	1
wh_main_anc_dwf_slayer_special_daemon_slayer	wh_dlc08_effect_ability_enable_daring_deathblow	character_to_character_own	1
wh_main_anc_dwf_slayer_special_daemon_slayer	wh_dlc08_effect_ability_disable_deathblow_0	character_to_character_own	1
wh_main_anc_dwf_slayer_special_daemon_slayer	wh_effect_disable_ability_lord_passive_determined_deathblow	character_to_character_own	1
wh_main_anc_dwf_slayer_special_dragon_slayer	wh2_main_effect_unit_enable_attribute_charge_reflector_vs_large	character_to_character_own	1
wh_main_anc_dwf_slayer_special_daemon_slayer	wh2_main_effect_unit_enable_attribute_charge_reflector	character_to_character_own	1
wh_main_anc_dwf_slayer_special_giant_slayer	wh_main_effect_ability_enable_deathblow	character_to_character_own	1
wh_main_anc_dwf_slayer_special_dragon_slayer	wh2_main_effect_unit_enable_attribute_encourage	character_to_character_own	1
wh_main_anc_dwf_slayer_special_daemon_slayer	wh2_main_effect_unit_enable_attribute_encourage	character_to_character_own	1
wh2_anc_qb_slayer_giantslayer	wh_effect_enable_ability_slayer_hero_cb_giantslayer	character_to_character_own	1
wh2_anc_qb_slayer_dragonslayer	wh_effect_enable_ability_slayer_hero_cb_dragonslayer	character_to_character_own	1
wh2_anc_qb_slayer_daemonslayer	wh_effect_enable_ability_slayer_hero_cb_daemonslayer	character_to_character_own	1
wh2_anc_qb_shaman_sorcerer_bound_spell_nurgle	wh_effect_enable_bound_spell_rancid_visitation	character_to_character_own	1
