faction_agent_permitted_subtypes_tables	0
agent	faction	subtype
wizard	wh_main_emp_averland	emp_wizard_death
wizard	wh_main_emp_empire	emp_wizard_death
wizard	wh_main_emp_empire_rebels	emp_wizard_death
wizard	wh_main_emp_empire_separatists	emp_wizard_death
wizard	wh_main_emp_hochland	emp_wizard_death
wizard	wh_main_emp_marienburg	emp_wizard_death
wizard	wh_main_emp_marienburg_rebels	emp_wizard_death
wizard	wh_main_emp_middenland	emp_wizard_death
wizard	wh_main_emp_nordland	emp_wizard_death
wizard	wh_main_emp_ostermark	emp_wizard_death
wizard	wh_main_emp_ostland	emp_wizard_death
wizard	wh_main_emp_stirland	emp_wizard_death
wizard	wh_main_emp_talabecland	emp_wizard_death
wizard	wh_main_emp_wissenland	emp_wizard_death
wizard	wh2_main_emp_sudenburg	emp_wizard_death
wizard	wh_main_emp_averland	emp_wizard_metal
wizard	wh_main_emp_empire	emp_wizard_metal
wizard	wh_main_emp_empire_rebels	emp_wizard_metal
wizard	wh_main_emp_empire_separatists	emp_wizard_metal
wizard	wh_main_emp_hochland	emp_wizard_metal
wizard	wh_main_emp_marienburg	emp_wizard_metal
wizard	wh_main_emp_marienburg_rebels	emp_wizard_metal
wizard	wh_main_emp_middenland	emp_wizard_metal
wizard	wh_main_emp_nordland	emp_wizard_metal
wizard	wh_main_emp_ostermark	emp_wizard_metal
wizard	wh_main_emp_ostland	emp_wizard_metal
wizard	wh_main_emp_stirland	emp_wizard_metal
wizard	wh_main_emp_talabecland	emp_wizard_metal
wizard	wh_main_emp_wissenland	emp_wizard_metal
wizard	wh2_main_emp_sudenburg	emp_wizard_metal
general	wh_dlc05_wef_argwylon	wef_darkweaver
general	wh_dlc05_wef_torgovann	wef_darkweaver
general	wh_dlc05_wef_wood_elves	wef_darkweaver
general	wh_dlc05_wef_wood_elves_rebels	wef_darkweaver
general	wh_dlc05_wef_wydrioth	wef_darkweaver
general	wh2_main_wef_bowmen_of_oreon	wef_darkweaver
general	wh_dlc05_wef_argwylon	wef_highweaver
general	wh_dlc05_wef_torgovann	wef_highweaver
general	wh_dlc05_wef_wood_elves	wef_highweaver
