character_skill_level_to_effects_junctions_tables	1
character_skill_key	effect_key	effect_scope	level	value
wh_main_skill_mount_emp_cha_wizard_death_warhorse	wh_main_effect_agent_action_success_chance_enemy_skill	character_to_character_own	1	-1
wh_main_skill_mount_emp_cha_wizard_death_warhorse	wh_main_effect_agent_action_success_chance_skill	character_to_character_own	1	1
wh_main_skill_mount_emp_cha_wizard_death_warhorse	wh_main_effect_enable_mount_warhorse	character_to_character_own	1	1
wh_main_skill_mount_emp_cha_wizard_death_warhorse	wh_main_effect_agent_action_success_chance_enemy_skill	character_to_character_own	2	-2
wh_main_skill_mount_emp_cha_wizard_death_warhorse	wh_main_effect_agent_action_success_chance_skill	character_to_character_own	2	2
wh_main_skill_mount_emp_cha_wizard_death_warhorse	wh_main_effect_enable_mount_barded_warhorse	character_to_character_own	2	1
wh_main_skill_mount_emp_cha_wizard_metal_warhorse	wh_main_effect_agent_action_success_chance_enemy_skill	character_to_character_own	1	-1
wh_main_skill_mount_emp_cha_wizard_metal_warhorse	wh_main_effect_agent_action_success_chance_skill	character_to_character_own	1	1
wh_main_skill_mount_emp_cha_wizard_metal_warhorse	wh_main_effect_enable_mount_warhorse	character_to_character_own	1	1
wh_main_skill_mount_emp_cha_wizard_metal_warhorse	wh_main_effect_agent_action_success_chance_enemy_skill	character_to_character_own	2	-2
wh_main_skill_mount_emp_cha_wizard_metal_warhorse	wh_main_effect_agent_action_success_chance_skill	character_to_character_own	2	2
wh_main_skill_mount_emp_cha_wizard_metal_warhorse	wh_main_effect_enable_mount_barded_warhorse	character_to_character_own	2	1
wh_main_skill_mount_emp_cha_wizard_death_pegasus	wh_main_effect_agent_action_success_chance_enemy_skill	character_to_character_own	1	-1
wh_main_skill_mount_emp_cha_wizard_death_pegasus	wh_main_effect_agent_action_success_chance_skill	character_to_character_own	1	1
wh_main_skill_mount_emp_cha_wizard_death_pegasus	wh_main_effect_enable_mount_imperial_pegasus	character_to_character_own	1	1
wh_main_skill_mount_emp_cha_wizard_metal_pegasus	wh_main_effect_agent_action_success_chance_enemy_skill	character_to_character_own	1	-1
wh_main_skill_mount_emp_cha_wizard_metal_pegasus	wh_main_effect_agent_action_success_chance_skill	character_to_character_own	1	1
wh_main_skill_mount_emp_cha_wizard_metal_pegasus	wh_main_effect_enable_mount_imperial_pegasus	character_to_character_own	1	1
wh_main_skill_mount_wef_spellweaver_elven_steed	wh_main_effect_agent_action_success_chance_enemy_skill	character_to_character_own	1	-1
wh_main_skill_mount_wef_spellweaver_elven_steed	wh_main_effect_agent_action_success_chance_skill	character_to_character_own	1	1
wh_main_skill_mount_wef_spellweaver_elven_steed	wh_dlc05_effect_enable_mount_elven_steed	character_to_character_own	1	1
wh_main_skill_mount_wef_spellweaver_unicorn	wh_main_effect_agent_action_success_chance_enemy_skill	character_to_character_own	1	-1
wh_main_skill_mount_wef_spellweaver_unicorn	wh_main_effect_agent_action_success_chance_skill	character_to_character_own	1	1
wh_main_skill_mount_wef_spellweaver_unicorn	wh_dlc05_effect_enable_mount_unicorn	character_to_character_own	1	1
