campaign_character_arts_tables	7
art_set_id	level	age	portrait	season	uniform	card	info	sea_uniform	navy_uniform	land_animation	sea_animation	navy_animation	id	religion	land_animation_vfx_filter	sea_animation_vfx_filter	navy_animation_vfx_filter
wh2_main_art_set_emp_wizard_death_1	0	0		none	wh2_uniform_emp_wizard_death_1			wh_main_campaign_emp_ship_light	wh_main_campaign_emp_ship_heavy	cam_hu1_empire_staff_and_sword	cam_light_ship_01	cam_heavy_ship_01	782501		0	0	0
wh2_main_art_set_emp_wizard_death_2	0	0		none	wh2_uniform_emp_wizard_death_2			wh_main_campaign_emp_ship_light	wh_main_campaign_emp_ship_heavy	cam_hu1_empire_staff_and_sword	cam_light_ship_01	cam_heavy_ship_01	782502		0	0	0
wh2_main_art_set_emp_wizard_death_3	0	0		none	wh2_uniform_emp_wizard_death_3			wh_main_campaign_emp_ship_light	wh_main_campaign_emp_ship_heavy	cam_hu1_empire_staff_and_sword	cam_light_ship_01	cam_heavy_ship_01	782503		0	0	0
wh2_main_art_set_emp_wizard_metal_1	0	0		none	wh2_uniform_emp_wizard_metal_1			wh_main_campaign_emp_ship_light	wh_main_campaign_emp_ship_heavy	cam_hu1_empire_staff_and_sword	cam_light_ship_01	cam_heavy_ship_01	782504		0	0	0
wh2_main_art_set_emp_wizard_metal_2	0	0		none	wh2_uniform_emp_wizard_metal_2			wh_main_campaign_emp_ship_light	wh_main_campaign_emp_ship_heavy	cam_hu1_empire_staff_and_sword	cam_light_ship_01	cam_heavy_ship_01	782505		0	0	0
wh2_main_art_set_wef_shadowdancer_1	0	0		none	wh2_uniform_wef_shadowdancer_1			wh_dlc05_campaign_wef_ship_agent	wh_dlc05_campaign_wef_ship_agent	cam_lord_hu1b_elf_dual_sword	cam_transport_ship_03	cam_transport_ship_03	782506		0	0	0
wh2_main_art_set_wef_shadowdancer_2	0	0		none	wh2_uniform_wef_shadowdancer_2			wh_dlc05_campaign_wef_ship_agent	wh_dlc05_campaign_wef_ship_agent	cam_lord_hu1b_elf_dual_sword	cam_transport_ship_03	cam_transport_ship_03	782507		0	0	0
wh2_main_art_set_wef_shadowdancer_3	0	0		none	wh2_uniform_wef_shadowdancer_3			wh_dlc05_campaign_wef_ship_agent	wh_dlc05_campaign_wef_ship_agent	cam_lord_hu1b_elf_dual_sword	cam_transport_ship_03	cam_transport_ship_03	782508		0	0	0
wh2_main_art_set_wef_shadowdancer_4	0	0		none	wh2_uniform_wef_shadowdancer_4			wh_dlc05_campaign_wef_ship_agent	wh_dlc05_campaign_wef_ship_agent	cam_lord_hu1b_elf_dual_sword	cam_transport_ship_03	cam_transport_ship_03	782509		0	0	0
wh2_main_art_set_wef_shadowdancer_5	0	0		none	wh2_uniform_wef_shadowdancer_5			wh_dlc05_campaign_wef_ship_agent	wh_dlc05_campaign_wef_ship_agent	cam_lord_hu1b_elf_dual_sword	cam_transport_ship_03	cam_transport_ship_03	782510		0	0	0
wh2_main_art_set_emp_wizard_lord_beasts_1	0	0		none	wh2_uniform_emp_wizard_lord_beasts_1			wh_main_campaign_emp_ship_heavy	wh_main_campaign_emp_ship_heavy	cam_hu1_empire_staff_and_sword	cam_heavy_ship_01	cam_heavy_ship_01	782511		0	0	0
wh2_main_art_set_emp_wizard_lord_beasts_2	0	0		none	wh2_uniform_emp_wizard_lord_beasts_2			wh_main_campaign_emp_ship_heavy	wh_main_campaign_emp_ship_heavy	cam_hu1_empire_staff_and_sword	cam_heavy_ship_01	cam_heavy_ship_01	782512		0	0	0
wh2_main_art_set_emp_wizard_lord_light_1	0	0		none	wh2_uniform_emp_wizard_lord_light_1			wh_main_campaign_emp_ship_heavy	wh_main_campaign_emp_ship_heavy	cam_hu1_empire_staff_and_sword	cam_heavy_ship_01	cam_heavy_ship_01	782513		0	0	0
wh2_main_art_set_emp_wizard_lord_light_2	0	0		none	wh2_uniform_emp_wizard_lord_light_2			wh_main_campaign_emp_ship_heavy	wh_main_campaign_emp_ship_heavy	cam_hu1_empire_staff_and_sword	cam_heavy_ship_01	cam_heavy_ship_01	782514		0	0	0
wh2_main_art_set_emp_wizard_lord_light_3	0	0		none	wh2_uniform_emp_wizard_lord_light_3			wh_main_campaign_emp_ship_heavy	wh_main_campaign_emp_ship_heavy	cam_hu1_empire_staff_and_sword	cam_heavy_ship_01	cam_heavy_ship_01	782515		0	0	0
wh2_main_art_set_emp_wizard_lord_fire_1	0	0		none	wh2_uniform_emp_wizard_lord_fire_1			wh_main_campaign_emp_ship_heavy	wh_main_campaign_emp_ship_heavy	cam_hu1_empire_staff_and_sword	cam_heavy_ship_01	cam_heavy_ship_01	782516		0	0	0
wh2_main_art_set_emp_wizard_lord_fire_2	0	0		none	wh2_uniform_emp_wizard_lord_fire_2			wh_main_campaign_emp_ship_heavy	wh_main_campaign_emp_ship_heavy	cam_hu1_empire_staff_and_sword	cam_heavy_ship_01	cam_heavy_ship_01	782517		0	0	0
wh2_main_art_set_emp_wizard_lord_fire_3	0	0		none	wh2_uniform_emp_wizard_lord_fire_3			wh_main_campaign_emp_ship_heavy	wh_main_campaign_emp_ship_heavy	cam_hu1_empire_staff_and_sword	cam_heavy_ship_01	cam_heavy_ship_01	782518		0	0	0
wh2_main_art_set_grn_savage_orc_warboss_1	0	0		none	wh2_uniform_grn_savage_orc_warboss_1			wh_main_campaign_grn_ship_heavy	wh_main_campaign_grn_ship_heavy	cam_hu2_orc_sword_and_axe	cam_heavy_ship_02	cam_heavy_ship_02	782519		0	0	0
wh2_main_art_set_grn_savage_orc_warboss_2	0	0		none	wh2_uniform_grn_savage_orc_warboss_2			wh_main_campaign_grn_ship_heavy	wh_main_campaign_grn_ship_heavy	cam_hu2_orc_sword_and_axe	cam_heavy_ship_02	cam_heavy_ship_02	782520		0	0	0
wh2_main_art_set_grn_savage_orc_warboss_3	0	0		none	wh2_uniform_grn_savage_orc_warboss_3			wh_main_campaign_grn_ship_heavy	wh_main_campaign_grn_ship_heavy	cam_hu2_orc_sword_and_axe	cam_heavy_ship_02	cam_heavy_ship_02	782521		0	0	0
wh2_main_art_set_grn_savage_orc_shaman_1	0	0		none	wh2_uniform_grn_savage_orc_shaman_2			wh_main_campaign_grn_ship_heavy	wh_main_campaign_grn_ship_heavy	cam_hu2_orc_staff_and_sword	cam_heavy_ship_02	cam_heavy_ship_02	782522		0	0	0
wh2_main_art_set_grn_savage_orc_shaman_2	0	0		none	wh2_uniform_grn_savage_orc_shaman_2			wh_main_campaign_grn_ship_heavy	wh_main_campaign_grn_ship_heavy	cam_hu2_orc_staff_and_sword	cam_heavy_ship_02	cam_heavy_ship_02	782523		0	0	0
wh2_main_art_set_grn_savage_orc_shaman_3	0	0		none	wh2_uniform_grn_savage_orc_shaman_4			wh_main_campaign_grn_ship_heavy	wh_main_campaign_grn_ship_heavy	cam_hu2_orc_staff_and_sword	cam_heavy_ship_02	cam_heavy_ship_02	782524		0	0	0
wh2_main_art_set_grn_savage_orc_shaman_4	0	0		none	wh2_uniform_grn_savage_orc_shaman_4			wh_main_campaign_grn_ship_heavy	wh_main_campaign_grn_ship_heavy	cam_hu2_orc_staff_and_sword	cam_heavy_ship_02	cam_heavy_ship_02	782525		0	0	0
wh2_main_art_set_grn_orc_great_shaman_1	0	0		none	wh2_uniform_grn_orc_great_shaman_1			wh_main_campaign_grn_ship_heavy	wh_main_campaign_grn_ship_heavy	cam_hu2_orc_staff_and_sword	cam_heavy_ship_02	cam_heavy_ship_02	782526		0	0	0
