unit_set_to_unit_junctions_tables	0
exclude	unit_caste	unit_category	unit_class	unit_record	unit_set
false				wh_main_emp_inf_crossbowmen	emp_missile_rank7
false				wh_main_emp_inf_halberdiers	emp_state_troops_rank7
false				wh_main_emp_inf_handgunners	emp_missile_rank7
false				wh_main_emp_inf_spearmen_0	emp_state_troops_rank7
false				wh_main_emp_inf_spearmen_1	emp_state_troops_rank7
false				wh_main_emp_inf_swordsmen	emp_state_troops_rank7
false				wh_main_emp_art_great_cannon	emp_artillery_rank7
false				wh_main_emp_art_helblaster_volley_gun	emp_artillery_rank7
false				wh_main_emp_art_helstorm_rocket_battery	emp_artillery_rank7
false				wh_main_emp_art_mortar	emp_artillery_rank7
false				wh_dlc04_emp_cav_knights_blazing_sun_0	emp_knights_rank7
false				wh_main_emp_cav_empire_knights	emp_knights_rank7
false				wh_main_emp_cav_reiksguard	emp_knights_rank7
false				wh_main_emp_cav_demigryph_knights_0	emp_demigryph_rank7
false				wh_main_emp_cav_demigryph_knights_1	emp_demigryph_rank7
false				wh_dlc04_emp_inf_free_company_militia_0	emp_state_troops_rank7
false				wh_dlc04_emp_inf_flagellants_0	emp_state_troops_rank7
false				wh_main_emp_cav_outriders_0	emp_missile_rank7
false				wh_main_emp_cav_outriders_1	emp_missile_rank7
false				wh_dlc04_emp_inf_flagellants_0	emp_sigmar_rank7
false				wh_main_emp_cha_warrior_priest_2	emp_sigmar_characters
false				wh_main_emp_cha_warrior_priest_1	emp_sigmar_characters
false				wh_main_emp_cha_warrior_priest_0	emp_sigmar_characters
false				wh_dlc04_emp_veh_templehof_luminark_0	emp_luminark_rank7
false				wh_main_emp_veh_luminark_of_hysh_0	emp_luminark
false				wh2_mixu_emp_cha_wizard_lord_light_luminark	emp_luminark
false				wh_main_grn_inf_savage_orc_big_uns	grn_melee_savage_rank7
false				wh_main_grn_inf_savage_orcs	grn_melee_savage_rank7
false				wh_main_grn_inf_savage_orc_arrer_boyz	grn_missile_savage_rank7
false				wh_main_grn_cav_savage_orc_boar_boy_big_uns	grn_cavalry_savage_rank7
false				wh_main_grn_cav_savage_orc_boar_boyz	grn_cavalry_savage_rank7
false				wh_main_grn_mon_giant	grn_beasts_rank7
false				wh_main_grn_mon_trolls	grn_beasts_rank7
false				wh_main_grn_inf_black_orcs	grn_melee_orcs_rank7
false				wh_main_grn_inf_orc_big_uns	grn_melee_orcs_rank7
false				wh_main_grn_inf_orc_boyz	grn_melee_orcs_rank7
false				wh_main_grn_inf_orc_arrer_boyz	grn_missile_orcs_rank7
false				wh_main_grn_cav_orc_boar_boy_big_uns	grn_boar_boyz_orcs_rank7
false				wh_main_grn_cav_orc_boar_boyz	grn_boar_boyz_orcs_rank7
false				wh_main_grn_cav_orc_boar_chariot	grn_boar_boyz_orcs_rank7
false				wh_dlc06_dwf_inf_dragonback_slayers_0	dwf_slayer_hero
false				wh_main_dwf_inf_slayers	dwf_slayer_hero
false				wh2_mixu_dwf_cha_giant_slayer	dwf_slayer_hero
false				wh_dlc03_bst_inf_gor_herd_0	bst_ungors_gors_rank7
false				wh_dlc03_bst_inf_gor_herd_1	bst_ungors_gors_rank7
false				wh_dlc03_bst_inf_ungor_herd_1	bst_ungors_gors_rank7
false				wh_dlc03_bst_inf_ungor_raiders_0	bst_ungors_gors_rank7
false				wh_dlc03_bst_inf_ungor_spearmen_0	bst_ungors_gors_rank7
false				wh_dlc03_bst_inf_ungor_spearmen_1	bst_ungors_gors_rank7
false				wh_dlc03_bst_inf_minotaurs_0	bst_minotaur_rank7
false				wh_dlc03_bst_inf_minotaurs_1	bst_minotaur_rank7
false				wh_dlc03_bst_inf_minotaurs_2	bst_minotaur_rank7
false				wh_dlc03_bst_inf_centigors_0	bst_centigor_chariots_rank7
false				wh_dlc03_bst_inf_centigors_1	bst_centigor_chariots_rank7
false				wh_dlc03_bst_inf_centigors_2	bst_centigor_chariots_rank7
false				wh_dlc03_bst_inf_chaos_warhounds_0	bst_beasts_of_chaos_rank7
false				wh_dlc03_bst_inf_chaos_warhounds_1	bst_beasts_of_chaos_rank7
false				wh_dlc03_bst_mon_giant_0	bst_beasts_of_chaos_rank7
false				wh_dlc03_bst_inf_cygor_0	bst_beasts_of_chaos_rank7
false				wh_dlc03_bst_cav_razorgor_chariot_0	bst_centigor_chariots_rank7
