agent_uniforms_tables	9
filename	uniform_name	battle_filename	campaign_porthole_filename	campaign_politician_filename
emp_wizard_death_1	wh2_uniform_emp_wizard_death_1	emp_wizard_death_1	emp_wizard_death_1	
emp_wizard_death_2	wh2_uniform_emp_wizard_death_2	emp_wizard_death_2	emp_wizard_death_2	
emp_wizard_death_3	wh2_uniform_emp_wizard_death_3	emp_wizard_death_3	emp_wizard_death_3	
emp_wizard_metal_1	wh2_uniform_emp_wizard_metal_1	emp_wizard_metal_1	emp_wizard_metal_1	
emp_wizard_metal_2	wh2_uniform_emp_wizard_metal_2	emp_wizard_metal_2	emp_wizard_metal_2	
wef_spellweaver_1	wh2_uniform_wef_spellweaver_1	wef_spellweaver_1	wef_spellweaver_1	
wef_spellweaver_2	wh2_uniform_wef_spellweaver_2	wef_spellweaver_2	wef_spellweaver_2	
wef_spellweaver_3	wh2_uniform_wef_spellweaver_3	wef_spellweaver_3	wef_spellweaver_3	
wef_spellweaver_4	wh2_uniform_wef_spellweaver_4	wef_spellweaver_4	wef_spellweaver_4	
wef_spellweaver_5	wh2_uniform_wef_spellweaver_5	wef_spellweaver_5	wef_spellweaver_5	
wef_shadowdancer_1	wh2_uniform_wef_shadowdancer_1	wef_shadowdancer_1	wef_shadowdancer_1	
wef_shadowdancer_2	wh2_uniform_wef_shadowdancer_2	wef_shadowdancer_2	wef_shadowdancer_2	
wef_shadowdancer_3	wh2_uniform_wef_shadowdancer_3	wef_shadowdancer_3	wef_shadowdancer_3	
wef_shadowdancer_4	wh2_uniform_wef_shadowdancer_4	wef_shadowdancer_4	wef_shadowdancer_4	
wef_shadowdancer_5	wh2_uniform_wef_shadowdancer_5	wef_shadowdancer_5	wef_shadowdancer_5	
emp_wizard_lord_beasts_1	wh2_uniform_emp_wizard_lord_beasts_1	emp_wizard_lord_beasts_1	emp_wizard_lord_beasts_1	
emp_wizard_lord_beasts_2	wh2_uniform_emp_wizard_lord_beasts_2	emp_wizard_lord_beasts_2	emp_wizard_lord_beasts_2	
emp_wizard_lord_beasts_3	wh2_uniform_emp_wizard_lord_beasts_3	emp_wizard_lord_beasts_3	emp_wizard_lord_beasts_3	
emp_wizard_lord_light_1	wh2_uniform_emp_wizard_lord_light_1	emp_wizard_lord_light_1	emp_wizard_lord_light_1	
emp_wizard_lord_light_2	wh2_uniform_emp_wizard_lord_light_2	emp_wizard_lord_light_2	emp_wizard_lord_light_2	
emp_wizard_lord_light_3	wh2_uniform_emp_wizard_lord_light_3	emp_wizard_lord_light_3	emp_wizard_lord_light_3	
emp_wizard_light_luminark_1	wh2_uniform_emp_wizard_light_luminark_1	emp_wizard_light_luminark_1	emp_wizard_light_luminark_1	
emp_wizard_light_luminark_2	wh2_uniform_emp_wizard_light_luminark_2	emp_wizard_light_luminark_2	emp_wizard_light_luminark_2	
emp_wizard_light_luminark_3	wh2_uniform_emp_wizard_light_luminark_3	emp_wizard_light_luminark_3	emp_wizard_light_luminark_3	
grn_savage_orc_warboss_1	wh2_uniform_grn_savage_orc_warboss_1	grn_savage_orc_warboss_1	grn_savage_orc_warboss_1	
grn_savage_orc_warboss_2	wh2_uniform_grn_savage_orc_warboss_2	grn_savage_orc_warboss_2	grn_savage_orc_warboss_2	
grn_savage_orc_warboss_3	wh2_uniform_grn_savage_orc_warboss_3	grn_savage_orc_warboss_3	grn_savage_orc_warboss_3	
grn_savage_orc_shaman_1	wh2_uniform_grn_savage_orc_shaman_1	grn_savage_orc_shaman_1	grn_savage_orc_shaman_1	
grn_savage_orc_shaman_2	wh2_uniform_grn_savage_orc_shaman_2	grn_savage_orc_shaman_2	grn_savage_orc_shaman_2	
grn_savage_orc_shaman_3	wh2_uniform_grn_savage_orc_shaman_3	grn_savage_orc_shaman_3	grn_savage_orc_shaman_3	
grn_savage_orc_shaman_4	wh2_uniform_grn_savage_orc_shaman_4	grn_savage_orc_shaman_4	grn_savage_orc_shaman_4	
grn_orc_great_shaman_1	wh2_uniform_grn_orc_great_shaman_1	grn_orc_great_shaman_1	grn_orc_great_shaman_1	
grn_orc_great_shaman_2	wh2_uniform_grn_orc_great_shaman_2	grn_orc_great_shaman_2	grn_orc_great_shaman_2	
grn_orc_great_shaman_3	wh2_uniform_grn_orc_great_shaman_3	grn_orc_great_shaman_3	grn_orc_great_shaman_3	
grn_orc_great_shaman_4	wh2_uniform_grn_orc_great_shaman_4	grn_orc_great_shaman_4	grn_orc_great_shaman_4	
dwf_giant_slayer_1	wh2_uniform_dwf_giant_slayer_1	dwf_giant_slayer_1	dwf_giant_slayer_1	
dwf_giant_slayer_2	wh2_uniform_dwf_giant_slayer_2	dwf_giant_slayer_2	dwf_giant_slayer_2	
dwf_giant_slayer_3	wh2_uniform_dwf_giant_slayer_3	dwf_giant_slayer_3	dwf_giant_slayer_3	
dwf_giant_slayer_4	wh2_uniform_dwf_giant_slayer_4	dwf_giant_slayer_4	dwf_giant_slayer_4	
bst_doombull_1	wh2_uniform_bst_doombull_1	bst_doombull_1	bst_doombull_1	
bst_doombull_2	wh2_uniform_bst_doombull_2	bst_doombull_2	bst_doombull_2	
bst_doombull_3	wh2_uniform_bst_doombull_3	bst_doombull_3	bst_doombull_3	
bst_doombull_shield_1	wh2_uniform_bst_doombull_shield_1	bst_doombull_shield_1	bst_doombull_shield_1	
bst_doombull_shield_2	wh2_uniform_bst_doombull_shield_2	bst_doombull_shield_2	bst_doombull_shield_2	
bst_doombull_shield_3	wh2_uniform_bst_doombull_shield_3	bst_doombull_shield_3	bst_doombull_shield_3	
bst_doombull_dual_wield_1	wh2_uniform_bst_doombull_dual_wield_1	bst_doombull_dual_wield_1	bst_doombull_dual_wield_1	
bst_doombull_dual_wield_2	wh2_uniform_bst_doombull_dual_wield_2	bst_doombull_dual_wield_2	bst_doombull_dual_wield_2	
bst_doombull_dual_wield_3	wh2_uniform_bst_doombull_dual_wield_3	bst_doombull_dual_wield_3	bst_doombull_dual_wield_3	
wef_darkweaver_1	wh2_uniform_wef_darkweaver_1	wef_darkweaver_1	wef_darkweaver_1	
wef_darkweaver_2	wh2_uniform_wef_darkweaver_2	wef_darkweaver_2	wef_darkweaver_2	
wef_darkweaver_3	wh2_uniform_wef_darkweaver_3	wef_darkweaver_3	wef_darkweaver_3	
wef_highweaver_1	wh2_uniform_wef_highweaver_1	wef_highweaver_1	wef_highweaver_1	
wef_highweaver_2	wh2_uniform_wef_highweaver_2	wef_highweaver_2	wef_highweaver_2	
wef_highweaver_3	wh2_uniform_wef_highweaver_3	wef_highweaver_3	wef_highweaver_3	
vmp_vampire_countess_1	wh2_uniform_vmp_vampire_countess_1	vmp_vampire_countess_1	vmp_vampire_countess_1	
vmp_vampire_countess_2	wh2_uniform_vmp_vampire_countess_2	vmp_vampire_countess_2	vmp_vampire_countess_2	
vmp_vampire_countess_3	wh2_uniform_vmp_vampire_countess_3	vmp_vampire_countess_3	vmp_vampire_countess_3	
vmp_vampire_countess_4	wh2_uniform_vmp_vampire_countess_4	vmp_vampire_countess_4	vmp_vampire_countess_4	
vmp_vampire_countess_5	wh2_uniform_vmp_vampire_countess_5	vmp_vampire_countess_5	vmp_vampire_countess_5	
chs_shaggoth_champion_1	wh2_uniform_chs_shaggoth_champion_1	chs_shaggoth_champion_1	chs_shaggoth_champion_1	
chs_shaggoth_champion_2	wh2_uniform_chs_shaggoth_champion_2	chs_shaggoth_champion_2	chs_shaggoth_champion_2	
chs_shaggoth_champion_3	wh2_uniform_chs_shaggoth_champion_3	chs_shaggoth_champion_3	chs_shaggoth_champion_3	
nor_fimir_warlord_1	wh2_uniform_nor_fimir_warlord_1	nor_fimir_warlord_1	nor_fimir_warlord_1	
nor_fimir_warlord_2	wh2_uniform_nor_fimir_warlord_2	nor_fimir_warlord_2	nor_fimir_warlord_2	
nor_fimir_warlord_3	wh2_uniform_nor_fimir_warlord_3	nor_fimir_warlord_3	nor_fimir_warlord_3	
nor_fimir_warlord_4	wh2_uniform_nor_fimir_warlord_4	nor_fimir_warlord_4	nor_fimir_warlord_4	
nor_shaman_sorcerer_lord_1	wh2_uniform_nor_shaman_sorcerer_lord_1	nor_shaman_sorcerer_lord_1	nor_shaman_sorcerer_lord_1	
nor_shaman_sorcerer_lord_2	wh2_uniform_nor_shaman_sorcerer_lord_2	nor_shaman_sorcerer_lord_2	nor_shaman_sorcerer_lord_2	
nor_shaman_sorcerer_lord_3	wh2_uniform_nor_shaman_sorcerer_lord_3	nor_shaman_sorcerer_lord_3	nor_shaman_sorcerer_lord_3	
emp_wizard_fire_lord_01	wh2_uniform_emp_wizard_lord_fire_1	emp_wizard_fire_lord_01	emp_wizard_fire_lord_01	
emp_wizard_fire_lord_02	wh2_uniform_emp_wizard_lord_fire_2	emp_wizard_fire_lord_02	emp_wizard_fire_lord_02	
emp_wizard_fire_lord_03	wh2_uniform_emp_wizard_lord_fire_3	emp_wizard_fire_lord_03	emp_wizard_fire_lord_03	
emp_wizard_lord_shadow_1	wh2_uniform_emp_wizard_lord_shadow_1	emp_wizard_lord_shadow_1	emp_wizard_lord_shadow_1	
emp_wizard_lord_shadow_2	wh2_uniform_emp_wizard_lord_shadow_2	emp_wizard_lord_shadow_2	emp_wizard_lord_shadow_2	
emp_wizard_lord_heavens_1	wh2_uniform_emp_wizard_lord_heavens_1	emp_wizard_lord_heavens_1	emp_wizard_lord_heavens_1	
vmp_vampire_countess_5	wh2_dlc11_uniform_vmp_bloodline_lahmian_01	vmp_vampire_countess_5	vmp_vampire_countess_5	
vmp_necrarch_2	wh2_dlc11_uniform_vmp_bloodline_necrarch_01	vmp_necrarch_2	vmp_necrarch_2	
vmp_necrarch_1	wh2_uniform_vmp_necrarch_1	vmp_necrarch_1	vmp_necrarch_1	
vmp_necrarch_2	wh2_uniform_vmp_necrarch_2	vmp_necrarch_2	vmp_necrarch_2	
vmp_necrarch_3	wh2_uniform_vmp_necrarch_3	vmp_necrarch_3	vmp_necrarch_3	
vmp_blood_knight_lord_1	wh2_uniform_vmp_blood_knight_lord_1	vmp_blood_knight_lord_1	vmp_blood_knight_lord_1	
vmp_blood_knight_lord_2	wh2_uniform_vmp_blood_knight_lord_2	vmp_blood_knight_lord_2	vmp_blood_knight_lord_2	
vmp_blood_knight_lord_3	wh2_uniform_vmp_blood_knight_lord_3	vmp_blood_knight_lord_3	vmp_blood_knight_lord_3	
