cdir_military_generator_unit_qualities_tables	1
group_key	quality	unit_key
Default_land_magic	10	wh2_mixu_emp_cha_wizard_death
Default_land_magic	10	wh2_mixu_emp_cha_wizard_death_warhorse
Default_land_magic	10	wh2_mixu_emp_cha_wizard_death_pegasus
Default_land_magic	10	wh2_mixu_emp_cha_wizard_death_barded_warhorse
Default_land_magic	10	wh2_mixu_emp_cha_wizard_metal
Default_land_magic	10	wh2_mixu_emp_cha_wizard_metal_warhorse
Default_land_magic	10	wh2_mixu_emp_cha_wizard_metal_pegasus
Default_land_magic	10	wh2_mixu_emp_cha_wizard_metal_barded_warhorse
Default_land_command	10	wh2_mixu_wef_cha_spellweaver_beasts
Default_land_command	10	wh2_mixu_wef_cha_spellweaver_beasts_elven_steed
Default_land_command	10	wh2_mixu_wef_cha_spellweaver_beasts_great_eagle
Default_land_command	10	wh2_mixu_wef_cha_spellweaver_beasts_unicorn
Default_land_command	10	wh2_mixu_wef_cha_spellweaver_life
Default_land_command	10	wh2_mixu_wef_cha_spellweaver_life_elven_steed
Default_land_command	10	wh2_mixu_wef_cha_spellweaver_life_great_eagle
Default_land_command	10	wh2_mixu_wef_cha_spellweaver_life_unicorn
Default_land_command	10	wh2_mixu_wef_cha_spellweaver_shadows
Default_land_command	10	wh2_mixu_wef_cha_spellweaver_shadows_elven_steed
Default_land_command	10	wh2_mixu_wef_cha_spellweaver_shadows_great_eagle
Default_land_command	10	wh2_mixu_wef_cha_spellweaver_shadows_unicorn
Default_land_magic	10	wh2_mixu_wef_cha_shadowdancer
Default_land_command	10	wh2_mixu_emp_cha_wizard_lord_beasts
Default_land_command	10	wh2_mixu_emp_cha_wizard_lord_beasts_warhorse
Default_land_command	10	wh2_mixu_emp_cha_wizard_lord_beasts_barded_warhorse
Default_land_command	10	wh2_mixu_emp_cha_wizard_lord_beasts_griffon
Default_land_command	10	wh2_mixu_emp_cha_wizard_lord_beasts_pegasus
Default_land_command	10	wh2_mixu_emp_cha_wizard_lord_light
Default_land_command	10	wh2_mixu_emp_cha_wizard_lord_light_warhorse
Default_land_command	10	wh2_mixu_emp_cha_wizard_lord_light_pegasus
Default_land_command	10	wh2_mixu_emp_cha_wizard_lord_light_barded_warhorse
Default_land_command	10	wh2_mixu_emp_cha_wizard_lord_light_luminark
Default_land_command	10	wh2_mixu_emp_cha_wizard_lord_fire
Default_land_command	10	wh2_mixu_emp_cha_wizard_lord_fire_warhorse
Default_land_command	10	wh2_mixu_emp_cha_wizard_lord_fire_pegasus
Default_land_command	10	wh2_mixu_emp_cha_wizard_lord_fire_barded_warhorse
Default_land_command	10	wh2_mixu_grn_cha_savage_orc_warboss
Default_land_command	10	wh2_mixu_grn_cha_savage_orc_warboss_wyvern
Default_land_command	10	wh2_mixu_grn_cha_savage_orc_warboss_boar
Default_land_command	10	wh2_mixu_grn_cha_savage_orc_shaman
Default_land_command	10	wh2_mixu_grn_cha_savage_orc_shaman_boar
Default_land_command	10	wh2_mixu_grn_cha_savage_orc_shaman_wyvern
Default_land_command	10	wh2_mixu_dwf_cha_giant_slayer
Default_land_command	10	wh2_mixu_grn_cha_orc_great_shaman
Default_land_command	10	wh2_mixu_grn_cha_orc_great_shaman_boar
Default_land_command	10	wh2_mixu_grn_cha_orc_great_shaman_wyvern
Default_land_command	10	wh2_mixu_bst_cha_doombull
Default_land_command	10	wh2_mixu_bst_cha_doombull_shield
Default_land_command	10	wh2_mixu_bst_cha_doombull_dual_wield
Default_land_command	10	wh2_mixu_wef_cha_darkweaver
Default_land_command	10	wh2_mixu_wef_cha_darkweaver_elven_steed
Default_land_command	10	wh2_mixu_wef_cha_darkweaver_great_eagle
Default_land_command	10	wh2_mixu_wef_cha_darkweaver_unicorn
Default_land_command	10	wh2_mixu_wef_cha_highweaver
Default_land_command	10	wh2_mixu_wef_cha_highweaver_elven_steed
Default_land_command	10	wh2_mixu_wef_cha_highweaver_great_eagle
Default_land_command	10	wh2_mixu_wef_cha_highweaver_unicorn
Default_land_command	10	wh2_mixu_nor_cha_fimir_warlord
Default_land_command	10	wh2_mixu_nor_cha_shaman_sorcerer_lord_death
Default_land_command	10	wh2_mixu_nor_cha_shaman_sorcerer_lord_death_warhorse
Default_land_command	10	wh2_mixu_nor_cha_shaman_sorcerer_lord_death_chariot
Default_land_command	10	wh2_mixu_nor_cha_shaman_sorcerer_lord_death_manticore
Default_land_command	10	wh2_mixu_nor_cha_shaman_sorcerer_lord_death_warshrine
Default_land_command	10	wh2_mixu_nor_cha_shaman_sorcerer_lord_fire
Default_land_command	10	wh2_mixu_nor_cha_shaman_sorcerer_lord_fire_warhorse
Default_land_command	10	wh2_mixu_nor_cha_shaman_sorcerer_lord_fire_chariot
Default_land_command	10	wh2_mixu_nor_cha_shaman_sorcerer_lord_fire_manticore
Default_land_command	10	wh2_mixu_nor_cha_shaman_sorcerer_lord_fire_warshrine
Default_land_command	10	wh2_mixu_nor_cha_shaman_sorcerer_lord_metal
Default_land_command	10	wh2_mixu_nor_cha_shaman_sorcerer_lord_metal_warhorse
Default_land_command	10	wh2_mixu_nor_cha_shaman_sorcerer_lord_metal_chariot
Default_land_command	10	wh2_mixu_nor_cha_shaman_sorcerer_lord_metal_manticore
Default_land_command	10	wh2_mixu_nor_cha_shaman_sorcerer_lord_metal_warshrine
Default_land_command	10	wh2_mixu_emp_cha_wizard_lord_shadow
Default_land_command	10	wh2_mixu_emp_cha_wizard_lord_shadow_warhorse
Default_land_command	10	wh2_mixu_emp_cha_wizard_lord_shadow_pegasus
Default_land_command	10	wh2_mixu_emp_cha_wizard_lord_shadow_barded_warhorse
Default_land_command	10	wh2_mixu_emp_cha_wizard_lord_heavens
Default_land_command	10	wh2_mixu_emp_cha_wizard_lord_heavens_warhorse
Default_land_command	10	wh2_mixu_emp_cha_wizard_lord_heavens_pegasus
Default_land_command	10	wh2_mixu_emp_cha_wizard_lord_heavens_barded_warhorse
