effect_bonus_value_battle_context_junctions_tables	0
battle_context_key	bonus_value_id	effect_key
fighting_culture_any_elves	melee_damage_ap_mod_mult	wh2_main_effect_fighting_versus_all_elves_melee_damage
fighting_culture_any_elves	melee_damage_mod_mult	wh2_main_effect_fighting_versus_all_elves_melee_damage
fighting_culture_chaos	melee_attack_mod	wh2_main_effect_fighting_versus_chaos_melee_attack
fighting_norscan_factions	melee_attack_mod	wh2_main_effect_fighting_versus_chaos_melee_attack
fighting_culture_greenskins	melee_attack_mod	wh2_main_effect_fighting_versus_greenskins_melee_attack
fighting_culture_beastmen	melee_attack_mod	wh2_main_effect_fighting_versus_greenskins_melee_attack
fighting_culture_skaven	melee_attack_mod	wh2_main_effect_fighting_versus_skaven_melee_attack
fighting_culture_vampire_counts	melee_attack_mod	wh2_main_effect_fighting_versus_vampires_melee_attack
fighting_culture_greenskins	melee_damage_ap_mod_mult	wh2_main_effect_fighting_versus_greenskins_melee_damage
fighting_culture_beastmen	melee_damage_mod_mult	wh2_main_effect_fighting_versus_greenskins_melee_damage
fighting_culture_any_elves	melee_attack_mod	wh2_main_effect_fighting_versus_all_elves_melee_attack
fighting_culture_undead	morale	wh2_main_effect_fighting_versus_undead_morale
