campaign_mount_animation_set_overrides_tables	2
character_animation_set	mount_unit	rider_animation_set	vfx_filter_override
cam_hu1_empire_staff_and_sword	wh2_mixu_emp_cha_wizard_death_warhorse	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_hu1_empire_staff_and_sword	wh2_mixu_emp_cha_wizard_death_pegasus	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_hu1_empire_staff_and_sword	wh2_mixu_emp_cha_wizard_death_barded_warhorse	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_hu1_empire_staff_and_sword	wh2_mixu_emp_cha_wizard_metal_warhorse	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_hu1_empire_staff_and_sword	wh2_mixu_emp_cha_wizard_metal_pegasus	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_hu1_empire_staff_and_sword	wh2_mixu_emp_cha_wizard_metal_barded_warhorse	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_hu1b_elf_spellsinger	wh2_mixu_wef_cha_spellweaver_beasts_elven_steed	cam_hu1b_elf_spellsinger_hr1_warhorse	0
cam_hu1b_elf_spellsinger	wh2_mixu_wef_cha_spellweaver_beasts_unicorn	cam_hu1b_elf_spellsinger_hr1_warhorse	0
cam_hu1b_elf_spellsinger	wh2_mixu_wef_cha_spellweaver_beasts_great_eagle	cam_hu1b_elf_spellsinger_bi1_eagle	0
cam_hu1_empire_staff_and_sword	wh2_mixu_emp_cha_wizard_lord_beasts_warhorse	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_hu1_empire_staff_and_sword	wh2_mixu_emp_cha_wizard_lord_beasts_barded_warhorse	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_hu1_empire_staff_and_sword	wh2_mixu_emp_cha_wizard_lord_beasts_griffon	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_hu1_empire_staff_and_sword	wh2_mixu_emp_cha_wizard_lord_beasts_pegasus	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_hu1_empire_staff_and_sword	wh2_mixu_emp_cha_wizard_lord_light_warhorse	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_hu1_empire_staff_and_sword	wh2_mixu_emp_cha_wizard_lord_light_pegasus	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_hu1_empire_staff_and_sword	wh2_mixu_emp_cha_wizard_lord_light_barded_warhorse	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_hu1_empire_staff_and_sword	wh2_mixu_emp_cha_wizard_lord_light_luminark	cam_hu1_empire_war_altar_staff_and_sword	0
cam_hu2_orc_sword_and_axe	wh2_mixu_grn_cha_savage_orc_warboss_wyvern	cam_hu2_orc_bi2_wyvern_wb_sword_and_axe	0
cam_hu2_orc_sword_and_axe	wh2_mixu_grn_cha_savage_orc_warboss_boar	cam_hu2_orc_bo1_warboar_staff_and_sword	0
cam_hu2_orc_staff_and_sword	wh2_mixu_grn_cha_savage_orc_shaman_boar	cam_hu2_orc_bo1_warboar_staff_and_sword	0
cam_hu2_orc_staff_and_sword	wh2_mixu_grn_cha_savage_orc_shaman_wyvern	cam_hu2_orc_bi2_wyvern_wb_sword_and_axe	0
