special_ability_to_special_ability_phase_junctions_tables	1
order	phase	special_ability
1	wh2_main_spellweaver_passive_ancients_protection	wh2_main_spellweaver_passive_ancients_protection
1	wh2_main_light_wizard_passive_light_of_purity	wh2_main_light_wizard_passive_light_of_purity
1	wh2_main_amber_wizard_passive_the_beast_unleashed	wh2_main_amber_wizard_passive_the_beast_unleashed
1	wh2_main_doombull_slaughterers_call	wh2_main_doombull_slaughterers_call
1	wh_dlc03_hero_passive_the_unrelenting_warherd_iv	wh2_main_doombull_passive_the_unrelenting_warherd
1	wh_dlc03_hero_passive_strength_of_the_land_iv	wh2_main_doombull_passive_strength_of_the_land
1	wh2_main_doombull_blood_lust	wh2_main_doombull_blood_lust
1	wh2_main_darkweaver_passive_creeping_madness	wh2_main_darkweaver_passive_creeping_madness
1	wh2_main_darkweaver_passive_wrath_of_the_woods	wh2_main_darkweaver_passive_wrath_of_the_woods
1	wh2_main_highweaver_ability_blessing_of_lileath	wh2_main_highweaver_ability_blessing_of_lileath
1	wh2_main_highweaver_ability_lileaths_protection	wh2_main_highweaver_ability_lileaths_protection
1	wh2_main_darkweaver_passive_rampage	wh2_main_darkweaver_passive_rampage
1	wh2_main_vampire_countess_passive_seduction	wh2_main_vampire_countess_passive_seduction
1	wh2_main_vampire_countess_ability_domination	wh2_main_vampire_countess_ability_domination
1	wh2_main_vampire_countess_ability_beguile	wh2_main_vampire_countess_ability_beguile
1	wh2_main_coven_throne_passive_scrying_pool	wh2_main_coven_throne_passive_scrying_pool
1	wh2_main_coven_throne_passive_battle_of_wills	wh2_main_coven_throne_passive_battle_of_wills
1	wh2_main_slayer_hero_cb_giantslayer	wh2_main_slayer_hero_cb_giantslayer
1	wh2_main_slayer_hero_cb_dragonslayer	wh2_main_slayer_hero_cb_dragonslayer
1	wh2_main_slayer_hero_cb_daemonslayer	wh2_main_slayer_hero_cb_daemonslayer
1	wh2_main_character_abilities_cold_blooded	wh2_main_fimir_warlord_ability_cold_blooded
1	wh_dlc08_unit_abilities_favour_of_the_ruinous_powers	wh2_main_lord_passive_favour_of_the_ruinous_powers
1	wh_dlc08_unit_abilities_giver_of_glory	wh2_main_lord_ability_giver_of_glory
1	wh2_main_shadow_wizard_ability_mist_of_shadows	wh2_main_shadow_wizard_ability_mist_of_shadows
