land_units_tables	43
accuracy	armour	campaign_action_points	category	charge_bonus	class	dismounted_charge_bonus	dismounted_melee_attack	historical_description_text	key	man_animation	man_entity	melee_attack	melee_defence	morale	bonus_hit_points	mount	animal	num_animals	num_mounts	primary_melee_weapon	primary_missile_weapon	rank_depth	shield	short_description_text	spacing	strengths_&_weaknesses_text	supports_first_person	training_level	officers	articulated_record	engine	is_male	visibility_spotting_range_min	visibility_spotting_range_max	ability_global_recharge	attribute_group	spot_dist_tree	spot_dist_scrub	reload	loose_spacing	selection_vo	selected_vo_secondary	selected_vo_tertiary	hiding_scalar	capture_power	ground_stat_effect_group	secondary_ammo	primary_ammo	damage_mod_flame	damage_mod_magic	num_engines	damage_mod_physical	damage_mod_missile	damage_mod_all	ai_usage_group	can_skirmish	mounted_draughts	sync_locomotion
10	wh2_main_leather_20	2100	inf_ranged	15	com	9	50	wh_main_unit_long_text_emp_celestial_wizard	wh2_mixu_emp_cha_wizard_death	hu1_empire_staff_and_sword	wh_main_infantry_standard_wizard_blood_dismembers	25	30	55	3412			0	0	wh_main_emp_sword_caster		1	none	wh_main_unit_short_text_emp_amethyst_wizard	wh_main_infantry	placeholder	false	elite	A_blank_record			true	40	1500	0	wh_encourage_hideForest	60	80	0	false	vo_sel_default	vo_sel_generic	vo_sel_generic_short	1	10	small	0	0	0	0	0	0	15	0	mage_highvalue	false	false	false
10	wh2_main_leather_20	2100	cavalry	30	com	9	50	wh_main_unit_long_text_emp_celestial_wizard	wh2_mixu_emp_cha_wizard_death_warhorse	hu1_empire_hr1_warhorse_staff_and_sword	wh_main_infantry_standard_wizard_rider_blood_dismembers	25	30	55	3832	wh_main_emp_mnt_warhorse_360		0	1	wh_main_emp_sword_caster		1	none	wh_main_unit_short_text_emp_amethyst_wizard	wh_main_cavalry_chaotic	placeholder	false	elite	A_blank_record			true	40	1500	0	wh_encourage_hideForest	60	80	0	false	vo_sel_default	vo_sel_generic	vo_sel_generic_short	1	8	large	0	0	0	0	0	0	15	0	mage_highvalue	false	false	false
10	wh2_main_plate_50	2100	cavalry	30	com	9	50	wh_main_unit_long_text_emp_celestial_wizard	wh2_mixu_emp_cha_wizard_death_pegasus	hu1_empire_hr1_pegasus_staff_and_sword	wh_main_infantry_standard_wizard_rider_blood_dismembers	25	30	55	4000	wh_main_emp_mnt_pegasus		0	1	wh_main_emp_sword_caster		1	none	wh_main_unit_short_text_emp_amethyst_wizard	wh_main_monstrous_cavalry	placeholder	false	elite	A_blank_record			true	40	1500	0	wh_encourage	60	80	0	false	vo_sel_default	vo_sel_generic	vo_sel_generic_short	1	0	large	0	0	0	0	0	0	15	0	mage_highvalue	false	false	false
10	wh2_main_plate_50	2100	cavalry	30	com	9	50	wh_main_unit_long_text_emp_celestial_wizard	wh2_mixu_emp_cha_wizard_death_barded_warhorse	hu1_empire_hr1_warhorse_staff_and_sword	wh_main_infantry_standard_wizard_rider_blood_dismembers	25	30	55	3832	wh_main_emp_mnt_warhorse_barded_hero		0	1	wh_main_emp_sword_caster		1	none	wh_main_unit_short_text_emp_amethyst_wizard	wh_main_cavalry_chaotic	placeholder	false	elite	A_blank_record			true	40	1500	0	wh_encourage_hideForest	60	80	0	false	vo_sel_default	vo_sel_generic	vo_sel_generic_short	1	8	large	0	0	0	0	0	0	15	0	mage_highvalue	false	false	false
10	wh2_main_leather_20	2100	inf_ranged	15	com	9	50	wh_main_unit_long_text_emp_celestial_wizard	wh2_mixu_emp_cha_wizard_metal	hu1_empire_staff_and_sword	wh_main_infantry_standard_wizard_blood_dismembers	25	30	55	3412			0	0	wh_main_emp_sword_caster		1	none	wh_main_unit_short_text_emp_gold_wizard	wh_main_infantry	placeholder	false	elite	A_blank_record			true	40	1500	0	wh_encourage_hideForest	60	80	0	false	vo_sel_default	vo_sel_generic	vo_sel_generic_short	1	10	small	0	0	0	0	0	0	15	0	mage_highvalue	false	false	false
10	wh2_main_leather_20	2100	cavalry	30	com	9	50	wh_main_unit_long_text_emp_celestial_wizard	wh2_mixu_emp_cha_wizard_metal_warhorse	hu1_empire_hr1_warhorse_staff_and_sword	wh_main_infantry_standard_wizard_rider_blood_dismembers	25	30	55	3832	wh_main_emp_mnt_warhorse_360		0	1	wh_main_emp_sword_caster		1	none	wh_main_unit_short_text_emp_gold_wizard	wh_main_cavalry_chaotic	placeholder	false	elite	A_blank_record			true	40	1500	0	wh_encourage_hideForest	60	80	0	false	vo_sel_default	vo_sel_generic	vo_sel_generic_short	1	8	large	0	0	0	0	0	0	15	0	mage_highvalue	false	false	false
10	wh2_main_plate_50	2100	cavalry	30	com	9	50	wh_main_unit_long_text_emp_celestial_wizard	wh2_mixu_emp_cha_wizard_metal_pegasus	hu1_empire_hr1_pegasus_staff_and_sword	wh_main_infantry_standard_wizard_rider_blood_dismembers	25	30	55	4000	wh_main_emp_mnt_pegasus		0	1	wh_main_emp_sword_caster		1	none	wh_main_unit_short_text_emp_gold_wizard	wh_main_monstrous_cavalry	placeholder	false	elite	A_blank_record			true	40	1500	0	wh_encourage	60	80	0	false	vo_sel_default	vo_sel_generic	vo_sel_generic_short	1	0	large	0	0	0	0	0	0	15	0	mage_highvalue	false	false	false
10	wh2_main_plate_50	2100	cavalry	30	com	9	50	wh_main_unit_long_text_emp_celestial_wizard	wh2_mixu_emp_cha_wizard_metal_barded_warhorse	hu1_empire_hr1_warhorse_staff_and_sword	wh_main_infantry_standard_wizard_rider_blood_dismembers	25	30	55	3832	wh_main_emp_mnt_warhorse_barded_hero		0	1	wh_main_emp_sword_caster		1	none	wh_main_unit_short_text_emp_gold_wizard	wh_main_cavalry_chaotic	placeholder	false	elite	A_blank_record			true	40	1500	0	wh_encourage_hideForest	60	80	0	false	vo_sel_default	vo_sel_generic	vo_sel_generic_short	1	8	large	0	0	0	0	0	0	15	0	mage_highvalue	false	false	false
10	wh2_main_body_15	2100	inf_melee	19	com	13	71	wh_dlc05_unit_long_text_wef_spellsinger	wh2_mixu_wef_cha_spellweaver_beasts	hu1b_elf_spellsinger_sword	wh_dlc05_wef_spellsinger_blood_dismembers	38	42	70	3680			0	0	wh_dlc05_wef_sword_wizard		1	none	wh_dlc05_unit_short_text_wef_spellsinger	wh_main_infantry	placeholder	false	elite	A_blank_record			true	40	1500	0	wh_encourage_hideForest	60	80	0	false	vo_sel_default	vo_sel_generic	vo_sel_generic_short	1	10	elves_wef	0	0	0	0	0	0	15	0	mage_highvalue	false	false	false
10	wh2_main_body_15	2100	cavalry	34	com	13	71	wh_dlc05_unit_long_text_wef_spellsinger	wh2_mixu_wef_cha_spellweaver_beasts_elven_steed	hu1b_elf_spellsinger_hr1_warhorse_sword	wh_dlc05_wef_spellsinger_blood	38	42	70	4152	wh_dlc05_wef_mnt_elven_steed		0	1	wh_dlc05_wef_sword_wizard		1	none	wh_dlc05_unit_short_text_wef_spellsinger	wh_main_cavalry_ordered	placeholder	false	elite	A_blank_record			true	40	1500	0	wh_encourage_hideForest	60	80	0	false	vo_sel_default	vo_sel_generic	vo_sel_generic_short	1	10	large_bst	0	0	0	0	0	0	15	0	mage_highvalue	false	false	false
