character_skill_level_details_tables	0
faction_key	subculture_key	image_path	level	skill_key	campaign_key	unlocked_at_rank
		x	1	wh_main_skill_mount_emp_cha_wizard_death_warhorse		4
		x	1	wh_main_skill_mount_emp_cha_wizard_death_pegasus		16
		x	1	wh_main_skill_mount_emp_cha_wizard_metal_warhorse		4
		x	1	wh_main_skill_mount_emp_cha_wizard_metal_pegasus		16
		x	2	wh_main_skill_mount_emp_cha_wizard_death_warhorse		8
		x	2	wh_main_skill_mount_emp_cha_wizard_metal_warhorse		8
		x	1	wh_main_skill_mount_wef_spellweaver_elven_steed		4
		x	1	wh_main_skill_mount_wef_spellweaver_unicorn		8
		x	1	wh_main_skill_mount_wef_spellweaver_great_eagle		12
		x	1	wh_main_skill_wef_shadowdancers_whirling_death		10
		x	1	wh_main_skill_wef_shadowdancers_storm_of_blades		10
		x	1	wh_main_skill_wef_shadowdancers_shadows_coil		10
		x	1	wh_main_skill_wef_shadowdancers_talismanic_tattoos		10
		x	1	wh_main_skill_wef_shadowdancers_pathfinder		15
		x	1	wh_main_skill_mount_emp_cha_wizard_lord_beasts_warhorse		4
		x	1	wh_main_skill_mount_emp_cha_wizard_lord_beasts_griffon		18
		x	1	wh_main_skill_mount_emp_cha_wizard_lord_beasts_pegasus		12
		x	1	wh_main_skill_mount_emp_cha_wizard_lord_light_warhorse		4
		x	1	wh_main_skill_mount_emp_cha_wizard_lord_light_pegasus		12
		x	1	wh_main_skill_mount_emp_cha_wizard_lord_light_luminark		18
		x	2	wh_main_skill_mount_emp_cha_wizard_lord_beasts_warhorse		8
		x	2	wh_main_skill_mount_emp_cha_wizard_lord_light_warhorse		8
		x	2	wh_main_skill_all_magic_light_03_exorcism_lord		15
		x	2	wh_dlc03_skill_magic_beasts_wild_heart_lord		15
		x	2	wh_main_skill_all_magic_fire_04_kindleflame_lord		15
		x	1	wh_main_skill_all_emp_campaign_magister		19
		x	1	wh_main_skill_mount_grn_savage_orc_warboss_wyvern		14
		x	1	wh_main_skill_mount_grn_savage_orc_warboss_boar		1
		x	1	wh_main_skill_mount_grn_savage_orc_shaman_boar		4
		x	1	wh_main_skill_mount_grn_savage_orc_shaman_wyvern		17
		x	1	wh_main_skill_grn_army_tunneling_thingy		5
		x	1	wh_main_skill_mount_grn_orc_great_shaman_boar		4
		x	1	wh_main_skill_mount_grn_orc_great_shaman_wyvern		17
		x	1	wh_main_skill_dwf_slayer_special_dragon_slayer		14
		x	1	wh_main_skill_dwf_slayer_special_daemon_slayer		24
		x	1	wh_main_skill_dwf_slayer_special_giant_slayer		1
		x	1	wh_main_skill_dwf_slayer_self_immortality		34
		x	1	wh_main_skill_bst_doombull_weapon_choice_shield		1
		x	1	wh_main_skill_bst_doombull_weapon_choice_dual_wield		1
		x	1	wh_main_skill_bst_doombull_fuelled_by_blood		5
		x	1	wh_main_skill_bst_doombull_voice_of_the_dark_gods		9
		x	1	wh_main_skill_bst_doombull_unholy_resilience		15
		x	1	wh_main_skill_bst_doombull_slaughterers_call		5
		x	1	wh_main_skill_mount_wef_darkweaver_elven_steed		4
		x	1	wh_main_skill_mount_wef_darkweaver_unicorn		8
		x	1	wh_main_skill_mount_wef_darkweaver_great_eagle		12
		x	1	wh_main_skill_mount_wef_highweaver_elven_steed		4
		x	1	wh_main_skill_mount_wef_highweaver_unicorn		8
		x	1	wh_main_skill_mount_wef_highweaver_great_eagle		12
		x	1	wh2_skill_vmp_necrarch_the_awakening		12
		x	1	wh2_skill_vmp_necrarch_dark_acolyte		9
		x	1	wh2_skill_vmp_necrarch_unholy_cynosure		12
		x	1	wh2_skill_vmp_necrarch_master_of_the_black_arts		19
		x	1	wh2_skill_vmp_necrarch_forbidden_lore		9
		x	1	wh2_skill_vmp_necrarch_lord_of_the_scourge		12
		x	1	wh2_skill_vmp_necrarch_thrall_master		12
		x	1	wh2_skill_vmp_necrarch_nehekharas_noble_blood		19
		x	1	wh_main_skill_mount_vmp_necrarch_barded_nightmare		8
		x	1	wh_main_skill_mount_vmp_necrarch_hellsteed		13
		x	1	wh_main_skill_mount_vmp_necrarch_zombie_dragon		24
		x	1	wh2_skill_vmp_necrarch_master_of_the_dead		3
		x	1	wh2_skill_vmp_vampire_countess_immortal_will		7
		x	1	wh_main_skill_mount_vmp_vampire_countess_barded_nightmare		6
		x	1	wh_main_skill_mount_vmp_vampire_countess_hellsteed		11
		x	1	wh_main_skill_mount_vmp_vampire_countess_coven_throne		24
		x	1	wh2_skill_vmp_vampire_countess_quickblood		11
		x	1	wh2_skill_vmp_vampire_countess_innocence_lost		11
		x	1	wh2_skill_vmp_vampire_countess_plots_within_plots		14
		x	1	wh2_skill_vmp_vampire_countess_the_dead_walk_fast		14
		x	1	wh_main_skill_mount_blood_knight_lord_barded_nightmare		6
		x	1	wh2_skill_vmp_blood_knight_avatar_of_death		9
		x	1	wh2_skill_chs_shaggoth_champion_unique_storm_rage		15
		x	1	wh_main_skill_mount_nor_shaman_sorcerer_lord_death_norscan_warhorse		7
		x	1	wh_main_skill_mount_nor_shaman_sorcerer_lord_death_marauder_chariot		11
		x	1	wh_main_skill_mount_nor_shaman_sorcerer_lord_death_manticore		19
		x	1	wh_main_skill_mount_nor_shaman_sorcerer_lord_death_mammoth_warshrine		24
		x	1	wh_main_skill_mount_nor_shaman_sorcerer_lord_fire_norscan_warhorse		7
		x	1	wh_main_skill_mount_nor_shaman_sorcerer_lord_fire_marauder_chariot		11
		x	1	wh_main_skill_mount_nor_shaman_sorcerer_lord_fire_manticore		19
		x	1	wh_main_skill_mount_nor_shaman_sorcerer_lord_fire_mammoth_warshrine		24
		x	1	wh_main_skill_mount_nor_shaman_sorcerer_lord_metal_norscan_warhorse		7
		x	1	wh_main_skill_mount_nor_shaman_sorcerer_lord_metal_marauder_chariot		11
		x	1	wh_main_skill_mount_nor_shaman_sorcerer_lord_metal_manticore		19
		x	1	wh_main_skill_mount_nor_shaman_sorcerer_lord_metal_mammoth_warshrine		24
		x	1	wh_main_skill_wef_shadowdancers_illusions_of_darkness		10
		x	1	wh_main_skill_mount_vmp_vampire_countess_shadow_barded_nightmare		6
		x	1	wh_main_skill_mount_vmp_vampire_countess_shadow_hellsteed		11
		x	1	wh_main_skill_mount_vmp_vampire_countess_shadow_coven_throne		24
		x	1	wh_main_skill_mount_emp_cha_wizard_lord_shadow_warhorse		4
		x	1	wh_main_skill_mount_emp_cha_wizard_lord_shadow_pegasus		12
		x	1	wh_main_skill_mount_emp_cha_wizard_lord_heavens_warhorse		4
		x	1	wh_main_skill_mount_emp_cha_wizard_lord_heavens_pegasus		12
		x	1	wh_main_skill_emp_grey_wizard_lord_unique_illusion_of_darkness		9
		x	2	wh_main_skill_emp_grey_wizard_lord_unique_illusion_of_darkness		19
