land_units_to_unit_abilites_junctions_tables	0
ability	land_unit
wh_dlc05_hero_passive_blessing_of_the_ancients	wh2_mixu_wef_cha_spellweaver_beasts
wh_dlc05_hero_passive_blessing_of_the_ancients	wh2_mixu_wef_cha_spellweaver_beasts_elven_steed
wh_dlc05_hero_passive_blessing_of_the_ancients	wh2_mixu_wef_cha_spellweaver_beasts_great_eagle
wh_dlc05_hero_passive_blessing_of_the_ancients	wh2_mixu_wef_cha_spellweaver_beasts_unicorn
wh_dlc05_hero_passive_blessing_of_the_ancients	wh2_mixu_wef_cha_spellweaver_life
wh_dlc05_hero_passive_blessing_of_the_ancients	wh2_mixu_wef_cha_spellweaver_life_elven_steed
wh_dlc05_hero_passive_blessing_of_the_ancients	wh2_mixu_wef_cha_spellweaver_life_great_eagle
wh_dlc05_hero_passive_blessing_of_the_ancients	wh2_mixu_wef_cha_spellweaver_life_unicorn
wh_dlc05_hero_passive_blessing_of_the_ancients	wh2_mixu_wef_cha_spellweaver_shadows
wh_dlc05_hero_passive_blessing_of_the_ancients	wh2_mixu_wef_cha_spellweaver_shadows_elven_steed
wh_dlc05_hero_passive_blessing_of_the_ancients	wh2_mixu_wef_cha_spellweaver_shadows_great_eagle
wh_dlc05_hero_passive_blessing_of_the_ancients	wh2_mixu_wef_cha_spellweaver_shadows_unicorn
wh_main_character_abilities_arcane_conduit	wh2_mixu_wef_cha_spellweaver_beasts
wh_main_character_passive_evasion	wh2_mixu_wef_cha_spellweaver_beasts
wh_main_character_abilities_arcane_conduit	wh2_mixu_wef_cha_spellweaver_beasts_elven_steed
wh_main_character_passive_evasion	wh2_mixu_wef_cha_spellweaver_beasts_elven_steed
wh_main_character_abilities_arcane_conduit	wh2_mixu_wef_cha_spellweaver_beasts_great_eagle
wh_main_character_passive_evasion	wh2_mixu_wef_cha_spellweaver_beasts_great_eagle
wh_main_character_abilities_arcane_conduit	wh2_mixu_wef_cha_spellweaver_beasts_unicorn
wh_main_character_passive_evasion	wh2_mixu_wef_cha_spellweaver_beasts_unicorn
wh_main_character_abilities_arcane_conduit	wh2_mixu_wef_cha_spellweaver_life
wh_main_character_passive_evasion	wh2_mixu_wef_cha_spellweaver_life
wh_main_character_abilities_arcane_conduit	wh2_mixu_wef_cha_spellweaver_life_elven_steed
wh_main_character_passive_evasion	wh2_mixu_wef_cha_spellweaver_life_elven_steed
wh_main_character_abilities_arcane_conduit	wh2_mixu_wef_cha_spellweaver_life_great_eagle
wh_main_character_passive_evasion	wh2_mixu_wef_cha_spellweaver_life_great_eagle
wh_main_character_abilities_arcane_conduit	wh2_mixu_wef_cha_spellweaver_life_unicorn
wh_main_character_passive_evasion	wh2_mixu_wef_cha_spellweaver_life_unicorn
wh_main_character_abilities_arcane_conduit	wh2_mixu_wef_cha_spellweaver_shadows
wh_main_character_passive_evasion	wh2_mixu_wef_cha_spellweaver_shadows
wh_main_character_abilities_arcane_conduit	wh2_mixu_wef_cha_spellweaver_shadows_elven_steed
wh_main_character_passive_evasion	wh2_mixu_wef_cha_spellweaver_shadows_elven_steed
wh_main_character_abilities_arcane_conduit	wh2_mixu_wef_cha_spellweaver_shadows_great_eagle
wh_main_character_passive_evasion	wh2_mixu_wef_cha_spellweaver_shadows_great_eagle
wh_main_character_abilities_arcane_conduit	wh2_mixu_wef_cha_spellweaver_shadows_unicorn
wh_main_character_passive_evasion	wh2_mixu_wef_cha_spellweaver_shadows_unicorn
wh2_main_spellweaver_passive_ancients_protection	wh2_mixu_wef_cha_spellweaver_beasts
wh2_main_spellweaver_passive_ancients_protection	wh2_mixu_wef_cha_spellweaver_beasts_elven_steed
wh2_main_spellweaver_passive_ancients_protection	wh2_mixu_wef_cha_spellweaver_beasts_great_eagle
wh2_main_spellweaver_passive_ancients_protection	wh2_mixu_wef_cha_spellweaver_beasts_unicorn
wh2_main_spellweaver_passive_ancients_protection	wh2_mixu_wef_cha_spellweaver_life
wh2_main_spellweaver_passive_ancients_protection	wh2_mixu_wef_cha_spellweaver_life_elven_steed
wh2_main_spellweaver_passive_ancients_protection	wh2_mixu_wef_cha_spellweaver_life_great_eagle
wh2_main_spellweaver_passive_ancients_protection	wh2_mixu_wef_cha_spellweaver_life_unicorn
wh2_main_spellweaver_passive_ancients_protection	wh2_mixu_wef_cha_spellweaver_shadows
wh2_main_spellweaver_passive_ancients_protection	wh2_mixu_wef_cha_spellweaver_shadows_elven_steed
wh2_main_spellweaver_passive_ancients_protection	wh2_mixu_wef_cha_spellweaver_shadows_great_eagle
wh2_main_spellweaver_passive_ancients_protection	wh2_mixu_wef_cha_spellweaver_shadows_unicorn
wh_dlc05_hero_passive_blessing_of_the_ancients	wh2_mixu_wef_cha_shadowdancer
wh_dlc05_unit_abilities_the_shadows_coil	wh2_mixu_wef_cha_shadowdancer
wh_dlc05_unit_abilities_woven_mist	wh2_mixu_wef_cha_shadowdancer
wh_main_character_abilities_foe_seeker	wh2_mixu_wef_cha_shadowdancer
wh_main_mount_abilities_locus_of_hysh	wh2_mixu_emp_cha_wizard_lord_light_luminark
wh_main_mount_passive_aura_of_protection	wh2_mixu_emp_cha_wizard_lord_light_luminark
wh_main_character_abilities_arcane_conduit	wh2_mixu_emp_cha_wizard_lord_beasts
wh_main_character_passive_evasion	wh2_mixu_emp_cha_wizard_lord_beasts
wh_main_character_abilities_arcane_conduit	wh2_mixu_emp_cha_wizard_lord_beasts_warhorse
wh_main_character_passive_evasion	wh2_mixu_emp_cha_wizard_lord_beasts_warhorse
wh_main_character_abilities_arcane_conduit	wh2_mixu_emp_cha_wizard_lord_beasts_barded_warhorse
wh_main_character_passive_evasion	wh2_mixu_emp_cha_wizard_lord_beasts_barded_warhorse
wh_main_character_abilities_arcane_conduit	wh2_mixu_emp_cha_wizard_lord_beasts_griffon
wh_main_character_passive_evasion	wh2_mixu_emp_cha_wizard_lord_beasts_griffon
wh_main_character_abilities_arcane_conduit	wh2_mixu_emp_cha_wizard_lord_beasts_pegasus
wh_main_character_passive_evasion	wh2_mixu_emp_cha_wizard_lord_beasts_pegasus
