units_custom_battle_mounts_tables	1
base_unit	icon_name	mounted_unit
wh2_mixu_emp_cha_wizard_death	ui/campaign ui/mounts/mount_warhorse.png	wh2_mixu_emp_cha_wizard_death_warhorse
wh2_mixu_emp_cha_wizard_death	ui/campaign ui/mounts/mount_imperial_pegasus.png	wh2_mixu_emp_cha_wizard_death_pegasus
wh2_mixu_emp_cha_wizard_death	ui/campaign ui/mounts/mount_barded_warhorse.png	wh2_mixu_emp_cha_wizard_death_barded_warhorse
wh2_mixu_emp_cha_wizard_metal	ui/campaign ui/mounts/mount_warhorse.png	wh2_mixu_emp_cha_wizard_metal_warhorse
wh2_mixu_emp_cha_wizard_metal	ui/campaign ui/mounts/mount_imperial_pegasus.png	wh2_mixu_emp_cha_wizard_metal_pegasus
wh2_mixu_emp_cha_wizard_metal	ui/campaign ui/mounts/mount_barded_warhorse.png	wh2_mixu_emp_cha_wizard_metal_barded_warhorse
wh2_mixu_wef_cha_spellweaver_beasts	ui/campaign ui/mounts/mount_warhorse.png	wh2_mixu_wef_cha_spellweaver_beasts_elven_steed
wh2_mixu_wef_cha_spellweaver_beasts	ui/campaign ui/mounts/mount_great_eagle.png	wh2_mixu_wef_cha_spellweaver_beasts_great_eagle
wh2_mixu_wef_cha_spellweaver_beasts	ui/campaign ui/mounts/mount_unicorn.png	wh2_mixu_wef_cha_spellweaver_beasts_unicorn
wh2_mixu_wef_cha_spellweaver_life	ui/campaign ui/mounts/mount_warhorse.png	wh2_mixu_wef_cha_spellweaver_life_elven_steed
wh2_mixu_wef_cha_spellweaver_life	ui/campaign ui/mounts/mount_great_eagle.png	wh2_mixu_wef_cha_spellweaver_life_great_eagle
wh2_mixu_wef_cha_spellweaver_life	ui/campaign ui/mounts/mount_unicorn.png	wh2_mixu_wef_cha_spellweaver_life_unicorn
wh2_mixu_wef_cha_spellweaver_shadows	ui/campaign ui/mounts/mount_warhorse.png	wh2_mixu_wef_cha_spellweaver_shadows_elven_steed
wh2_mixu_wef_cha_spellweaver_shadows	ui/campaign ui/mounts/mount_great_eagle.png	wh2_mixu_wef_cha_spellweaver_shadows_great_eagle
wh2_mixu_wef_cha_spellweaver_shadows	ui/campaign ui/mounts/mount_unicorn.png	wh2_mixu_wef_cha_spellweaver_shadows_unicorn
wh2_mixu_emp_cha_wizard_lord_beasts	ui/campaign ui/mounts/mount_warhorse.png	wh2_mixu_emp_cha_wizard_lord_beasts_warhorse
wh2_mixu_emp_cha_wizard_lord_beasts	ui/campaign ui/mounts/mount_barded_warhorse.png	wh2_mixu_emp_cha_wizard_lord_beasts_barded_warhorse
wh2_mixu_emp_cha_wizard_lord_beasts	ui/campaign ui/mounts/mount_imperial_griffon.png	wh2_mixu_emp_cha_wizard_lord_beasts_griffon
wh2_mixu_emp_cha_wizard_lord_beasts	ui/campaign ui/mounts/mount_imperial_pegasus.png	wh2_mixu_emp_cha_wizard_lord_beasts_pegasus
wh2_mixu_emp_cha_wizard_lord_light	ui/campaign ui/mounts/mount_warhorse.png	wh2_mixu_emp_cha_wizard_lord_light_warhorse
wh2_mixu_emp_cha_wizard_lord_light	ui/campaign ui/mounts/mount_imperial_pegasus.png	wh2_mixu_emp_cha_wizard_lord_light_pegasus
wh2_mixu_emp_cha_wizard_lord_light	ui/campaign ui/mounts/mount_barded_warhorse.png	wh2_mixu_emp_cha_wizard_lord_light_barded_warhorse
wh2_mixu_emp_cha_wizard_lord_light	ui/campaign ui/mounts/mount_war_altar_of_sigmar.png	wh2_mixu_emp_cha_wizard_lord_light_luminark
wh2_mixu_emp_cha_wizard_lord_fire	ui/campaign ui/mounts/mount_warhorse.png	wh2_mixu_emp_cha_wizard_lord_fire_warhorse
