character_skill_nodes_skill_locks_tables	0
character_skill	character_skill_node	level
wh_main_skill_wef_shadowdancers_whirling_death	wh_main_skill_node_wef_shadowdancer_unique_02	1
wh_main_skill_wef_shadowdancers_storm_of_blades	wh_main_skill_node_wef_shadowdancer_unique_03	1
wh_main_skill_wef_shadowdancers_shadows_coil	wh_main_skill_node_wef_shadowdancer_unique_01	1
wh_main_skill_wef_shadowdancers_whirling_death	wh_main_skill_node_wef_shadowdancer_unique_03	1
wh_main_skill_wef_shadowdancers_storm_of_blades	wh_main_skill_node_wef_shadowdancer_unique_01	1
wh_main_skill_wef_shadowdancers_shadows_coil	wh_main_skill_node_wef_shadowdancer_unique_02	1
wh_main_skill_bst_doombull_the_unrelenting_warherd	wh_main_skill_node_bst_doombull_army_2	1
wh_main_skill_bst_doombull_strength_of_the_land	wh_main_skill_node_bst_doombull_special_2	1
wh_main_skill_all_magic_fire_01_fireball	wh_main_skill_node_wef_darkweaver_death_magic_01	1
wh_main_skill_all_magic_death_01_spirit_leech	wh_main_skill_node_wef_darkweaver_fire_magic_01	1
wh_main_skill_all_magic_light_01_shems_burning_gaze	wh_main_skill_node_wef_highweaver_life_magic_01	1
wh_main_skill_life_magic_awakening_of_the_wood_lord	wh_main_skill_node_wef_highweaver_light_magic_01	1
wh_dlc05_skill_magic_shadow_mystifying_miasma	wh_main_skill_node_wef_spellweaver_heavens_magic_01	1
wh_main_skill_all_magic_heavens_01_harmonic_convergence	wh_main_skill_node_wef_spellweaver_shadow_magic_01	1
wh_dlc08_skill_nor_lords_battle_fight_or_die	wh_main_skill_node_nor_shaman_sorcerer_lord_fire_battle_a_06	1
wh_dlc08_skill_nor_lord_battle_stand_or_die	wh_main_skill_node_nor_shaman_sorcerer_lord_fire_battle_b_06	1
wh_dlc08_skill_nor_lord_self_carrier_of_death	wh_main_skill_node_nor_shaman_sorcerer_lord_fire_self_a_01	1
wh_dlc08_skill_nor_lord_self_indulger_of_the_exotic	wh_main_skill_node_nor_shaman_sorcerer_lord_fire_self_a_01	1
wh_dlc08_skill_nor_lord_self_intoxicating_visions	wh_main_skill_node_nor_shaman_sorcerer_lord_fire_self_a_01	1
wh_dlc08_skill_nor_lord_self_putrefying_ooze	wh_main_skill_node_nor_shaman_sorcerer_lord_fire_self_a_01	1
wh_dlc08_skill_nor_lord_self_carrier_of_death	wh_main_skill_node_nor_shaman_sorcerer_lord_fire_self_a_02	1
wh_dlc08_skill_nor_lord_self_indulger_of_the_exotic	wh_main_skill_node_nor_shaman_sorcerer_lord_fire_self_a_02	1
wh_dlc08_skill_nor_lord_self_intoxicating_visions	wh_main_skill_node_nor_shaman_sorcerer_lord_fire_self_a_02	1
wh_dlc08_skill_nor_lord_self_putrefying_ooze	wh_main_skill_node_nor_shaman_sorcerer_lord_fire_self_a_02	1
wh_dlc08_skill_nor_lord_self_dark_deceiver	wh_main_skill_node_nor_shaman_sorcerer_lord_fire_self_a_04	1
wh_dlc08_skill_nor_lord_self_indulger_of_the_exotic	wh_main_skill_node_nor_shaman_sorcerer_lord_fire_self_a_04	1
wh_dlc08_skill_nor_lord_self_intoxicating_visions	wh_main_skill_node_nor_shaman_sorcerer_lord_fire_self_a_04	1
wh_main_skill_nor_shaman_sorcerer_lord_self_spirit_wanderer	wh_main_skill_node_nor_shaman_sorcerer_lord_fire_self_a_04	1
wh_dlc08_skill_nor_lord_self_dark_deceiver	wh_main_skill_node_nor_shaman_sorcerer_lord_fire_self_a_05	1
wh_dlc08_skill_nor_lord_self_indulger_of_the_exotic	wh_main_skill_node_nor_shaman_sorcerer_lord_fire_self_a_05	1
wh_dlc08_skill_nor_lord_self_intoxicating_visions	wh_main_skill_node_nor_shaman_sorcerer_lord_fire_self_a_05	1
wh_main_skill_nor_shaman_sorcerer_lord_self_spirit_wanderer	wh_main_skill_node_nor_shaman_sorcerer_lord_fire_self_a_05	1
