campaign_features_tables	0
available	feature	group
false	additional_army_upkeep	wh2_dlc09_feature_tomb_kings
false	additional_army_upkeep	wh_dlc03_feature_beastmen
true	additional_army_upkeep	wh_feature_all
false	additional_army_upkeep	wh_feature_bretonnia
false	additional_army_upkeep	wh_feature_chaos
true	ambush_in_default_stance	wh2_dlc10_feature_alith_anar
true	ambush_in_default_stance	wh2_main_feature_skaven
true	ambush_in_default_stance	wh_dlc03_feature_beastmen
true	assign_edicts	wh_feature_all
false	dwarven_grudges	wh_feature_all
true	dwarven_grudges	wh_feature_dwarfs
true	enslaving_captives_replenishes_hitpoints	wh_dlc03_feature_beastmen
true	enslaving_captives_replenishes_hitpoints	wh_feature_greenskins
true	enslaving_captives_replenishes_hitpoints	wh_feature_vampire_counts
false	factionwide_recruitment	wh2_main_feature_dark_elves
false	factionwide_recruitment	wh_dlc03_feature_beastmen
true	factionwide_recruitment	wh_feature_all
false	factionwide_recruitment	wh_feature_chaos
true	factionwide_recruitment	wh_feature_norsca
false	factionwide_recruitment	wh_feature_vampire_counts
true	food_garrison_exemption	wh_dlc05_feature_wood_elves
true	food	wh_dlc05_feature_wood_elves
false	food	wh_feature_all
true	food	wh_feature_bretonnia
true	forces_can_not_move_in_channelling_stance	wh2_dlc11_feature_vampire_coast
true	geomantic_web	wh2_main_feature_lizardmen
true	hidden_in_settle_stance	wh_dlc03_feature_beastmen
true	hidden_settlements	wh2_main_feature_skaven
true	influence	wh2_dlc11_feature_rogue_influence
true	influence	wh2_main_feature_high_elves
true	influence	wh2_main_feature_tor_elithis
true	influence	wh2_main_feature_vauls_expedition
false	interfaction_loyalty	wh_feature_all
true	intervention_army	wh2_main_feature_intervention_factions
true	loyalty_of_lords	wh2_dlc11_feature_vampire_coast
true	loyalty_of_lords	wh2_main_feature_dark_elves
true	loyalty_of_lords	wh2_main_feature_skaven
false	loyalty_of_lords	wh_feature_all
false	military_morale	wh_dlc03_feature_beastmen_brayherd
true	military_morale	wh_dlc03_feature_beastmen_not_brayherd
true	military_morale	wh_feature_greenskins_not_waaagh
false	military_morale	wh_feature_greenskins_waaagh
true	politics	wh2_dlc11_feature_vampire_coast
true	politics	wh_dlc05_feature_wood_elves
true	politics	wh_feature_empire
false	public_order	wh_dlc03_feature_beastmen
true	public_order	wh_feature_all
false	public_order	wh_feature_chaos
true	random_missions	wh_feature_all
false	region_growth	wh_dlc03_feature_beastmen
true	region_growth	wh_feature_all
false	region_growth	wh_feature_chaos
false	region_wealth	wh_dlc03_feature_beastmen
true	region_wealth	wh_feature_all
false	region_wealth	wh_feature_chaos
true	remove_background_income_bonus	wh2_dlc09_feature_tomb_kings
true	settlement_vandalisation	wh_feature_greenskins
true	slaves	wh2_main_feature_dark_elves
false	slaves	wh_feature_all
true	standalone_plagues	wh_feature_all
true	tax_exemption	wh_feature_all
false	tax_rate_control	wh_feature_all
false	undead_unit_saving_postbattle	wh_feature_vampire_counts
true	use_cpvalue_for_postbattle_income_calculation	wh2_dlc09_feature_tomb_kings
true	vampiric_mercenary_recruitment	wh2_dlc11_feature_vampire_coast
true	vampiric_mercenary_recruitment	wh_feature_vampire_counts
