effect_bundles_to_effects_junctions_tables	2
effect_bundle_key	effect_key	effect_scope	value	advancement_stage
force_increase_recruitment_cost	wh_main_effect_force_all_campaign_recruitment_cost_all	force_to_force_own	10000	start_turn_completed
wh2_dlc09_faction_trait_tomb_kings	wh2_dlc09_effect_increase_army_capacity_hidden	faction_to_faction_own_unseen	0	start_turn_completed
wh2_dlc11_faction_trait_vampire_coast	wh2_dlc09_effect_increase_army_capacity_hidden	faction_to_faction_own_unseen	0	start_turn_completed
wh2_main_faction_trait_dark_elves	wh2_dlc09_effect_increase_army_capacity_hidden	faction_to_faction_own_unseen	0	start_turn_completed
wh2_main_faction_trait_high_elves	wh2_dlc09_effect_increase_army_capacity_hidden	faction_to_faction_own_unseen	0	start_turn_completed
wh2_main_faction_trait_lizardmen	wh2_dlc09_effect_increase_army_capacity_hidden	faction_to_faction_own_unseen	0	start_turn_completed
wh2_main_faction_trait_rogue	wh2_dlc09_effect_increase_army_capacity_hidden	faction_to_faction_own_unseen	0	start_turn_completed
wh2_main_faction_trait_skaven	wh2_dlc09_effect_increase_army_capacity_hidden	faction_to_faction_own_unseen	0	start_turn_completed
wh_dlc03_faction_trait_beastmen	wh2_dlc09_effect_increase_army_capacity_hidden	faction_to_faction_own_unseen	0	start_turn_completed
wh_dlc05_faction_trait_wood_elves	wh2_dlc09_effect_increase_army_capacity_hidden	faction_to_faction_own_unseen	0	start_turn_completed
wh_dlc08_faction_trait_norsca_faction	wh2_dlc09_effect_increase_army_capacity_hidden	faction_to_faction_own_unseen	0	start_turn_completed
wh_main_faction_trait_bretonnia	wh2_dlc09_effect_increase_army_capacity_hidden	faction_to_faction_own_unseen	0	start_turn_completed
wh_main_faction_trait_chaos	wh2_dlc09_effect_increase_army_capacity_hidden	faction_to_faction_own_unseen	0	start_turn_completed
wh_main_faction_trait_dwarfs	wh2_dlc09_effect_increase_army_capacity_hidden	faction_to_faction_own_unseen	0	start_turn_completed
wh_main_faction_trait_greenskins	wh2_dlc09_effect_increase_army_capacity_hidden	faction_to_faction_own_unseen	0	start_turn_completed
wh_main_faction_trait_humans	wh2_dlc09_effect_increase_army_capacity_hidden	faction_to_faction_own_unseen	0	start_turn_completed
wh_main_faction_trait_vampire	wh2_dlc09_effect_increase_army_capacity_hidden	faction_to_faction_own_unseen	0	start_turn_completed
