faction_agent_permitted_subtypes_tables	0
agent	faction	subtype
general	wh2_dlc09_tmb_tomb_kings_rebels	wh2_dlc09_tmb_tomb_king_rebel
general	wh2_dlc11_cst_vampire_coast_rebellion_rebels	wh2_dlc11_cst_admiral_rebel
general	wh2_dlc11_cst_vampire_coast_rebellion_rebels	wh2_dlc11_cst_admiral_death_rebel
general	wh2_dlc11_cst_vampire_coast_rebellion_rebels	wh2_dlc11_cst_admiral_deep_rebel
general	wh2_dlc11_cst_vampire_coast_rebellion_rebels	wh2_dlc11_cst_admiral_fem_rebel
general	wh2_dlc11_cst_vampire_coast_rebellion_rebels	wh2_dlc11_cst_admiral_fem_death_rebel
general	wh2_dlc11_cst_vampire_coast_rebellion_rebels	wh2_dlc11_cst_admiral_fem_deep_rebel
general	wh2_dlc11_cst_vampire_coast_rebels	wh2_dlc11_cst_admiral_rebel
general	wh2_dlc11_cst_vampire_coast_rebels	wh2_dlc11_cst_admiral_death_rebel
general	wh2_dlc11_cst_vampire_coast_rebels	wh2_dlc11_cst_admiral_deep_rebel
general	wh2_dlc11_cst_vampire_coast_rebels	wh2_dlc11_cst_admiral_fem_rebel
general	wh2_dlc11_cst_vampire_coast_rebels	wh2_dlc11_cst_admiral_fem_death_rebel
general	wh2_dlc11_cst_vampire_coast_rebels	wh2_dlc11_cst_admiral_fem_deep_rebel
general	wh2_dlc11_cst_vampire_coast_rebels	wh2_dlc11_cst_admiral_tech_01_rebel
general	wh2_dlc11_cst_vampire_coast_rebels	wh2_dlc11_cst_admiral_tech_02_rebel
general	wh2_dlc11_cst_vampire_coast_rebels	wh2_dlc11_cst_admiral_tech_03_rebel
general	wh2_dlc11_cst_vampire_coast_rebels	wh2_dlc11_cst_admiral_tech_04_rebel
general	wh2_main_bst_blooded_axe_brayherd	dlc03_bst_beastlord_rebel
general	wh2_main_bst_manblight_brayherd	dlc03_bst_beastlord_rebel
general	wh2_main_bst_ripper_horn_brayherd	dlc03_bst_beastlord_rebel
general	wh2_main_bst_shadowgor_brayherd	dlc03_bst_beastlord_rebel
general	wh2_main_bst_skrinderkin_brayherd	dlc03_bst_beastlord_rebel
general	wh2_main_bst_stone_horn_brayherd	dlc03_bst_beastlord_rebel
general	wh2_main_chs_chaos_incursion_def	chs_lord_rebel
general	wh2_main_chs_chaos_incursion_def	chs_sorcerer_lord_death_rebel
general	wh2_main_chs_chaos_incursion_def	chs_sorcerer_lord_fire_rebel
general	wh2_main_chs_chaos_incursion_def	chs_sorcerer_lord_metal_rebel
general	wh2_main_chs_chaos_incursion_hef	chs_lord_rebel
general	wh2_main_chs_chaos_incursion_hef	chs_sorcerer_lord_death_rebel
general	wh2_main_chs_chaos_incursion_hef	chs_sorcerer_lord_fire_rebel
