agent_subtypes_tables	15
key	auto_generate	is_caster	small_icon	associated_unit_override	audio_voiceover_actor_group	show_in_ui	cap	has_female_name	can_gain_xp	loyalty_is_applicable
wh2_dlc09_tmb_tomb_king_rebel	true	false		wh2_dlc09_tmb_cha_tomb_king_0	wh2_dlc09_vo_actor_Tomb_Kings_Tomb_King	true	-1	false	true	true
wh2_dlc11_cst_admiral_rebel	true	true		wh2_dlc11_cst_cha_vampire_fleet_admiral_0	wh2_dlc11_vo_actor_VampireCoast_Fleet_Admiral_Male	true	-1	false	true	true
wh2_dlc11_cst_admiral_death_rebel	true	true		wh2_dlc11_cst_cha_vampire_fleet_admiral_death_0	wh2_dlc11_vo_actor_VampireCoast_Fleet_Admiral_Male	true	-1	false	true	true
wh2_dlc11_cst_admiral_deep_rebel	true	true		wh2_dlc11_cst_cha_vampire_fleet_admiral_deeps_0	wh2_dlc11_vo_actor_VampireCoast_Fleet_Admiral_Male	true	-1	false	true	true
wh2_dlc11_cst_admiral_fem_rebel	true	true		wh2_dlc11_cst_cha_vampire_fleet_admiral_female_0	wh2_dlc11_vo_actor_VampireCoast_Fleet_Admiral_Female	true	-1	true	true	true
wh2_dlc11_cst_admiral_fem_death_rebel	true	true		wh2_dlc11_cst_cha_vampire_fleet_admiral_female_death_0	wh2_dlc11_vo_actor_VampireCoast_Fleet_Admiral_Female	true	-1	true	true	true
wh2_dlc11_cst_admiral_fem_deep_rebel	true	true		wh2_dlc11_cst_cha_vampire_fleet_admiral_female_deeps_0	wh2_dlc11_vo_actor_VampireCoast_Fleet_Admiral_Female	true	-1	true	true	true
wh2_dlc11_cst_admiral_tech_01_rebel	false	true		wh2_dlc11_cst_cha_vampire_fleet_admiral_0	wh2_dlc11_vo_actor_VampireCoast_Fleet_Admiral_Male	true	-1	false	true	false
wh2_dlc11_cst_admiral_tech_02_rebel	false	true		wh2_dlc11_cst_cha_vampire_fleet_admiral_deeps_0	wh2_dlc11_vo_actor_VampireCoast_Fleet_Admiral_Male	true	-1	false	true	false
wh2_dlc11_cst_admiral_tech_03_rebel	false	true		wh2_dlc11_cst_cha_vampire_fleet_admiral_death_0	wh2_dlc11_vo_actor_VampireCoast_Fleet_Admiral_Male	true	-1	false	true	false
wh2_dlc11_cst_admiral_tech_04_rebel	false	true		wh2_dlc11_cst_cha_vampire_fleet_admiral_female_0	wh2_dlc11_vo_actor_VampireCoast_Fleet_Admiral_Female	true	-1	true	true	false
dlc03_bst_beastlord_rebel	true	false		wh_dlc03_bst_cha_beastlord_0	wh_dlc03_vo_actor_Beastlord	true	-1	false	true	true
chs_lord_rebel	true	false		wh_main_chs_cha_chaos_lord_0	wh_main_vo_actor_Chaos_Lord	true	-1	false	true	true
chs_sorcerer_lord_death_rebel	true	true	ui/campaign ui/agents/wh_main_lore_death.png	wh_dlc01_chs_cha_chaos_sorcerer_lord_death_0	wh_dlc01_vo_actor_Chaos_SorcererLord	true	-1	false	true	true
chs_sorcerer_lord_fire_rebel	true	true	ui/campaign ui/agents/wh_main_lore_fire.png	wh_dlc01_chs_cha_chaos_sorcerer_lord_fire_0	wh_dlc01_vo_actor_Chaos_SorcererLord	true	-1	false	true	true
chs_sorcerer_lord_metal_rebel	true	true	ui/campaign ui/agents/wh_main_lore_metal.png	wh_dlc01_chs_cha_chaos_sorcerer_lord_metal_0	wh_dlc01_vo_actor_Chaos_SorcererLord	true	-1	false	true	true
wh2_dlc10_def_supreme_sorceress_beasts_rebel	true	true	ui/campaign ui/agents/wh_dlc03_lore_beasts.png	wh2_dlc10_def_cha_supreme_sorceress_beasts_0	wh2_dlc10_vo_actor_Dark_Elves_Supreme_Sorceress	true	-1	true	true	true
wh2_dlc10_def_supreme_sorceress_dark_rebel	true	true	ui/campaign ui/agents/wh2_main_lore_dark_magic.png	wh2_dlc10_def_cha_supreme_sorceress_dark_0	wh2_dlc10_vo_actor_Dark_Elves_Supreme_Sorceress	true	-1	true	true	true
