audio_explosions_tables	6
event	key	max_attenuation	obstruction_size	use_reverb	group_sound	only_trigger_once_per_volley	sphere_of_influence
Battle_Individual_Projectile_Casket_Of_Souls_Explosion	group	800	0	true		false	large_explosion_short
	none	0	0	false		false	
Battle_Individual_Projectile_Casket_Of_Souls_Explosion	wh2_casket_of_souls	800	0	true	wh2_grp_projectile_casket_of_souls_explosion	true	large_explosion_short
IND_Magic_Venom_Staff_Impact_Secondary	wh2_dlc09_abilities_venom_staff_impact_secondary	600	0	true		false	large_explosion_long
Battle_IND_Magic_The_Moon_Bow_Impact	wh2_dlc10_ability_the_moonbow	500	0	true		false	large_explosion_long
	wh2_dlc10_dragon_breath_ice_multi	300	0	true	wh2_grp_projectile_dragons_breath_ice_multi_explosion	false	
Battle_Individual_Projectile_Necrofex_Colossus_Flamethrower_Impact	wh2_dlc11_cst_necrofex_colossus_flamethrower	240	0	true		false	
Battle_Individual_Projectile_Gaseous_Demise_Start	wh2_dlc11_gaseous_demise	400	0	true		true	large_explosion_short
Battle_Individual_Projectile_Bone_Arrow_Explosion	wh2_dlc_10_bone_arrow_explosion	800	0	true		false	large_explosion_long
Battle_Individual_Projectile_QueenBess_Impact	wh2_dlc_12_queen_bess	800	0	true		false	large_explosion_long
Battle_Individual_Projectile_tmb_Stalker_Gaze_Explosion	wh2_dlc_tmb_stalker_gaze	400	0	true		false	large_explosion_short
Battle_Individual_Projectile_Death_Globe_Explosion	wh2_globe_death	600	0	true		false	large_explosion_short
Battle_Individual_Projectile_Globe_Explosion	wh2_globe_magical	600	0	true		false	large_explosion_short
Battle_Individual_Projectile_Globe_Explosion	wh2_globe_poison	600	0	true		false	large_explosion_short
Battle_IND_Magic_Bloodwrack_Cauldron_Impact	wh2_main_ability_bloodwrack_cauldron	700	0	true		false	large_explosion_long
Battle_IND_Magic_Brazen_Cauldron_Impact	wh2_main_ability_brazen_cauldron	700	0	true		false	large_explosion_long
Battle_IND_Magic_Sky_Cauldron_Impact	wh2_main_ability_sky_cauldron	700	0	true		false	large_explosion_long
Battle_IND_Magic_Soul_Rain_Impact	wh2_main_ability_soul_rain	600	0	true		false	large_explosion_short
Battle_IND_Magic_Soul_Storm_Impact	wh2_main_ability_soul_storm	600	0	true		false	large_explosion_short
Battle_IND_Magic_Soul_Torrent_Impact	wh2_main_ability_soul_torrent	600	0	true		false	large_explosion_short
Battle_IND_Magic_Ability_Vauls_Hammer_Impact	wh2_main_ability_vauls_hammer	500	0	false		false	magic_global_mute_one_shot_long
Battle_IND_Magic_Vortic_Blast_Explosion	wh2_main_ability_vortic_blast	3000	0	true		false	large_explosion_short
Battle_IND_Magic_Vortic_Enrichment_Explosion	wh2_main_ability_vortic_enrichment	3000	0	true		false	large_explosion_short
	wh2_main_spell_high_magic_soul_quench	500	0	false		false	large_explosion_long
Battle_Individual_Projectile_Plagueclaw_Catapult_Explosion	wh2_plagueclaw_catapult	800	0	true		false	large_explosion_short
Battle_Individual_Projectile_Screaming_Skull_Catapult_Explosion	wh2_screamingskull_catapult	800	0	true	wh2_grp_projectile_screaming_skull_catapult_spread_impact	false	large_explosion_short
Battle_Individual_Projectile_Terradon_Bomb_Explosion	wh2_terradon_bomb	3000	0	true		false	large_explosion_short
	wh_blasting_charge	400	0	true	wh_grp_projectile_blasting_charge_explosion	false	
Battle_Individual_Projectile_Bomb_Explosion	wh_bomb	3000	0	true		false	large_explosion_short
Battle_Individual_Projectile_Carcass_Explosion	wh_carcass	300	0	false		false	large_explosion_long
Battle_IND_Magic_Heavens_Comet_Impact	wh_comet_of_cas	700	0	true		false	large_explosion_long
Battle_Individual_Projectile_Steamgun_Explosion	wh_copter_steamgun	3000	0	true		false	large_explosion_long
Battle_IND_Magic_Bretonnia_Chalice_of_Potions_Impact	wh_dlc07_ability_chalice_of_potions	700	0	true		false	
	wh_dlc08_lightening_down	700	0	false	wh_dlc08_ability_lightening_down_group	false	
Battle_Individual_Projectile_Ice_Forged_Legion_Explosion	wh_dlc10_nor_ice_cannon_explosion	700	0	true		true	large_explosion_short
