area_of_effect_displays_tables	8
spline	key	decal	vfx_central	vfx_ring	spline_width	spline_col_r	spline_col_g	spline_col_b	spline_oor_col_r	spline_oor_col_g	spline_oor_col_b	spline_vertical	spline_animation_speed	spline_tile_count	composite_scene	is_targetting_per_entity	vfx_ring_segment_length	use_model_time
	wh2_dlc09_abilities_the_liber_mortis		wh2_dlc09_abilities_liber_mortis		2	255	255	255	255	255	255	false	50	64		false	5	false
	wh2_dlc09_army_abilities_rictus_clanstone			wh2_dlc09_army_abilities_rictus_clanstone_segment	2	255	255	255	255	255	255	false	0	64	composite_scene\spells_and_abilities\wh2_dlc09_army_abilities_rictus_clanstone.csc	false	-1	false
	wh2_dlc09_army_abilities_tomb_swarm				2	255	255	255	255	255	255	false	0	64		false	-1	false
	wh2_dlc09_ushabti_summon		wh_main_targeting_pre_aa_spawn_ui_central		2	255	255	255	255	255	255	false	0	1	composite_scene\spells_and_abilities\wh2_dlc09_army_abilities_ushabti_summon.csc	false	-1	false
	wh2_dlc09_usirians_incantation_of_vengeance				2	255	255	255	255	255	255	false	0	1	composite_scene\spells_and_abilities\wh2_dlc09_nehekhara_vengeance.csc	false	-1	false
	wh2_dlc10_abilities_star_of_avelorn			wh2_dlc10_avelorn_ui_segment_buff	2	255	255	255	255	255	255	false	0	64	composite_scene/spells_and_abilities/star_of_avelorn.csc	false	5	false
	wh2_dlc10_ancestor_summon		wh_main_targeting_pre_spawn_ui_central		2	255	255	255	255	255	255	false	0	1	composite_scene\spells_and_abilities\wh2_dlc10_ancestor_summon.csc	false	-1	false
	wh2_dlc10_character_abilities_entangle			wh_main_generic_ui_segment_short	2	255	255	255	255	255	255	false	0	64	composite_scene/spells_and_abilities/entangle.csc	false	5	false
	wh2_dlc10_lord_abilities_gaze_of_khaine			wh_main_generic_ui_segment_buff	2	255	255	255	255	255	255	false	50	64	composite_scene\spells_and_abilities\gaze_of_kaine.csc	false	5	false
	wh2_dlc11_abilities_norse_roar_launch				2	255	255	255	255	255	255	false	0	1	composite_scene\spells_and_abilities\wh2_dlc11_abilities_norse_roar_launch.csc	false	-1	false
	wh2_dlc11_abilities_zhufbar_launch				2	255	255	255	255	255	255	false	0	1	composite_scene\spells_and_abilities\wh2_dlc11_abilities_zhufbar_42_pounders_launch.csc	false	-1	false
	wh2_dlc11_spell_deep_fog_of_the_damned			wh_main_generic_ui_segment_buff	2	255	255	255	255	255	255	false	50	64		false	5	false
	wh2_dlc11_spell_deep_fog_of_the_damned_upgraded			wh_main_generic_ui_segment_buff	2	255	255	255	255	255	255	false	50	64		false	5	false
	wh2_dlc11_spell_denizens_of_the_deep				2	255	255	255	255	255	255	false	0	1		false	-1	false
	wh2_dlc11_spell_denizens_of_the_deep_start				2	255	255	255	255	255	255	false	0	1		false	-1	false
	wh2_dlc12_abilities_supreme_shield_of_the_old_ones		wh2_dlc12_abilities_supreme_shield		2	255	255	255	255	255	255	false	50	64		false	5	true
	wh2_dlc12_deliverance_of_itza_area				2	255	255	255	255	255	255	false	0	64		false	-1	false
	wh2_dlc12_jungle_swarm_aoe		wh2_dlc12_abilities_jungle_swarm_aoe	wh2_dlc12_abilities_jungle_swarm_segment	2	255	255	255	255	255	255	false	0	64		false	-1	false
	wh2_main_army_abilities_channeling_spire			wh2_main_abilities_channeling_spire_segment	2	255	255	255	255	255	255	false	0	64	composite_scene\spells_and_abilities\wh2_main_abilities_channeling_spire.csc	false	-1	false
	wh2_main_army_abilities_eshin_clanstone			wh2_main_army_abilities_eshin_clanstone_segment	2	255	255	255	255	255	255	false	0	64	composite_scene\spells_and_abilities\wh2_main_army_abilities_eshin_clanstone.csc	false	-1	false
	wh2_main_army_abilities_feral_cold_ones				2	255	255	255	255	255	255	false	0	1	composite_scene\spells_and_abilities\wh2_main_abilities_feral_cold_ones.csc	false	-1	false
	wh2_main_army_abilities_geomantic_nexus				2	255	255	255	255	255	255	false	0	1	composite_scene\spells_and_abilities\wh2_main_abilities_geomantic_nexus.csc	false	-1	false
	wh2_main_army_abilities_holy_stela			wh2_main_abilities_holy_stela_segment	2	255	255	255	255	255	255	false	0	64	composite_scene\spells_and_abilities\wh2_main_abilities_holy_stela.csc	false	-1	false
	wh2_main_army_abilities_mors_clanstone			wh2_main_army_abilities_mors_clanstone_segment	2	255	255	255	255	255	255	false	0	64	composite_scene\spells_and_abilities\wh2_main_army_abilities_mors_clanstone.csc	false	-1	false
	wh2_main_army_abilities_moulder_clanstone			wh2_main_army_abilities_moulder_clanstone_segment	2	255	255	255	255	255	255	false	0	64	composite_scene\spells_and_abilities\wh2_main_army_abilities_moulder_clanstone.csc	false	-1	false
	wh2_main_army_abilities_pestilens_clanstone			wh2_main_army_abilities_pestilens_clanstone_segment	2	255	255	255	255	255	255	false	0	64	composite_scene\spells_and_abilities\wh2_main_army_abilities_pestilens_clanstone.csc	false	-1	false
	wh2_main_army_abilities_skyre_clanstone			wh2_main_army_abilities_skyre_clanstone_segment	2	255	255	255	255	255	255	false	0	64	composite_scene\spells_and_abilities\wh2_main_army_abilities_skyre_clanstone.csc	false	-1	false
	wh2_main_army_abilities_temple_of_mists			wh2_main_abilities_temple_of_mists_segment	2	255	255	255	255	255	255	false	0	64	composite_scene\spells_and_abilities\wh2_main_abilities_temple_of_mists.csc	false	-1	false
	wh2_main_character_abilities_slann_forcefield		wh2_main_abilities_slann_forcefield		2	255	255	255	255	255	255	false	50	64		false	5	true
	wh2_main_character_passive_aura_of_pestilence		wh2_main_abilities_aura_of_pestilence_area		2	255	255	255	255	255	255	false	50	1		false	-1	false
