pooled_resource_factors_tables	3
key	minimum	maximum
bribes	-2147483647	2147483647
buildings	0	2147483647
canibalism	-2147483647	2147483647
captives	0	2147483647
colonisation	-2147483647	0
commandments	0	2147483647
force_upkeep	-2147483647	0
looting	-2147483647	2147483647
raiding	0	2147483647
regions	-2147483647	0
scavenging	-2147483647	2147483647
technology	0	2147483647
wh2_dlc09_resource_factor_events	0	2147483647
wh2_dlc09_resource_factor_events_negative	-2147483647	0
wh2_dlc09_resource_factor_great_incantation_of_geheb	0	2147483647
wh2_dlc09_resource_factor_harvest_organs	0	2147483647
wh2_dlc09_resource_factor_mortuary_cult	-2147483647	0
wh2_dlc09_resource_factor_technology_tree	-2147483647	0
wh2_dlc11_resource_factor_assassination	0	2147483647
wh2_dlc11_resource_factor_battles	0	2147483647
wh2_dlc11_resource_factor_edicts	-2147483647	0
wh2_dlc11_resource_factor_other	0	2147483647
wh2_dlc11_resource_factor_pirate_coves	0	2147483647
wh2_dlc11_resource_factor_razing	0	2147483647
wh2_dlc11_resource_factor_sharing_loot	-2147483647	0
wh2_dlc11_resource_factor_technology	-2147483647	0
wh2_dlc11_vmp_resource_factor_bloodline_awoken	-2147483647	0
wh2_dlc11_vmp_resource_factor_enemy_character_assassinated	0	2147483647
wh2_dlc11_vmp_resource_factor_enemy_general_killed	0	2147483647
wh2_dlc11_vmp_resource_factor_other	0	2147483647
wh2_dlc11_vmp_resource_factor_vassal	0	2147483647
wh2_dlc12_resource_factor_action	0	2147483647
wh2_dlc12_resource_factor_battle_consumed	-2147483647	0
wh2_dlc12_resource_factor_loot	0	2147483647
wh2_dlc12_resource_factor_sacrifices	-2147483647	0
wh2_dlc12_resource_factor_sacrifices_battle	0	2147483647
wh2_dlc12_resource_factor_sacrifices_missions	0	2147483647
wh2_dlc12_resource_factor_workshop	-2147483647	0
wh2_dlc12_resource_factor_workshop_food	-2147483647	0
wh2_dlc12_resource_factor_workshop_production	0	2147483647
wh2_dlc12_resource_factor_workshop_upgrade	0	2147483647
wh2_dlc12_resource_food_under_empire_negative	-2147483647	0
wh2_dlc12_resource_food_under_empire_positive	0	2147483647
wh2_main_resource_factor_characters	0	2147483647
wh2_main_resource_factor_confederation	-2147483647	2147483647
wh2_main_resource_factor_diplomacy	-2147483647	2147483647
wh2_main_resource_factor_events	-2147483647	2147483647
wh2_main_resource_factor_faction	-2147483647	2147483647
wh2_main_resource_factor_forging_creating	-2147483647	0
wh2_main_resource_factor_forging_disassembling	0	2147483647
wh2_main_resource_factor_forging_grudges	0	2147483647
wh2_main_resource_factor_menace_below	-2147483647	0
wh2_main_resource_factor_missions	0	2147483647
wh2_main_resource_factor_other	-2147483647	2147483647
wh2_main_resource_factor_provinces	-2147483647	2147483647
wh2_main_resource_factor_rituals	-2147483647	2147483647
wh2_main_resource_factor_the_dominating_scheme	0	2147483647
wh2_main_resource_factor_treasure_hunt	-2147483647	2147483647
