cdir_events_payloads_tables	0
effect_bundle_key	payload_key
	ADD_ANCILLARY
	ADD_MERCENARY_TO_FACTION_POOL
	ADOPTION
	ASSIGN_CHARACTER_POST
	BECOME_RETAINER
	BUILDING_LEVEL_EVENT_RESTRICTION
	BUILDING_LEVEL_RESTRICTION
	CHANGE_AMBITION
	CHANGE_GRAVITAS
	CHANGE_POLITICAL_POWER
	CHARACTER_EXPERIENCE
	CLAN_FAME
	DAMAGE_BUILDING
	DAMAGE_CHARACTER
	DEFECTION
	DEMOLISH_BUILDING_CHAIN
	DIPLOMATIC_STANDING
	DIVORCE
	EMBEZZLE
	FACTION_POOLED_RESOURCE_TRANSACTION
	FACTION_SLAVES_CHANGE
	FACTION_WIDE_LOYALTY_CHANGE
	FORM_CONFEDERATION
	GIVE_DEVELOPMENT_POINT
	GIVE_REGION
	GIVE_TRAIT
	HONOUR
	INFLUENCE
	KILL_CHARACTER
	LOYALTY
	MARRIAGE
	MOVIE_EVENT
	POOLED_RESOURCE_TRANSACTION
	PROVINCE_SLAVES_CHANGE
	REBELLION
	REMOVE_ANCILLARY
	REMOVE_TRAIT
	SPAWN_AGENT
	SPAWN_BRIDE
	SPAWN_UNIT
	TARGET
	TEXT_DISPLAY
	TOWN_WEALTH
	TREASURY
	UNIT_EVENT_RESTRICTION
	UNLOCK_STATE_RELIGION_CHANGE
	WOUND_CHARACTER
wh2_dlc09_books_of_nagash_reward_3_region_occupy	wh2_dlc09_books_of_nagash_reward_3_region_occupy
wh2_dlc09_effect_black_pyramid	wh2_dlc09_effect_black_pyramid
wh2_dlc09_great_vortex_tmb_arkhan_tomb_blade_of_arkhan_stage_3a	wh2_dlc09_great_vortex_tmb_arkhan_tomb_blade_of_arkhan_stage_3a
wh2_dlc09_great_vortex_tmb_arkhan_tomb_blade_of_arkhan_stage_3b	wh2_dlc09_great_vortex_tmb_arkhan_tomb_blade_of_arkhan_stage_3b
wh2_dlc09_payload_dilemma_almighty_monuments_first	wh2_dlc09_payload_dilemma_almighty_monuments_first
wh2_dlc09_payload_dilemma_almighty_monuments_second	wh2_dlc09_payload_dilemma_almighty_monuments_second
wh2_dlc09_payload_dilemma_crumbling_buildings_first	wh2_dlc09_payload_dilemma_crumbling_buildings_first
wh2_dlc09_payload_dilemma_drying_rivers_first	wh2_dlc09_payload_dilemma_drying_rivers_first
wh2_dlc09_payload_dilemma_drying_rivers_second	wh2_dlc09_payload_dilemma_drying_rivers_second
wh2_dlc09_payload_dilemma_eternal_servitude_first	wh2_dlc09_payload_dilemma_eternal_servitude_first
wh2_dlc09_payload_dilemma_eternal_servitude_second	wh2_dlc09_payload_dilemma_eternal_servitude_second
wh2_dlc09_payload_dilemma_glorious_structures_first	wh2_dlc09_payload_dilemma_glorious_structures_first
wh2_dlc09_payload_dilemma_glorious_structures_second	wh2_dlc09_payload_dilemma_glorious_structures_second
wh2_dlc09_payload_dilemma_liche_priest_first	wh2_dlc09_payload_dilemma_liche_priest_first
wh2_dlc09_payload_dilemma_liche_priest_second	wh2_dlc09_payload_dilemma_liche_priest_second
wh2_dlc09_payload_dilemma_scaly_sacrifice_first	wh2_dlc09_payload_dilemma_scaly_sacrifice_first
wh2_dlc09_payload_dilemma_scaly_sacrifice_second	wh2_dlc09_payload_dilemma_scaly_sacrifice_second
wh2_dlc09_payload_dilemma_sinking_pyramid_first	wh2_dlc09_payload_dilemma_sinking_pyramid_first
wh2_dlc09_payload_dilemma_sinking_pyramid_second	wh2_dlc09_payload_dilemma_sinking_pyramid_second
wh2_dlc09_payload_dilemma_soulless_sphinx_first	wh2_dlc09_payload_dilemma_soulless_sphinx_first
wh2_dlc09_payload_dilemma_soulless_sphinx_second	wh2_dlc09_payload_dilemma_soulless_sphinx_second
wh2_dlc09_payload_dilemma_stray_mortals_first	wh2_dlc09_payload_dilemma_stray_mortals_first
wh2_dlc09_payload_dilemma_stray_mortals_second	wh2_dlc09_payload_dilemma_stray_mortals_second
wh2_dlc09_payload_dilemma_the_banisher_first	wh2_dlc09_payload_dilemma_the_banisher_first
wh2_dlc09_payload_improved_agent_tmb_liche_priest	wh2_dlc09_payload_improved_agent_tmb_liche_priest
wh2_dlc09_payload_improved_agent_tmb_necrotect	wh2_dlc09_payload_improved_agent_tmb_necrotect
wh2_dlc09_payload_improved_agent_tmb_tomb_prince	wh2_dlc09_payload_improved_agent_tmb_tomb_prince
wh2_dlc09_payload_incident_a_noble_mistake	wh2_dlc09_payload_incident_a_noble_mistake
wh2_dlc09_payload_incident_boiling_point	wh2_dlc09_payload_incident_boiling_point
wh2_dlc09_payload_incident_cache_of_asaph	wh2_dlc09_payload_incident_cache_of_asaph
wh2_dlc09_payload_incident_glimpse_into_the_realm	wh2_dlc09_payload_incident_glimpse_into_the_realm
wh2_dlc09_payload_incident_jungle_warriors	wh2_dlc09_payload_incident_jungle_warriors
wh2_dlc09_payload_incident_liquid_sand	wh2_dlc09_payload_incident_liquid_sand
wh2_dlc09_payload_incident_memories_of_the_past	wh2_dlc09_payload_incident_memories_of_the_past
wh2_dlc09_payload_incident_paychest_mercenaries	wh2_dlc09_payload_incident_paychest_mercenaries
wh2_dlc09_payload_incident_raining_magma	wh2_dlc09_payload_incident_raining_magma
wh2_dlc09_payload_incident_riders_graveyard	wh2_dlc09_payload_incident_riders_graveyard
wh2_dlc09_payload_incident_undead_pirates	wh2_dlc09_payload_incident_undead_pirates
wh2_dlc09_payload_incident_unearthed_knowledge	wh2_dlc09_payload_incident_unearthed_knowledge
wh2_dlc09_dilemma_increase_cap_liche_priest_hero	wh2_dlc09_payload_increase_cap_liche_priest_hero
wh2_dlc09_dilemma_increase_cap_necrotect_hero	wh2_dlc09_payload_increase_cap_necrotect_hero
wh2_dlc09_dilemma_increase_cap_tomb_prince_hero	wh2_dlc09_payload_increase_cap_tomb_prince_hero
wh2_dlc09_payload_morale_versus_bretonnia	wh2_dlc09_payload_morale_versus_bretonnia
wh2_dlc09_payload_morale_versus_tomb_kings	wh2_dlc09_payload_morale_versus_tomb_kings
wh2_dlc09_payload_training_cavalry	wh2_dlc09_payload_training_cavalry
wh2_dlc09_settra_sacrifice	wh2_dlc09_settra_sacrifice_payload
wh2_dlc09_settra_skeleton_rank	wh2_dlc09_settra_skeleton_rank_payload
wh2_dlc09_the_blessed_blade_of_ptra_reward_1	wh2_dlc09_the_blessed_blade_of_ptra_reward_1
wh2_dlc09_the_blessed_blade_of_ptra_reward_2	wh2_dlc09_the_blessed_blade_of_ptra_reward_2
wh2_dlc09_tmb_arkhan_tomb_blade_of_arkhan_stage_3a	wh2_dlc09_tmb_arkhan_tomb_blade_of_arkhan_stage_3a
wh2_dlc09_tmb_arkhan_tomb_blade_of_arkhan_stage_3b	wh2_dlc09_tmb_arkhan_tomb_blade_of_arkhan_stage_3b
wh2_dlc09_tomb_king_victory	wh2_dlc09_tomb_king_victory
wh2_dlc10_alarielle_start_ap_bonus	wh2_dlc10_alarielle_start_ap_bonus
wh2_dlc10_death_night_effect_5	wh2_dlc10_payload_hellebron_strengthens_0
wh2_dlc10_death_night_effect_1	wh2_dlc10_payload_hellebron_weakens_0
wh2_dlc10_death_night_effect_2	wh2_dlc10_payload_hellebron_weakens_1
wh2_dlc10_death_night_effect_3	wh2_dlc10_payload_hellebron_weakens_2
wh2_dlc10_death_night_effect_4	wh2_dlc10_payload_hellebron_weakens_3
wh2_dlc11_cst_noctilus_captain_roths_moondial_stage_1_payload	wh2_dlc11_cst_noctilus_captain_roths_moondial_stage_1_payload
wh2_dlc11_harkon_mind_dummy_coward	wh2_dlc11_harkon_mind_dummy_coward
wh2_dlc11_harkon_mind_dummy_hateful	wh2_dlc11_harkon_mind_dummy_hateful
wh2_dlc11_harkon_mind_dummy_lucid	wh2_dlc11_harkon_mind_dummy_lucid
wh2_dlc11_harkon_mind_dummy_mad	wh2_dlc11_harkon_mind_dummy_mad
wh2_dlc11_harkon_mind_dummy_prideful	wh2_dlc11_harkon_mind_dummy_prideful
wh2_dlc11_harkon_mind_dummy_restored	wh2_dlc11_harkon_mind_dummy_restored
wh2_dlc11_noctilus_first_turn_mission_payload	wh2_dlc11_noctilus_first_turn_mission_payload
wh2_dlc11_bundle_amanar_control	wh2_dlc11_payload_amanar_control
wh2_dlc11_payload_dilemma_great_naval_battle_first	wh2_dlc11_payload_dilemma_great_naval_battle_first
wh2_dlc11_payload_dilemma_great_naval_battle_second	wh2_dlc11_payload_dilemma_great_naval_battle_second
wh2_dlc11_payload_dilemma_grim_tidings_first	wh2_dlc11_payload_dilemma_grim_tidings_first
wh2_dlc11_payload_dilemma_grim_tidings_second	wh2_dlc11_payload_dilemma_grim_tidings_second
wh2_dlc11_payload_dilemma_pirate_haven_first	wh2_dlc11_payload_dilemma_pirate_haven_first
wh2_dlc11_payload_dilemma_plan_of_action_first	wh2_dlc11_payload_dilemma_plan_of_action_first
wh2_dlc11_payload_dilemma_plan_of_action_second	wh2_dlc11_payload_dilemma_plan_of_action_second
wh2_dlc11_payload_dilemma_rotten_wood_first	wh2_dlc11_payload_dilemma_rotten_wood_first
wh2_dlc11_payload_dilemma_rotten_wood_second	wh2_dlc11_payload_dilemma_rotten_wood_second
wh2_dlc11_payload_dilemma_salvage_supplies_first	wh2_dlc11_payload_dilemma_salvage_supplies_first
wh2_dlc11_payload_dilemma_salvage_supplies_second	wh2_dlc11_payload_dilemma_salvage_supplies_second
wh2_dlc11_payload_dilemma_shipping_ledger_second	wh2_dlc11_payload_dilemma_shipping_ledger_second
wh2_dlc11_payload_dilemma_shyish_wanes_first	wh2_dlc11_payload_dilemma_shyish_wanes_first
wh2_dlc11_payload_dilemma_shyish_wanes_second	wh2_dlc11_payload_dilemma_shyish_wanes_second
wh2_dlc11_payload_dilemma_supplies_adrift_first	wh2_dlc11_payload_dilemma_supplies_adrift_first
wh2_dlc11_payload_dilemma_supplies_adrift_second	wh2_dlc11_payload_dilemma_supplies_adrift_second
wh2_dlc11_payload_effect_casualty_replenishment	wh2_dlc11_payload_effect_casualty_replenishment
wh2_dlc11_payload_effect_increase_recruit_rank	wh2_dlc11_payload_effect_increase_recruit_rank
