technologies_tables	5
key	building_level	position_index	icon_name	military_prestige	naval_prestige	economic_prestige	enlightenment_prestige	mp_available_early	mp_available_late	info_pic	unique_index	is_civil	is_engineering	is_military
tech_chs_branch_1_1	wh_main_chs_port	1	wh_main_chs_scrutiny_of_the_dark_gods	0	0	0	0	false	false	"placeholder.tga"	6159	false	false	true
tech_chs_branch_1_2	wh_main_chs_port	1	wh_main_chs_skulls_for_the_skull_throne	0	0	0	0	false	false	"placeholder.tga"	6164	false	false	true
tech_chs_branch_1_3	wh_main_chs_port	1	wh_main_chs_rituals_of_corruption	0	0	0	0	false	false	"placeholder.tga"	6168	false	false	true
tech_chs_branch_2_1	wh_main_chs_port	1	wh_main_chs_banners_of_ruin	0	0	0	0	false	false	"placeholder.tga"	6175	false	false	true
tech_chs_branch_2_2	wh_main_chs_port	1	wh_main_chs_duels_to_the_death	0	0	0	0	false	false	"placeholder.tga"	6176	false	false	true
tech_chs_branch_2_3	wh_main_chs_port	1	wh_main_chs_culling_of_the_weak	0	0	0	0	false	false	"placeholder.tga"	6186	false	false	true
tech_chs_branch_2_4	wh_main_chs_port	1	wh_main_chs_erection_of_ruinous_monuments	0	0	0	0	false	false	"placeholder.tga"	6188	false	false	true
tech_chs_branch_3_1	wh_main_chs_port	1	wh_main_chs_dark_standards	0	0	0	0	false	false	"placeholder.tga"	6197	false	false	true
tech_chs_branch_3_2	wh_main_chs_port	1	wh_main_chs_aspiration_for_greatness	0	0	0	0	false	false	"placeholder.tga"	6204	false	false	true
tech_chs_branch_3_3	wh_main_chs_port	1	wh_main_chs_a_thousand_twisted_blessings	0	0	0	0	false	false	"placeholder.tga"	6212	false	false	true
tech_chs_branch_3_4	wh_main_chs_port	1	wh_main_chs_superhuman_prowess	0	0	0	0	false	false	"placeholder.tga"	6218	false	false	true
tech_chs_branch_3_5	wh_main_chs_port	1	wh_main_chs_blood_for_the_blood_god	0	0	0	0	false	false	"placeholder.tga"	6223	false	false	true
tech_chs_branch_4_1	wh_main_chs_port	1	wh_main_chs_pennants_of_chaos	0	0	0	0	false	false	"placeholder.tga"	6233	false	false	true
tech_chs_branch_4_2	wh_main_chs_port	1	wh_main_chs_gaze_of_the_dark_gods	0	0	0	0	false	false	"placeholder.tga"	6243	false	false	true
tech_chs_branch_4_3	wh_main_chs_port	1	wh_main_chs_second_to_none	0	0	0	0	false	false	"placeholder.tga"	6248	false	false	true
tech_chs_branch_4_4	wh_main_chs_port	1	wh_main_chs_a_wall_of_hungry_mouths	0	0	0	0	false	false	"placeholder.tga"	6257	false	false	true
tech_chs_branch_4_5	wh_main_chs_port	1	wh_main_chs_infernal_march	0	0	0	0	false	false	"placeholder.tga"	6267	false	false	true
tech_chs_branch_5_1	wh_main_chs_port	1	wh_main_chs_engines_of_mass_destruction	0	0	0	0	false	false	"placeholder.tga"	6271	false	false	true
tech_chs_branch_5_2	wh_main_chs_port	1	wh_main_chs_daemonic_armour	0	0	0	0	false	false	"placeholder.tga"	6275	false	false	true
tech_chs_branch_5_3	wh_main_chs_port	1	wh_main_chs_favour_of_the_dark_gods	0	0	0	0	false	false	"placeholder.tga"	6285	false	false	true
tech_chs_branch_5_4	wh_main_chs_port	1	wh_main_chs_ensorcelled_weapons	0	0	0	0	false	false	"placeholder.tga"	6293	false	false	true
tech_chs_branch_5_5	wh_main_chs_port	1	wh_main_chs_herald_of_doom	0	0	0	0	false	false	"placeholder.tga"	6294	false	false	true
tech_chs_main_1	wh_main_chs_port	1	wh_main_chs_the_path_to_ruination	0	0	0	0	false	false	"placeholder.tga"	6135	false	false	true
tech_chs_main_2	wh_main_chs_port	1	wh_main_chs_lure_of_dark_promises	0	0	0	0	false	false	"placeholder.tga"	6145	false	false	true
tech_chs_main_3	wh_main_chs_port	1	wh_main_chs_unholy_communion	0	0	0	0	false	false	"placeholder.tga"	6149	false	false	true
tech_chs_main_4	wh_main_chs_port	1	wh_main_chs_pledges_to_the_dark_gods	0	0	0	0	false	false	"placeholder.tga"	6152	false	false	true
tech_chs_main_5	wh_main_chs_port	1	wh_main_chs_daemonic_pact	0	0	0	0	false	false	"placeholder.tga"	6156	false	false	true
tech_cst_admirals_00	wh_main_chs_port	1	tech_cst_piracy_00	0	0	0	0	false	false	"placeholder.tga"	1872492863	false	false	true
