diplomacy_current_treaties_to_diplomatic_options_tables	0
can_be_cancelled	current_treaty_key	diplomatic_option_key
false	current_treaty_at_war	diplomatic_option_declare_war
true	current_treaty_client_of_player	diplomatic_option_client_state
true	current_treaty_defensive_alliance	diplomatic_option_defensive_alliance
true	current_treaty_giving_soft_military_access_indefinite	diplomatic_option_soft_access
true	current_treaty_giving_soft_military_access_turns	diplomatic_option_soft_access
true	current_treaty_has_soft_military_access_indefinite	diplomatic_option_soft_access
true	current_treaty_has_soft_military_access_turns	diplomatic_option_soft_access
true	current_treaty_military_alliance	diplomatic_option_military_alliance
true	current_treaty_non_aggression_pact	diplomatic_option_nonaggression_pact
false	current_treaty_payments_paying	diplomatic_option_payment
false	current_treaty_payments_receiving	diplomatic_option_payment
false	current_treaty_peace	diplomatic_option_peace_treaty
true	current_treaty_trade_agreement	diplomatic_option_trade_agreement
false	current_treaty_vassal_of_non_player	diplomatic_option_vassal
true	current_treaty_vassal_of_player	diplomatic_option_vassal
