banners_tables	1
banner	effect_bundle
wh2_dlc09_banner_magic_standard_banner_of_the_hidden_dead	wh2_dlc09_bundle_magic_standard_banner_of_the_hidden_dead
wh2_dlc09_banner_magic_standard_standard_of_the_undying_legion	wh2_dlc09_bundle_magic_standard_standard_of_the_undying_legion
wh2_dlc10_banner_magic_standard_banner_of_avelorn	wh2_dlc10_bundle_anc_magic_standard_banner_of_avelorn
wh2_dlc11_banner_magic_standard_bloodied_banner_of_slayers	wh2_dlc11_bundle_anc_magic_standard_bloodied_banner_of_slayers
wh2_dlc11_banner_magic_standard_boatswain	wh2_dlc11_bundle_anc_magic_standard_boatswain
wh2_dlc11_banner_magic_standard_burnt_banner_of_knights	wh2_dlc11_bundle_anc_magic_standard_burnt_banner_of_knights
wh2_dlc11_banner_magic_standard_corpse_surgeon	wh2_dlc11_bundle_anc_magic_standard_corpse_surgeon
wh2_dlc11_banner_magic_standard_dead_mans_chest	wh2_dlc11_bundle_anc_magic_standard_dead_mans_chest
wh2_dlc11_banner_magic_standard_holed_banner_of_militia	wh2_dlc11_bundle_anc_magic_standard_holed_banner_of_militia
wh2_dlc11_banner_magic_standard_rookie_gunner	wh2_dlc11_bundle_anc_magic_standard_rookie_gunner
wh2_dlc11_banner_magic_standard_ships_colors	wh2_dlc11_bundle_anc_magic_standard_ships_colors
wh2_dlc11_banner_magic_standard_skull_and_crossbones	wh2_dlc11_bundle_anc_magic_standard_skull_and_crossbones
wh2_dlc11_banner_magic_standard_spell_of_the_necromancers_apprentice	wh2_dlc11_bundle_anc_magic_standard_spell_of_the_necromancers_apprentice
wh2_dlc11_banner_magic_standard_throwing_bombs	wh2_dlc11_bundle_anc_magic_standard_throwing_bombs
wh2_dlc11_banner_magic_standard_torn_banner_of_pilgrims	wh2_dlc11_bundle_anc_magic_standard_torn_banner_of_pilgrims
wh2_dlc12_anc_banner_cape_of_sniper	wh2_dlc12_bundle_magic_standard_cape_of_sniper
wh2_dlc12_anc_banner_incendiary_rounds	wh2_dlc12_bundle_magic_standard_incendiary_rounds
wh2_dlc12_anc_banner_tracer_rounds	wh2_dlc12_bundle_magic_standard_tracer_rounds
wh2_dlc12_lzd_anc_magic_standard_coatlpelt_flagstaff	wh2_dlc12_lzd_anc_magic_standard_coatlpelt_flagstaff
wh2_dlc12_lzd_anc_magic_standard_culchan_feathered_standard	wh2_dlc12_lzd_anc_magic_standard_culchan_feathered_standard
wh2_dlc12_lzd_anc_magic_standard_exalted_banner_of_xapati	wh2_dlc12_lzd_anc_magic_standard_exalted_banner_of_xapati
wh2_dlc12_lzd_anc_magic_standard_flag_of_the_daystar	wh2_dlc12_lzd_anc_magic_standard_flag_of_the_daystar
wh2_dlc12_lzd_anc_magic_standard_shroud_of_chaqua	wh2_dlc12_lzd_anc_magic_standard_shroud_of_chaqua
wh2_dlc12_lzd_anc_magic_standard_sign_of_the_coiled_one	wh2_dlc12_lzd_anc_magic_standard_sign_of_the_coiled_one
wh2_dlc12_lzd_anc_magic_standard_totem_of_the_spitting_viper	wh2_dlc12_lzd_anc_magic_standard_totem_of_the_spitting_viper
wh2_dlc12_lzd_anc_magic_standard_totem_pole_of_destiny	wh2_dlc12_lzd_anc_magic_standard_totem_pole_of_destiny
wh2_main_banner_magic_standard_banner_of_ellyrion	wh2_main_bundle_magic_standard_banner_of_ellyrion
wh2_main_banner_magic_standard_banner_of_murder	wh2_main_bundle_magic_standard_banner_of_murder
wh2_main_banner_magic_standard_banner_of_the_under_empire	wh2_main_bundle_magic_standard_banner_of_the_under_empire
wh2_main_banner_magic_standard_banner_of_the_world_dragon	wh2_main_bundle_magic_standard_banner_of_the_world_dragon
wh2_main_banner_magic_standard_banner_of_verminous_scurrying	wh2_main_bundle_magic_standard_banner_of_verminous_scurrying
wh2_main_banner_magic_standard_battle_banner	wh2_main_bundle_magic_standard_battle_banner
wh2_main_banner_magic_standard_dread_banner	wh2_main_bundle_magic_standard_dread_banner
wh2_main_banner_magic_standard_dwarf_hide_banner	wh2_main_bundle_magic_standard_dwarf_hide_banner
wh2_main_banner_magic_standard_grand_banner_of_clan_superiority	wh2_main_bundle_magic_standard_grand_banner_of_clan_superiority
wh2_main_banner_magic_standard_horn_of_isha	wh2_main_bundle_magic_standard_horn_of_isha
wh2_main_banner_magic_standard_huanchis_blessed_totem	wh2_main_bundle_magic_standard_huanchis_blessed_totem
wh2_main_banner_magic_standard_hydra_banner	wh2_main_bundle_magic_standard_hydra_banner
wh2_main_banner_magic_standard_lion_standard	wh2_main_bundle_magic_standard_lion_standard
wh2_main_banner_magic_standard_sacred_banner_of_the_horned_rat	wh2_main_bundle_magic_standard_sacred_banner_of_the_horned_rat
wh2_main_banner_magic_standard_sea_serpent_standard	wh2_main_bundle_magic_standard_sea_serpent_standard
wh2_main_banner_magic_standard_shroud_of_dripping_death	wh2_main_bundle_magic_standard_shroud_of_dripping_death
wh2_main_banner_magic_standard_skavenpelt_banner	wh2_main_bundle_magic_standard_skavenpelt_banner
wh2_main_banner_magic_standard_standard_of_hag_graef	wh2_main_bundle_magic_standard_standard_of_hag_graef
wh2_main_banner_magic_standard_storm_banner	wh2_main_bundle_magic_standard_storm_banner
wh2_main_banner_magic_standard_sun_standard_of_chotec	wh2_main_bundle_magic_standard_sun_standard_of_chotec
wh2_main_banner_magic_standard_sunburst_standard_of_hexoatl	wh2_main_bundle_magic_standard_sunburst_standard_of_hexoatl
wh2_main_banner_magic_standard_the_blood_banner	wh2_main_bundle_magic_standard_the_blood_banner
wh2_main_banner_magic_standard_the_jaguar_standard	wh2_main_bundle_magic_standard_the_jaguar_standard
wh2_main_banner_magic_standard_totem_of_prophecy	wh2_main_bundle_magic_standard_totem_of_prophecy
wh_dlc03_anc_magic_standard_banner_of_outrage	wh_dlc03_bundle_anc_magic_standard_banner_of_outrage
wh_dlc03_anc_magic_standard_manbane_standard	wh_dlc03_bundle_anc_magic_standard_manbane_standard
wh_dlc03_anc_magic_standard_the_beast_banner	wh_dlc03_bundle_anc_magic_standard_the_beast_banner
wh_dlc03_anc_magic_standard_totem_of_rust	wh_dlc03_bundle_anc_magic_standard_totem_of_rust
wh_dlc03_anc_mark_of_chaos_crown_of_horns	wh_dlc03_bundle_anc_mark_of_chaos_crown_of_horns
wh_dlc03_anc_mark_of_chaos_gnarled_hide	wh_dlc03_bundle_anc_mark_of_chaos_gnarled_hide
wh_dlc03_anc_mark_of_chaos_gouge_tusks	wh_dlc03_bundle_anc_mark_of_chaos_gouge_tusks
wh_dlc03_anc_mark_of_chaos_many_limbed_fiend	wh_dlc03_bundle_anc_mark_of_chaos_many_limbed_fiend
wh_dlc03_anc_mark_of_chaos_shadow_hide	wh_dlc03_bundle_anc_mark_of_chaos_shadow_hide
wh_dlc03_anc_mark_of_chaos_slug_skin	wh_dlc03_bundle_anc_mark_of_chaos_slug_skin
wh_dlc03_anc_mark_of_chaos_uncanny_senses	wh_dlc03_bundle_anc_mark_of_chaos_uncanny_senses
wh_dlc03_banner_banner_of_the_fallen_kings	wh_dlc03_bundle_anc_magic_standard_banner_of_the_fallen_kings
wh_dlc05_anc_magic_standard_the_banner_of_the_eternal_queen	wh_dlc05_bundle_anc_magic_standard_the_banner_of_the_eternal_queen
wh_dlc05_anc_magic_standard_the_banner_of_the_hunter_king	wh_dlc05_bundle_anc_magic_standard_the_banner_of_the_hunter_king
wh_dlc06_banner_skarsniks_boyz	wh_dlc06_bundle_anc_magic_standard_skarsniks_boyz
