settlement_abandoment_buildings_tables	0
building	campaign_group
wh2_main_sch_special_settlement_hellpit_norscaruin_khorne	wh_dlc08_raze_option_khorne
wh2_main_sch_special_settlement_hellpit_norscaruin_nurgle	wh_dlc08_raze_option_nurgle
wh2_main_sch_special_settlement_hellpit_norscaruin_slaanesh	wh_dlc08_raze_option_slaanesh
wh2_main_sch_special_settlement_hellpit_norscaruin_tzeentch	wh_dlc08_raze_option_tzeentch
wh2_main_sch_special_settlement_hexoatl_norscaruin_khorne	wh_dlc08_raze_option_khorne
wh2_main_sch_special_settlement_hexoatl_norscaruin_nurgle	wh_dlc08_raze_option_nurgle
wh2_main_sch_special_settlement_hexoatl_norscaruin_slaanesh	wh_dlc08_raze_option_slaanesh
wh2_main_sch_special_settlement_hexoatl_norscaruin_tzeentch	wh_dlc08_raze_option_tzeentch
wh2_main_sch_special_settlement_itza_norscaruin_khorne	wh_dlc08_raze_option_khorne
wh2_main_sch_special_settlement_itza_norscaruin_nurgle	wh_dlc08_raze_option_nurgle
wh2_main_sch_special_settlement_itza_norscaruin_slaanesh	wh_dlc08_raze_option_slaanesh
wh2_main_sch_special_settlement_itza_norscaruin_tzeentch	wh_dlc08_raze_option_tzeentch
wh2_main_sch_special_settlement_khemri_norscaruin_khorne	wh_dlc08_raze_option_khorne
wh2_main_sch_special_settlement_khemri_norscaruin_nurgle	wh_dlc08_raze_option_nurgle
wh2_main_sch_special_settlement_khemri_norscaruin_slaanesh	wh_dlc08_raze_option_slaanesh
wh2_main_sch_special_settlement_khemri_norscaruin_tzeentch	wh_dlc08_raze_option_tzeentch
wh2_main_sch_special_settlement_lahmia_norscaruin_khorne	wh_dlc08_raze_option_khorne
wh2_main_sch_special_settlement_lahmia_norscaruin_nurgle	wh_dlc08_raze_option_nurgle
wh2_main_sch_special_settlement_lahmia_norscaruin_slaanesh	wh_dlc08_raze_option_slaanesh
wh2_main_sch_special_settlement_lahmia_norscaruin_tzeentch	wh_dlc08_raze_option_tzeentch
wh2_main_sch_special_settlement_lothern_norscaruin_khorne	wh_dlc08_raze_option_khorne
wh2_main_sch_special_settlement_lothern_norscaruin_nurgle	wh_dlc08_raze_option_nurgle
wh2_main_sch_special_settlement_lothern_norscaruin_slaanesh	wh_dlc08_raze_option_slaanesh
wh2_main_sch_special_settlement_lothern_norscaruin_tzeentch	wh_dlc08_raze_option_tzeentch
wh2_main_sch_special_settlement_naggarond_norscaruin_khorne	wh_dlc08_raze_option_khorne
wh2_main_sch_special_settlement_naggarond_norscaruin_nurgle	wh_dlc08_raze_option_nurgle
wh2_main_sch_special_settlement_naggarond_norscaruin_slaanesh	wh_dlc08_raze_option_slaanesh
wh2_main_sch_special_settlement_naggarond_norscaruin_tzeentch	wh_dlc08_raze_option_tzeentch
wh2_main_sch_special_settlement_skavenblight_norscaruin_khorne	wh_dlc08_raze_option_khorne
wh2_main_sch_special_settlement_skavenblight_norscaruin_nurgle	wh_dlc08_raze_option_nurgle
wh2_main_sch_special_settlement_skavenblight_norscaruin_slaanesh	wh_dlc08_raze_option_slaanesh
wh2_main_sch_special_settlement_skavenblight_norscaruin_tzeentch	wh_dlc08_raze_option_tzeentch
wh2_main_special_settlement_colony_major_norscaruin_khorne	wh_dlc08_raze_option_khorne
wh2_main_special_settlement_colony_major_norscaruin_nurgle	wh_dlc08_raze_option_nurgle
wh2_main_special_settlement_colony_major_norscaruin_slaanesh	wh_dlc08_raze_option_slaanesh
wh2_main_special_settlement_colony_major_norscaruin_tzeentch	wh_dlc08_raze_option_tzeentch
wh2_main_special_settlement_colony_minor_norscaruin_khorne	wh_dlc08_raze_option_khorne
wh2_main_special_settlement_colony_minor_norscaruin_nurgle	wh_dlc08_raze_option_nurgle
wh2_main_special_settlement_colony_minor_norscaruin_slaanesh	wh_dlc08_raze_option_slaanesh
wh2_main_special_settlement_colony_minor_norscaruin_tzeentch	wh_dlc08_raze_option_tzeentch
wh_dlc03_GRN-DWF_settlement_major_beastmenruin_coast	wh_dlc03_settlement_abandonment_beastmen
wh_dlc03_GRN-DWF_settlement_major_beastmenruin	wh_dlc03_settlement_abandonment_beastmen
wh_dlc03_GRN-DWF_settlement_minor_beastmenruin_coast	wh_dlc03_settlement_abandonment_beastmen
wh_dlc03_GRN-DWF_settlement_minor_beastmenruin	wh_dlc03_settlement_abandonment_beastmen
wh_dlc03_HUMAN_settlement_major_beastmenruin_coast	wh_dlc03_settlement_abandonment_beastmen
wh_dlc03_HUMAN_settlement_major_beastmenruin	wh_dlc03_settlement_abandonment_beastmen
wh_dlc03_HUMAN_settlement_minor_beastmenruin_coast	wh_dlc03_settlement_abandonment_beastmen
wh_dlc03_HUMAN_settlement_minor_beastmenruin	wh_dlc03_settlement_abandonment_beastmen
wh_dlc03_special_city_altdorf_beastmenruin	wh_dlc03_settlement_abandonment_beastmen
wh_dlc03_special_city_black_crag_beastmenruin	wh_dlc03_settlement_abandonment_beastmen
wh_dlc03_special_city_castle_drakenhof_beastmenruin	wh_dlc03_settlement_abandonment_beastmen
wh_dlc03_special_city_couronne_beastmenruin	wh_dlc03_settlement_abandonment_beastmen
wh_dlc03_special_city_eight_peaks_beastmenruin	wh_dlc03_settlement_abandonment_beastmen
wh_dlc03_special_city_karaz_a_karak_beastmenruin	wh_dlc03_settlement_abandonment_beastmen
wh_dlc03_special_city_kislev_beastmenruin	wh_dlc03_settlement_abandonment_beastmen
wh_dlc03_special_city_miragliano_beastmenruin	wh_dlc03_settlement_abandonment_beastmen
wh_dlc05_wef_settlement_major_main_ruin	wh_settlement_abandonment_chaos
wh_dlc05_wef_settlement_major_ruin_coast	wh_settlement_abandonment_chaos
wh_dlc05_wef_settlement_major_ruin	wh_settlement_abandonment_chaos
wh_dlc05_wef_settlement_minor_ruin_coast	wh_settlement_abandonment_chaos
wh_dlc05_wef_settlement_minor_ruin	wh_settlement_abandonment_chaos
wh_main_HUMAN_outpostnorsca_major_chaosruin_coast	wh_settlement_abandonment_chaos
wh_main_HUMAN_outpostnorsca_major_chaosruin	wh_settlement_abandonment_chaos
wh_main_HUMAN_outpostnorsca_minor_chaosruin_coast	wh_settlement_abandonment_chaos
wh_main_HUMAN_outpostnorsca_minor_chaosruin	wh_settlement_abandonment_chaos
wh_main_HUMAN_settlement_major_chaosruin_coast	wh_settlement_abandonment_chaos
wh_main_HUMAN_settlement_major_chaosruin	wh_settlement_abandonment_chaos
wh_main_HUMAN_settlement_minor_chaosruin_coast	wh_settlement_abandonment_chaos
wh_main_HUMAN_settlement_minor_chaosruin	wh_settlement_abandonment_chaos
wh_main_NORSCA_settlement_major_coast_norscaruin_khorne	wh_dlc08_raze_option_khorne
wh_main_NORSCA_settlement_major_coast_norscaruin_nurgle	wh_dlc08_raze_option_nurgle
wh_main_NORSCA_settlement_major_coast_norscaruin_slaanesh	wh_dlc08_raze_option_slaanesh
wh_main_NORSCA_settlement_major_coast_norscaruin_tzeentch	wh_dlc08_raze_option_tzeentch
wh_main_NORSCA_settlement_major_norscaruin_khorne	wh_dlc08_raze_option_khorne
wh_main_NORSCA_settlement_major_norscaruin_nurgle	wh_dlc08_raze_option_nurgle
wh_main_NORSCA_settlement_major_norscaruin_slaanesh	wh_dlc08_raze_option_slaanesh
wh_main_NORSCA_settlement_major_norscaruin_tzeentch	wh_dlc08_raze_option_tzeentch
wh_main_NORSCA_settlement_minor_coast_norscaruin_khorne	wh_dlc08_raze_option_khorne
wh_main_NORSCA_settlement_minor_coast_norscaruin_nurgle	wh_dlc08_raze_option_nurgle
wh_main_NORSCA_settlement_minor_coast_norscaruin_slaanesh	wh_dlc08_raze_option_slaanesh
wh_main_NORSCA_settlement_minor_coast_norscaruin_tzeentch	wh_dlc08_raze_option_tzeentch
wh_main_NORSCA_settlement_minor_norscaruin_khorne	wh_dlc08_raze_option_khorne
wh_main_NORSCA_settlement_minor_norscaruin_nurgle	wh_dlc08_raze_option_nurgle
wh_main_NORSCA_settlement_minor_norscaruin_slaanesh	wh_dlc08_raze_option_slaanesh
wh_main_NORSCA_settlement_minor_norscaruin_tzeentch	wh_dlc08_raze_option_tzeentch
wh_main_dwf_grn_settlement_major_chaosruin_coast	wh_settlement_abandonment_chaos
wh_main_dwf_grn_settlement_major_chaosruin	wh_settlement_abandonment_chaos
wh_main_dwf_grn_settlement_minor_chaosruin_coast	wh_settlement_abandonment_chaos
wh_main_dwf_grn_settlement_minor_chaosruin	wh_settlement_abandonment_chaos
wh_main_oak_of_ages_norscaruin_khorne	wh_dlc08_raze_option_khorne
wh_main_oak_of_ages_norscaruin_nurgle	wh_dlc08_raze_option_nurgle
wh_main_oak_of_ages_norscaruin_slaanesh	wh_dlc08_raze_option_slaanesh
wh_main_oak_of_ages_norscaruin_tzeentch	wh_dlc08_raze_option_tzeentch
wh_main_sch_settlement_major_coast_norscaruin_khorne	wh_dlc08_raze_option_khorne
wh_main_sch_settlement_major_coast_norscaruin_nurgle	wh_dlc08_raze_option_nurgle
