achievements_tables	4
key	steam_id	game_expansion_owners
WH2_ACHIEVEMENTS_BATTLE_ABILITIES_10		
WH2_ACHIEVEMENTS_BATTLE_KILLS_200		
WH2_ACHIEVEMENTS_BATTLE_KILLS_HERO_100		
WH2_ACHIEVEMENTS_BATTLE_KILLS_LORD_100		
WH2_ACHIEVEMENTS_BATTLE_MULTIPLAYER_1		
WH2_ACHIEVEMENTS_BATTLE_MULTIPLAYER_VIRAL		
WH2_ACHIEVEMENTS_BATTLE_MULTIPLAYER_WIN_10		
WH2_ACHIEVEMENTS_BATTLE_OUTNUMBERED		
WH2_ACHIEVEMENTS_BATTLE_QUEST		
WH2_ACHIEVEMENTS_BATTLE_WINS_10		
WH2_ACHIEVEMENTS_BATTLE_WINS_50		
WH2_ACHIEVEMENTS_BATTLE_WINS_AMBUSH_5		
WH2_ACHIEVEMENTS_BATTLE_WINS_SIEGE_ATTACK_25		
WH2_ACHIEVEMENTS_MP_CAMPAIGN_START		
WH2_ACHIEVEMENTS_RESEARCH_DARKELF_1		
WH2_ACHIEVEMENTS_RESEARCH_DARKELF_2		
WH2_ACHIEVEMENTS_RESEARCH_DARKELF_3		
WH2_ACHIEVEMENTS_RESEARCH_HIGHELF_1		
WH2_ACHIEVEMENTS_RESEARCH_HIGHELF_2		
WH2_ACHIEVEMENTS_RESEARCH_HIGHELF_3		
WH2_ACHIEVEMENTS_RESEARCH_LIZARD_1		
WH2_ACHIEVEMENTS_RESEARCH_LIZARD_2		
WH2_ACHIEVEMENTS_RESEARCH_LIZARD_3		
WH2_ACHIEVEMENTS_RESEARCH_SKAVEN_1		
WH2_ACHIEVEMENTS_RESEARCH_SKAVEN_2		
WH2_ACHIEVEMENTS_RESEARCH_SKAVEN_3		
WH2_ACHIEVEMENTS_RITUAL_1		
WH2_ACHIEVEMENTS_RITUAL_5		
WH2_ACHIEVEMENTS_UNITS_ABOMBINATION_1		
WH2_ACHIEVEMENTS_UNITS_BLACKDRAGON_1		
WH2_ACHIEVEMENTS_UNITS_CARNOSAUR_1		
WH2_ACHIEVEMENTS_UNITS_DOOMWHEEL_1		
WH2_ACHIEVEMENTS_UNITS_DREADKNIGHT_1		
WH2_ACHIEVEMENTS_UNITS_FROSTPHOENIX_1		
WH2_ACHIEVEMENTS_UNITS_HYDRA_3		
WH2_ACHIEVEMENTS_UNITS_PHOENIXGUARD_5		
WH2_ACHIEVEMENTS_UNITS_PLAGUEMONKS_10		
WH2_ACHIEVEMENTS_UNITS_STARDRAGON_1		
WH2_ACHIEVEMENTS_UNITS_TEMPLEGUARD_5		
WH2_ACHIEVEMENTS_UNITS_TERRADON_1		
WH2_ACHIEVEMENTS_WH1_RACE_CAMPAIGN_COMPLETE		
WH2_ACHIEVEMENTS_WINNING_DARKELF_1		
WH2_ACHIEVEMENTS_WINNING_DARKELF_2		
WH2_ACHIEVEMENTS_WINNING_HIGHELF_1		
