character_experience_skill_tiers_tables	2
agent_key	experience_threshold	skill_points	skill_rank	optional_campaign_key	for_army	for_navy
champion	900	1	0		false	false
champion	14660	1	10		false	false
champion	16240	1	11		false	false
champion	17820	1	12		false	false
champion	19400	1	13		false	false
champion	20990	1	14		false	false
champion	22580	1	15		false	false
champion	24170	1	16		false	false
champion	25770	1	17		false	false
champion	27370	1	18		false	false
champion	28980	1	19		false	false
champion	1900	1	1		false	false
champion	30590	1	20		false	false
champion	32210	1	21		false	false
champion	33830	1	22		false	false
champion	35460	1	23		false	false
champion	37100	1	24		false	false
champion	38740	1	25		false	false
champion	40390	1	26		false	false
champion	42050	1	27		false	false
champion	43710	1	28		false	false
champion	45380	1	29		false	false
champion	3000	1	2		false	false
champion	47060	1	30		false	false
champion	48740	1	31		false	false
champion	50430	1	32		false	false
champion	52130	1	33		false	false
champion	53830	1	34		false	false
champion	55540	1	35		false	false
champion	57260	1	36		false	false
champion	58990	1	37		false	false
champion	60730	1	38		false	false
champion	4200	1	3		false	false
champion	5500	1	4		false	false
champion	6890	1	5		false	false
champion	8370	1	6		false	false
champion	9940	1	7		false	false
champion	11510	1	8		false	false
champion	13080	1	9		false	false
dignitary	900	1	0		false	false
dignitary	14660	1	10		false	false
dignitary	16240	1	11		false	false
dignitary	17820	1	12		false	false
dignitary	19400	1	13		false	false
dignitary	20990	1	14		false	false
dignitary	22580	1	15		false	false
dignitary	24170	1	16		false	false
dignitary	25770	1	17		false	false
dignitary	27370	1	18		false	false
dignitary	28980	1	19		false	false
dignitary	1900	1	1		false	false
dignitary	30590	1	20		false	false
dignitary	32210	1	21		false	false
dignitary	33830	1	22		false	false
dignitary	35460	1	23		false	false
dignitary	37100	1	24		false	false
dignitary	38740	1	25		false	false
dignitary	40390	1	26		false	false
dignitary	42050	1	27		false	false
dignitary	43710	1	28		false	false
dignitary	45380	1	29		false	false
dignitary	3000	1	2		false	false
dignitary	47060	1	30		false	false
dignitary	48740	1	31		false	false
dignitary	50430	1	32		false	false
dignitary	52130	1	33		false	false
dignitary	53830	1	34		false	false
dignitary	55540	1	35		false	false
dignitary	57260	1	36		false	false
dignitary	58990	1	37		false	false
dignitary	60730	1	38		false	false
dignitary	4200	1	3		false	false
dignitary	5500	1	4		false	false
dignitary	6890	1	5		false	false
dignitary	8370	1	6		false	false
dignitary	9940	1	7		false	false
dignitary	11510	1	8		false	false
dignitary	13080	1	9		false	false
engineer	900	1	0		false	false
engineer	14660	1	10		false	false
engineer	16240	1	11		false	false
engineer	17820	1	12		false	false
engineer	19400	1	13		false	false
engineer	20990	1	14		false	false
engineer	22580	1	15		false	false
engineer	24170	1	16		false	false
engineer	25770	1	17		false	false
engineer	27370	1	18		false	false
engineer	28980	1	19		false	false
engineer	1900	1	1		false	false
engineer	30590	1	20		false	false
engineer	32210	1	21		false	false
engineer	33830	1	22		false	false
engineer	35460	1	23		false	false
engineer	37100	1	24		false	false
engineer	38740	1	25		false	false
engineer	40390	1	26		false	false
engineer	42050	1	27		false	false
engineer	43710	1	28		false	false
engineer	45380	1	29		false	false
engineer	3000	1	2		false	false
engineer	47060	1	30		false	false
engineer	48740	1	31		false	false
engineer	50430	1	32		false	false
engineer	52130	1	33		false	false
engineer	53830	1	34		false	false
engineer	55540	1	35		false	false
engineer	57260	1	36		false	false
engineer	58990	1	37		false	false
engineer	60730	1	38		false	false
engineer	4200	1	3		false	false
engineer	5500	1	4		false	false
engineer	6890	1	5		false	false
engineer	8370	1	6		false	false
engineer	9940	1	7		false	false
engineer	11510	1	8		false	false
engineer	13080	1	9		false	false
general	900	1	0		false	false
general	14660	1	10		false	false
general	16240	1	11		false	false
general	17820	1	12		false	false
general	19400	1	13		false	false
general	20990	1	14		false	false
general	22580	1	15		false	false
general	24170	1	16		false	false
general	25770	1	17		false	false
general	27370	1	18		false	false
general	28980	1	19		false	false
general	1900	1	1		false	false
general	30590	1	20		false	false
general	32210	1	21		false	false
general	33830	1	22		false	false
general	35460	1	23		false	false
general	37100	1	24		false	false
general	38740	1	25		false	false
general	40390	1	26		false	false
general	42050	1	27		false	false
general	43710	1	28		false	false
general	45380	1	29		false	false
general	3000	1	2		false	false
general	47060	1	30		false	false
general	48740	1	31		false	false
general	50430	1	32		false	false
general	52130	1	33		false	false
general	53830	1	34		false	false
general	55540	1	35		false	false
general	57260	1	36		false	false
general	58990	1	37		false	false
general	60730	1	38		false	false
general	4200	1	3		false	false
general	5500	1	4		false	false
general	6890	1	5		false	false
general	8370	1	6		false	false
general	9940	1	7		false	false
general	11510	1	8		false	false
general	13080	1	9		false	false
runesmith	900	1	0		false	false
runesmith	14660	1	10		false	false
runesmith	16240	1	11		false	false
runesmith	17820	1	12		false	false
runesmith	19400	1	13		false	false
runesmith	20990	1	14		false	false
runesmith	22580	1	15		false	false
runesmith	24170	1	16		false	false
runesmith	25770	1	17		false	false
runesmith	27370	1	18		false	false
runesmith	28980	1	19		false	false
runesmith	1900	1	1		false	false
runesmith	30590	1	20		false	false
runesmith	32210	1	21		false	false
runesmith	33830	1	22		false	false
runesmith	35460	1	23		false	false
runesmith	37100	1	24		false	false
runesmith	38740	1	25		false	false
runesmith	40390	1	26		false	false
runesmith	42050	1	27		false	false
runesmith	43710	1	28		false	false
runesmith	45380	1	29		false	false
runesmith	3000	1	2		false	false
runesmith	47060	1	30		false	false
runesmith	48740	1	31		false	false
runesmith	50430	1	32		false	false
runesmith	52130	1	33		false	false
runesmith	53830	1	34		false	false
runesmith	55540	1	35		false	false
runesmith	57260	1	36		false	false
runesmith	58990	1	37		false	false
runesmith	60730	1	38		false	false
runesmith	4200	1	3		false	false
runesmith	5500	1	4		false	false
runesmith	6890	1	5		false	false
runesmith	8370	1	6		false	false
runesmith	9940	1	7		false	false
runesmith	11510	1	8		false	false
runesmith	13080	1	9		false	false
spy	900	1	0		false	false
spy	14660	1	10		false	false
spy	16240	1	11		false	false
spy	17820	1	12		false	false
spy	19400	1	13		false	false
spy	20990	1	14		false	false
spy	22580	1	15		false	false
spy	24170	1	16		false	false
spy	25770	1	17		false	false
spy	27370	1	18		false	false
spy	28980	1	19		false	false
spy	1900	1	1		false	false
spy	30590	1	20		false	false
