campaign_group_member_criteria_diplomatic_attitudes_tables	0
attitude	member
hostile	DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_Negative
hostile	DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionBeastmen_&_Negative
friendly	DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionBeastmen_&_Positive
hostile	DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionBretonnia_&_Negative
friendly	DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionBretonnia_&_Positive
hostile	DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionChaos_&_Negative
friendly	DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionChaos_&_Positive
hostile	DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionDarkElves_&_Negative
friendly	DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionDarkElves_&_Positive
hostile	DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionDwarf_&_Negative
friendly	DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionDwarf_&_Positive
hostile	DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionEmpire_&_Negative
friendly	DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionEmpire_&_Positive
hostile	DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionGreenskin_&_Negative
friendly	DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionGreenskin_&_Positive
hostile	DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionHighElves_&_Negative
friendly	DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionHighElves_&_Positive
hostile	DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionLizardmen_&_Negative
friendly	DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionLizardmen_&_Positive
hostile	DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionSkaven_&_Negative
friendly	DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionSkaven_&_Positive
hostile	DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionTombKings_&_Negative
friendly	DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionTombKings_&_Positive
hostile	DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionVamp_&_Negative
friendly	DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionVamp_&_Positive
hostile	DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionVampireCoast_&_Negative
friendly	DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionVampireCoast_&_Positive
hostile	DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionWoodElves_&_Negative
friendly	DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionWoodElves_&_Positive
friendly	DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_Positive
hostile	DLC11_diplomacy_Subcult_VampireCoast_&_Negative
friendly	DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionBeastmen
hostile	DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionBeastmen_&_Negative
friendly	DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionBeastmen_&_Positive
hostile	DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionBretonnia_&_Negative
friendly	DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionBretonnia_&_Positive
hostile	DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionChaos_&_Negative
