units_to_exclusive_faction_permissions_tables	0
key	faction	allowed
wh2_dlc10_def_cav_knights_of_the_ebon_claw_ror_0	wh2_main_def_cult_of_pleasure	true
wh2_dlc10_def_cav_knights_of_the_ebon_claw_ror_0	wh2_main_def_har_ganeth	true
wh2_dlc10_def_cav_knights_of_the_ebon_claw_ror_0	wh2_main_def_naggarond	true
wh2_dlc10_def_cav_raven_heralds_ror_0	wh2_main_def_cult_of_pleasure	true
wh2_dlc10_def_cav_raven_heralds_ror_0	wh2_main_def_har_ganeth	true
wh2_dlc10_def_cav_raven_heralds_ror_0	wh2_main_def_naggarond	true
wh2_dlc10_def_cav_slaanesh_harvesters_ror_0	wh2_main_def_cult_of_pleasure	true
wh2_dlc10_def_cav_slaanesh_harvesters_ror_0	wh2_main_def_har_ganeth	true
wh2_dlc10_def_cav_slaanesh_harvesters_ror_0	wh2_main_def_naggarond	true
wh2_dlc10_def_inf_blades_of_the_blood_queen_ror_0	wh2_main_def_cult_of_pleasure	true
wh2_dlc10_def_inf_blades_of_the_blood_queen_ror_0	wh2_main_def_har_ganeth	true
wh2_dlc10_def_inf_blades_of_the_blood_queen_ror_0	wh2_main_def_naggarond	true
wh2_dlc10_def_inf_sisters_of_the_singing_doom_ror_0	wh2_main_def_cult_of_pleasure	true
wh2_dlc10_def_inf_sisters_of_the_singing_doom_ror_0	wh2_main_def_har_ganeth	true
wh2_dlc10_def_inf_sisters_of_the_singing_doom_ror_0	wh2_main_def_naggarond	true
wh2_dlc10_def_inf_the_bolt_fiends_ror_0	wh2_main_def_cult_of_pleasure	true
wh2_dlc10_def_inf_the_bolt_fiends_ror_0	wh2_main_def_har_ganeth	true
wh2_dlc10_def_inf_the_bolt_fiends_ror_0	wh2_main_def_naggarond	true
wh2_dlc10_def_inf_the_hellebronai_ror_0	wh2_main_def_cult_of_pleasure	true
wh2_dlc10_def_inf_the_hellebronai_ror_0	wh2_main_def_har_ganeth	true
wh2_dlc10_def_inf_the_hellebronai_ror_0	wh2_main_def_naggarond	true
wh2_dlc10_def_mon_chill_of_sontar_ror_0	wh2_main_def_cult_of_pleasure	true
wh2_dlc10_def_mon_chill_of_sontar_ror_0	wh2_main_def_har_ganeth	true
wh2_dlc10_def_mon_chill_of_sontar_ror_0	wh2_main_def_naggarond	true
wh2_dlc10_hef_cav_the_fireborn_ror_0	wh2_main_hef_avelorn	true
wh2_dlc10_hef_cav_the_fireborn_ror_0	wh2_main_hef_eataine	true
wh2_dlc10_hef_cav_the_fireborn_ror_0	wh2_main_hef_nagarythe	true
wh2_dlc10_hef_cav_the_heralds_of_the_wind_ror_0	wh2_main_hef_avelorn	true
wh2_dlc10_hef_cav_the_heralds_of_the_wind_ror_0	wh2_main_hef_eataine	true
wh2_dlc10_hef_cav_the_heralds_of_the_wind_ror_0	wh2_main_hef_nagarythe	true
wh2_dlc10_hef_inf_everqueens_court_guards_ror_0	wh2_main_hef_avelorn	true
wh2_dlc10_hef_inf_everqueens_court_guards_ror_0	wh2_main_hef_eataine	true
wh2_dlc10_hef_inf_everqueens_court_guards_ror_0	wh2_main_hef_nagarythe	true
wh2_dlc10_hef_inf_keepers_of_the_flame_ror_0	wh2_main_hef_avelorn	true
wh2_dlc10_hef_inf_keepers_of_the_flame_ror_0	wh2_main_hef_eataine	true
wh2_dlc10_hef_inf_keepers_of_the_flame_ror_0	wh2_main_hef_nagarythe	true
wh2_dlc10_hef_inf_the_grey_ror_0	wh2_main_hef_avelorn	true
wh2_dlc10_hef_inf_the_grey_ror_0	wh2_main_hef_eataine	true
wh2_dlc10_hef_inf_the_grey_ror_0	wh2_main_hef_nagarythe	true
wh2_dlc10_hef_inf_the_scions_of_mathlann_ror_0	wh2_main_hef_avelorn	true
wh2_dlc10_hef_inf_the_scions_of_mathlann_ror_0	wh2_main_hef_eataine	true
wh2_dlc10_hef_inf_the_scions_of_mathlann_ror_0	wh2_main_hef_nagarythe	true
wh2_dlc10_hef_inf_the_silverpelts_ror_0	wh2_main_hef_avelorn	true
wh2_dlc10_hef_inf_the_silverpelts_ror_0	wh2_main_hef_eataine	true
