campaign_agent_subtype_factorial_effect_junctions_tables	2
agent_subtype	factorial_effect	key	value	scope
emp_bright_wizard	skaven_discoverability_characters	1018106237	15	EFS_ONLY_OTHERS
dlc06_dwf_runesmith_ghost	skaven_discoverability_characters	1024091608	15	EFS_ONLY_OTHERS
wh2_dlc11_cst_fleet_captain_deep	skaven_discoverability_characters	1059412571	15	EFS_ONLY_OTHERS
wh2_main_skv_assassin	skaven_discoverability_characters	1110881167	15	EFS_ONLY_OTHERS
wh_dlc08_nor_shaman_sorcerer_fire	skaven_discoverability_characters	1128200115	15	EFS_ONLY_OTHERS
dwf_thane	skaven_discoverability_characters	1143977163	15	EFS_ONLY_OTHERS
wh2_main_def_khainite_assassin	skaven_discoverability_characters	1146956829	15	EFS_ONLY_OTHERS
wh2_dlc10_hef_mage_shadows	skaven_discoverability_characters	1158171599	15	EFS_ONLY_OTHERS
wh2_main_def_sorceress_dark	skaven_discoverability_characters	1162943229	15	EFS_ONLY_OTHERS
wh_dlc05_vmp_vampire_shadow	skaven_discoverability_characters	1186628464	15	EFS_ONLY_OTHERS
wh2_main_hef_mage_light	skaven_discoverability_characters	119370169	15	EFS_ONLY_OTHERS
dlc05_wef_spellsinger_life	skaven_discoverability_characters	1225951376	15	EFS_ONLY_OTHERS
chs_chaos_sorcerer_metal	skaven_discoverability_characters	1241576995	15	EFS_ONLY_OTHERS
wh2_main_hef_noble	skaven_discoverability_characters	1273442187	15	EFS_ONLY_OTHERS
wh2_dlc11_cst_ghost_paladin	skaven_discoverability_characters	1305491547	15	EFS_ONLY_OTHERS
brt_damsel_life	skaven_discoverability_characters	1323546162	15	EFS_ONLY_OTHERS
vmp_necromancer	skaven_discoverability_characters	1403947388	15	EFS_ONLY_OTHERS
grn_goblin_big_boss	skaven_discoverability_characters	1482749872	15	EFS_ONLY_OTHERS
wh2_dlc09_tmb_necrotect_ritual	skaven_discoverability_characters	1489335943	15	EFS_ONLY_OTHERS
wh2_dlc10_def_sorceress_death	skaven_discoverability_characters	1495716133	15	EFS_ONLY_OTHERS
emp_witch_hunter	skaven_discoverability_characters	1496619034	15	EFS_ONLY_OTHERS
chs_chaos_sorcerer_fire	skaven_discoverability_characters	1507970043	15	EFS_ONLY_OTHERS
vmp_banshee	skaven_discoverability_characters	1515982843	15	EFS_ONLY_OTHERS
dlc06_dwf_thane_ghost_2	skaven_discoverability_characters	1527992625	15	EFS_ONLY_OTHERS
wh2_dlc09_tmb_liche_priest_light	skaven_discoverability_characters	1544540634	15	EFS_ONLY_OTHERS
wh2_dlc09_tmb_liche_priest_shadow	skaven_discoverability_characters	1564121596	15	EFS_ONLY_OTHERS
dlc06_dwf_thane_ghost_1	skaven_discoverability_characters	1566738775	15	EFS_ONLY_OTHERS
wh2_main_def_sorceress_fire	skaven_discoverability_characters	1594672285	15	EFS_ONLY_OTHERS
wh_dlc08_nor_fimir_balefiend_shadow	skaven_discoverability_characters	1629493812	15	EFS_ONLY_OTHERS
brt_paladin	skaven_discoverability_characters	1665517702	15	EFS_ONLY_OTHERS
wh2_pro07_emp_amethyst_wizard	skaven_discoverability_characters	169990177	15	EFS_ONLY_OTHERS
wh2_dlc09_tmb_liche_priest_death	skaven_discoverability_characters	1715189200	15	EFS_ONLY_OTHERS
wh2_dlc12_lzd_tlaqua_skink_priest_beasts	skaven_discoverability_characters	1730270416	15	EFS_ONLY_OTHERS
vmp_wight_king	skaven_discoverability_characters	1744536113	15	EFS_ONLY_OTHERS
wh_dlc08_nor_shaman_sorcerer_death	skaven_discoverability_characters	1809253083	15	EFS_ONLY_OTHERS
wh2_dlc12_lzd_tlaqua_skink_chief	skaven_discoverability_characters	1840856777	15	EFS_ONLY_OTHERS
wh2_main_hef_loremaster_of_hoeth	skaven_discoverability_characters	1845432452	15	EFS_ONLY_OTHERS
vmp_vampire	skaven_discoverability_characters	1847380459	15	EFS_ONLY_OTHERS
brt_damsel	skaven_discoverability_characters	1911000460	15	EFS_ONLY_OTHERS
wh2_dlc10_def_sorceress_beasts	skaven_discoverability_characters	1912306295	15	EFS_ONLY_OTHERS
wh2_main_hef_mage_life	skaven_discoverability_characters	1914812719	15	EFS_ONLY_OTHERS
wh_dlc08_nor_shaman_sorcerer_metal	skaven_discoverability_characters	1915968682	15	EFS_ONLY_OTHERS
wh2_dlc10_hef_shadow_walker	skaven_discoverability_characters	1919698516	15	EFS_ONLY_OTHERS
dlc03_bst_gorebull	skaven_discoverability_characters	1923686237	15	EFS_ONLY_OTHERS
wh2_main_skv_warlock_engineer	skaven_discoverability_characters	1934893338	-10	EFS_ONLY_OWNER
emp_celestial_wizard	skaven_discoverability_characters	1948886361	15	EFS_ONLY_OTHERS
wh2_main_skv_assassin	skaven_discoverability_characters	1964848903	-10	EFS_ONLY_OWNER
wh2_dlc11_cst_fleet_captain_death	skaven_discoverability_characters	2003926212	15	EFS_ONLY_OTHERS
brt_damsel_beasts	skaven_discoverability_characters	2005700860	15	EFS_ONLY_OTHERS
emp_captain	skaven_discoverability_characters	2089791964	15	EFS_ONLY_OTHERS
wh_dlc05_wef_branchwraith	skaven_discoverability_characters	2096882325	15	EFS_ONLY_OTHERS
teb_bright_wizard	skaven_discoverability_characters	2113765158	15	EFS_ONLY_OTHERS
dlc03_emp_amber_wizard	skaven_discoverability_characters	2132269610	15	EFS_ONLY_OTHERS
wh2_main_skv_plague_priest	skaven_discoverability_characters	2136132765	-10	EFS_ONLY_OWNER
wh2_dlc10_hef_handmaiden	skaven_discoverability_characters	26692634	15	EFS_ONLY_OTHERS
wh2_dlc11_cst_fleet_captain	skaven_discoverability_characters	270112249	15	EFS_ONLY_OTHERS
ksl_celestial_wizard	skaven_discoverability_characters	287961002	15	EFS_ONLY_OTHERS
wh2_dlc11_cst_gunnery_wight	skaven_discoverability_characters	300347889	15	EFS_ONLY_OTHERS
dlc06_dwf_master_engineer_ghost	skaven_discoverability_characters	317590635	15	EFS_ONLY_OTHERS
wh_dlc08_nor_fimir_balefiend_fire	skaven_discoverability_characters	3487117	15	EFS_ONLY_OTHERS
ksl_captain	skaven_discoverability_characters	353722582	15	EFS_ONLY_OTHERS
emp_warrior_priest	skaven_discoverability_characters	358221928	15	EFS_ONLY_OTHERS
wh2_main_skv_plague_priest	skaven_discoverability_characters	374247213	15	EFS_ONLY_OTHERS
dlc03_bst_bray_shaman_beasts	skaven_discoverability_characters	382437336	15	EFS_ONLY_OTHERS
dlc03_bst_bray_shaman_death	skaven_discoverability_characters	38436249	15	EFS_ONLY_OTHERS
wh2_dlc09_tmb_necrotect	skaven_discoverability_characters	392934410	15	EFS_ONLY_OTHERS
wh2_main_hef_mage_high	skaven_discoverability_characters	433937679	15	EFS_ONLY_OTHERS
dlc03_bst_bray_shaman_shadows	skaven_discoverability_characters	443535529	15	EFS_ONLY_OTHERS
dlc08_nor_kihar	skaven_discoverability_characters	463788771	15	EFS_ONLY_OTHERS
wh2_dlc10_hef_mage_heavens	skaven_discoverability_characters	466492385	15	EFS_ONLY_OTHERS
wh2_main_def_death_hag	skaven_discoverability_characters	468729908	15	EFS_ONLY_OTHERS
wh2_dlc09_tmb_liche_priest_nehekhara	skaven_discoverability_characters	47032426	15	EFS_ONLY_OTHERS
teb_captain	skaven_discoverability_characters	516226746	15	EFS_ONLY_OTHERS
dlc07_chs_chaos_sorcerer_shadow	skaven_discoverability_characters	53274318	15	EFS_ONLY_OTHERS
wh2_main_skv_plague_priest_ritual	skaven_discoverability_characters	5517428	15	EFS_ONLY_OTHERS
wh2_main_lzd_skink_priest_heavens	skaven_discoverability_characters	646123466	15	EFS_ONLY_OTHERS
dlc05_wef_spellsinger_beasts	skaven_discoverability_characters	661535031	15	EFS_ONLY_OTHERS
emp_light_wizard	skaven_discoverability_characters	725045260	15	EFS_ONLY_OTHERS
grn_orc_shaman	skaven_discoverability_characters	733188134	15	EFS_ONLY_OTHERS
dwf_master_engineer	skaven_discoverability_characters	741250944	15	EFS_ONLY_OTHERS
wh2_main_lzd_skink_chief	skaven_discoverability_characters	742201637	15	EFS_ONLY_OTHERS
wh2_main_skv_warlock_engineer	skaven_discoverability_characters	765739195	15	EFS_ONLY_OTHERS
wh2_main_def_sorceress_shadow	skaven_discoverability_characters	766207104	15	EFS_ONLY_OTHERS
dlc05_emp_grey_wizard	skaven_discoverability_characters	7674038	15	EFS_ONLY_OTHERS
wh2_dlc12_lzd_lord_kroak	skaven_discoverability_characters	781435847	15	EFS_ONLY_OTHERS
dlc05_wef_spellsinger_shadow	skaven_discoverability_characters	784464082	15	EFS_ONLY_OTHERS
wh_dlc08_nor_skin_wolf_werekin	skaven_discoverability_characters	792250596	15	EFS_ONLY_OTHERS
dlc05_wef_waystalker	skaven_discoverability_characters	799120033	15	EFS_ONLY_OTHERS
wh2_main_skv_warlock_engineer_ritual	skaven_discoverability_characters	800445524	15	EFS_ONLY_OTHERS
