effect_bonus_value_faction_junctions_tables	0
bonus_value_id	effect	faction
diplomatic_mod	wh2_dlc09_diplomatic_relations_exiles_of_nehek	wh2_dlc09_tmb_exiles_of_nehek
diplomatic_mod	wh2_dlc11_diplomatic_relations_cst_rebels	wh2_dlc11_cst_vampire_coast_rebels
diplomatic_mod	wh2_dlc11_diplomatic_relations_followers_of_nagash	wh2_dlc09_tmb_followers_of_nagash
diplomatic_mod	wh2_dlc11_effect_vlad_faction_diplomacy_bonus	wh2_dlc09_tmb_followers_of_nagash
diplomatic_mod	wh2_dlc11_effect_vlad_faction_diplomacy_bonus	wh2_dlc11_cst_noctilus
diplomatic_mod	wh2_dlc11_effect_vlad_faction_diplomacy_bonus	wh2_dlc11_cst_the_drowned
diplomatic_mod	wh2_dlc11_effect_vlad_faction_diplomacy_bonus	wh2_dlc11_cst_vampire_coast
diplomatic_mod	wh2_main_diplomatic_relations_crusaders	wh2_main_brt_knights_of_origo
diplomatic_mod	wh2_main_diplomatic_relations_crusaders	wh2_main_brt_knights_of_the_flame
diplomatic_mod	wh2_main_diplomatic_relations_crusaders	wh2_main_brt_thegans_crusaders
diplomatic_mod	wh2_main_diplomatic_relations_crusaders	wh2_main_rogue_jerrods_errantry
diplomatic_mod	wh2_main_effect_tyrion_diplomacy_penalty_all_except_teclis_hidden	wh2_main_hef_avelorn
diplomatic_mod	wh2_main_effect_tyrion_diplomacy_penalty_all_except_teclis_hidden	wh2_main_hef_caledor
diplomatic_mod	wh2_main_effect_tyrion_diplomacy_penalty_all_except_teclis_hidden	wh2_main_hef_chrace
diplomatic_mod	wh2_main_effect_tyrion_diplomacy_penalty_all_except_teclis_hidden	wh2_main_hef_citadel_of_dusk
diplomatic_mod	wh2_main_effect_tyrion_diplomacy_penalty_all_except_teclis_hidden	wh2_main_hef_cothique
diplomatic_mod	wh2_main_effect_tyrion_diplomacy_penalty_all_except_teclis_hidden	wh2_main_hef_ellyrion
diplomatic_mod	wh2_main_effect_tyrion_diplomacy_penalty_all_except_teclis_hidden	wh2_main_hef_fortress_of_dawn
diplomatic_mod	wh2_main_effect_tyrion_diplomacy_penalty_all_except_teclis_hidden	wh2_main_hef_saphery
diplomatic_mod	wh2_main_effect_tyrion_diplomacy_penalty_all_except_teclis_hidden	wh2_main_hef_tiranoc
diplomatic_mod	wh2_main_effect_tyrion_diplomacy_penalty_all_except_teclis_hidden	wh2_main_hef_tor_elasor
diplomatic_mod	wh2_main_effect_tyrion_diplomacy_penalty_all_except_teclis_hidden	wh2_main_hef_yvresse
diplomatic_mod	wh2_main_faction_trait_diplomacy_bonus_morathi	wh2_main_def_cult_of_pleasure
diplomatic_mod	wh_dlc07_diplomatic_relations_artois	wh_main_brt_artois
diplomatic_mod	wh_dlc07_diplomatic_relations_bastonne	wh_main_brt_bastonne
diplomatic_mod	wh_dlc07_diplomatic_relations_bordeleaux	wh_main_brt_bordeleaux
diplomatic_mod	wh_dlc07_diplomatic_relations_bretonnia	wh_main_brt_bretonnia
diplomatic_mod	wh_dlc07_diplomatic_relations_carcassonne	wh_main_brt_carcassonne
diplomatic_mod	wh_dlc07_diplomatic_relations_lyonesse	wh_main_brt_lyonesse
diplomatic_mod	wh_dlc07_diplomatic_relations_mousillon	wh_main_vmp_mousillon
diplomatic_mod	wh_dlc07_diplomatic_relations_parravon	wh_main_brt_parravon
