ritual_payload_spawn_armies_tables	2
id	payload	spawnable_force	faction_override	spawn_at_ritual_site
0	wh2_main_ritual_lzd_primeval_glory	wh2_main_ritual_lzd_primeval_glory		false
12	wh2_main_ritual_intervention_2_hef	wh2_main_ritual_intervention_2_hef	wh2_main_hef_high_elves_intervention	true
19	wh2_main_ritual_intervention_3_hef	wh2_main_ritual_intervention_3_hef	wh2_main_hef_high_elves_intervention	true
2	wh2_main_ritual_intervention_1_hef	wh2_main_ritual_intervention_1_hef	wh2_main_hef_high_elves_intervention	true
25	wh2_main_ritual_intervention_1_def	wh2_main_ritual_intervention_1_def	wh2_main_def_dark_elves_intervention	true
34	wh2_main_ritual_intervention_2_def	wh2_main_ritual_intervention_2_def	wh2_main_def_dark_elves_intervention	true
38	wh2_main_ritual_intervention_3_def	wh2_main_ritual_intervention_3_def	wh2_main_def_dark_elves_intervention	true
49	wh2_main_ritual_intervention_1_lzd	wh2_main_ritual_intervention_1_lzd	wh2_main_lzd_lizardmen_intervention	true
59	wh2_main_ritual_intervention_2_lzd	wh2_main_ritual_intervention_2_lzd	wh2_main_lzd_lizardmen_intervention	true
68	wh2_main_ritual_intervention_3_lzd	wh2_main_ritual_intervention_3_lzd	wh2_main_lzd_lizardmen_intervention	true
75	wh2_main_ritual_intervention_1_skv	wh2_main_ritual_intervention_1_skv	wh2_main_skv_skaven_intervention	true
85	wh2_main_ritual_intervention_2_skv	wh2_main_ritual_intervention_2_skv	wh2_main_skv_skaven_intervention	true
88	wh2_main_ritual_intervention_3_skv	wh2_main_ritual_intervention_3_skv	wh2_main_skv_skaven_intervention	true
