mercenary_pool_to_groups_junctions_tables	1
group	initial_unit_count	key	pool	faction_requirement	subculture_requirement	tech_requirement
wh2_dlc10_hef_inf_the_scions_of_mathlann_ror_0	1	1007505507	wh2_main_hef_units_of_renown_pool		wh2_main_sc_hef_high_elves	
wh2_dlc11_cst_inf_zombie_gunnery_mob_2	0	1015320407	wh2_dlc11_cst_vampire_pirate_merc_pool		wh2_dlc11_sc_cst_vampire_coast	
wh2_dlc11_cst_inf_zombie_gunnery_mob_0	2	1051344757	wh2_dlc11_cst_vampire_pirate_province_pool		wh2_dlc11_sc_cst_vampire_coast	
wh_dlc08_nor_art_hellcannon_battery	1	1051646759	wh_dlc08_nor_units_of_renown_pool		wh_main_sc_nor_norsca	
wh2_main_lzd_inf_skink_skirmishers_blessed_0	0	1061905494	wh2_main_lzd_spawnings_pool		wh2_main_sc_lzd_lizardmen	
wh_pro04_nor_mon_war_mammoth_ror_0	1	1064929778	wh_dlc08_nor_units_of_renown_pool		wh_main_sc_nor_norsca	
wh2_dlc10_def_cav_raven_heralds_ror_0	1	1088444349	wh2_main_def_units_of_renown_pool		wh2_main_sc_def_dark_elves	
wh2_dlc11_cst_inf_zombie_deckhands_mob_1	0	1093415614	wh2_dlc11_cst_vampire_pirate_merc_pool		wh2_dlc11_sc_cst_vampire_coast	
wh_dlc08_vmp_mon_terrorgheist_boss	1	1101147276	wh_dlc08_monster_hunt_of_renown_pool		wh_main_sc_vmp_vampire_counts	
wh2_main_lzd_mon_bastiladon_blessed_2	0	1113561308	wh2_main_lzd_spawnings_pool		wh2_main_sc_lzd_lizardmen	
wh_pro04_wef_inf_wildwood_rangers_ror_0	1	1126522916	wh_dlc05_wef_units_of_renown_pool		wh_dlc05_sc_wef_wood_elves	
wh2_dlc11_cst_inf_deck_gunners_ror_0	1	1130235629	wh2_dlc11_cst_units_of_renown_pool		wh2_dlc11_sc_cst_vampire_coast	
wh_dlc08_nor_mon_frost_wyrm_ror_0	1	1133675520	wh_dlc08_nor_units_of_renown_pool		wh_main_sc_nor_norsca	
wh2_dlc11_cst_mon_mournguls_ror_0	1	1139389651	wh2_dlc11_cst_units_of_renown_pool		wh2_dlc11_sc_cst_vampire_coast	
wh2_dlc11_cst_mon_scurvy_dogs	0	1178532862	wh2_dlc11_cst_vampire_pirate_merc_pool		wh2_dlc11_sc_cst_vampire_coast	
wh2_dlc11_cst_mon_bloated_corpse_0	0	1191469716	wh2_dlc11_cst_vampire_pirate_merc_pool		wh2_dlc11_sc_cst_vampire_coast	
wh2_dlc11_cst_inf_zombie_gunnery_mob_1	1	1211300970	wh2_dlc11_cst_vampire_pirate_province_pool		wh2_dlc11_sc_cst_vampire_coast	
wh_pro04_bst_inf_cygor_ror_0	1	1230336565	wh_dlc03_bst_units_of_renown_pool		wh_dlc03_sc_bst_beastmen	
wh2_dlc10_def_cav_slaanesh_harvesters_ror_0	1	1245274706	wh2_main_def_units_of_renown_pool		wh2_main_sc_def_dark_elves	
wh_pro04_nor_inf_chaos_marauders_ror_0	1	1249642224	wh_dlc08_nor_units_of_renown_pool		wh_main_sc_nor_norsca	
wh2_main_lzd_inf_saurus_warriors_blessed_1	0	1320556615	wh2_main_lzd_spawnings_pool		wh2_main_sc_lzd_lizardmen	
wh_pro04_wef_cav_wild_riders_ror_0	1	1321697271	wh_dlc05_wef_units_of_renown_pool		wh_dlc05_sc_wef_wood_elves	
wh2_dlc10_hef_inf_the_storm_riders_ror_0	1	1333500284	wh2_main_hef_units_of_renown_pool		wh2_main_sc_hef_high_elves	
wh2_dlc11_cst_inf_zombie_gunnery_mob_0	0	1351145872	wh2_dlc11_cst_vampire_pirate_merc_pool		wh2_dlc11_sc_cst_vampire_coast	
wh2_dlc11_vmp_inf_handgunners	0	1357935116	wh_dlc04_vmp_units_of_renown_pool		wh_main_sc_vmp_vampire_counts	
wh2_dlc11_cst_inf_deck_gunners_0	0	1382122460	wh2_dlc11_cst_vampire_pirate_merc_pool		wh2_dlc11_sc_cst_vampire_coast	
wh2_dlc11_cst_mon_necrofex_colossus_ror_0	1	1384202378	wh2_dlc11_cst_units_of_renown_pool		wh2_dlc11_sc_cst_vampire_coast	
wh2_dlc09_tmb_inf_skeleton_archers_ror	1	1385209348	wh2_dlc09_tmb_units_of_renown_pool		wh2_dlc09_sc_tmb_tomb_kings	
wh_pro04_brt_cav_mounted_yeomen_ror_0	1	1386930986	wh_dlc07_brt_units_of_renown_pool		wh_main_sc_brt_bretonnia	
wh2_dlc09_tmb_mon_ushabti_ror	1	1417884094	wh2_dlc09_tmb_units_of_renown_pool		wh2_dlc09_sc_tmb_tomb_kings	
wh_pro04_chs_mon_chaos_spawn_ror_0	1	1431864381	wh_dlc01_chs_units_of_renown_pool		wh_main_sc_chs_chaos	
wh2_main_lzd_mon_stegadon_blessed_1	0	1436018117	wh2_main_lzd_spawnings_pool		wh2_main_sc_lzd_lizardmen	
wh_dlc08_bst_mon_cygor_boss	1	1443828628	wh_dlc08_monster_hunt_of_renown_pool		wh_dlc03_sc_bst_beastmen	
wh_pro04_wef_inf_eternal_guard_ror_0	1	1472002028	wh_dlc05_wef_units_of_renown_pool		wh_dlc05_sc_wef_wood_elves	
wh2_dlc09_tmb_mon_necrosphinx_ror	1	1473564650	wh2_dlc09_tmb_units_of_renown_pool		wh2_dlc09_sc_tmb_tomb_kings	
wh_pro04_brt_inf_foot_squires_ror_0	1	1479977262	wh_dlc07_brt_units_of_renown_pool		wh_main_sc_brt_bretonnia	
wh2_dlc11_cst_inf_zombie_gunnery_mob_ror_0	1	1502229524	wh2_dlc11_cst_units_of_renown_pool		wh2_dlc11_sc_cst_vampire_coast	
wh_pro04_nor_mon_fimir_ror_0	1	1521988730	wh_dlc08_nor_units_of_renown_pool		wh_main_sc_nor_norsca	
wh2_dlc11_cst_inf_zombie_deckhands_mob_0	1	1530566948	wh2_dlc11_cst_vampire_pirate_province_pool		wh2_dlc11_sc_cst_vampire_coast	
wh2_dlc09_tmb_inf_nehekhara_warriors_ror	0	1585425514	wh2_dlc09_tmb_units_of_renown_pool		wh2_dlc09_sc_tmb_tomb_kings	
wh2_dlc09_tmb_tomb_guard_ror	1	1587603320	wh2_dlc09_tmb_units_of_renown_pool		wh2_dlc09_sc_tmb_tomb_kings	
wh2_dlc11_cst_art_carronade	0	1590511492	wh2_dlc11_cst_vampire_pirate_merc_pool		wh2_dlc11_sc_cst_vampire_coast	
wh_pro04_nor_mon_warwolves_ror_0	1	1590749554	wh_dlc08_nor_units_of_renown_pool		wh_main_sc_nor_norsca	
wh2_dlc09_tmb_cav_necropolis_knights_ror	0	1643146825	wh2_dlc09_tmb_units_of_renown_pool		wh2_dlc09_sc_tmb_tomb_kings	
wh2_dlc10_def_inf_sisters_of_the_singing_doom_ror_0	1	1670772615	wh2_main_def_units_of_renown_pool		wh2_main_sc_def_dark_elves	
wh2_dlc11_cst_cav_deck_droppers_0	0	1687327933	wh2_dlc11_cst_vampire_pirate_merc_pool		wh2_dlc11_sc_cst_vampire_coast	
wh_pro04_bst_inf_centigors_ror_0	1	170487665	wh_dlc03_bst_units_of_renown_pool		wh_dlc03_sc_bst_beastmen	
wh_pro04_chs_art_hellcannon_ror_0	1	1708627043	wh_dlc01_chs_units_of_renown_pool		wh_main_sc_chs_chaos	
wh_dlc08_wef_forest_dragon_boss	1	173512147	wh_dlc08_monster_hunt_of_renown_pool		wh_dlc05_sc_wef_wood_elves	
wh2_dlc11_cst_inf_zombie_deckhands_mob_0	0	1757247573	wh2_dlc11_cst_vampire_pirate_merc_pool		wh2_dlc11_sc_cst_vampire_coast	
wh_pro04_chs_mon_dragon_ogre_ror_0	1	1764055691	wh_dlc01_chs_units_of_renown_pool		wh_main_sc_chs_chaos	
wh2_dlc11_cst_mon_fell_bats	0	1773226545	wh2_dlc11_cst_vampire_pirate_merc_pool		wh2_dlc11_sc_cst_vampire_coast	
wh2_dlc09_tmb_inf_skeleton_spearmen_ror	1	1780307192	wh2_dlc09_tmb_units_of_renown_pool		wh2_dlc09_sc_tmb_tomb_kings	
wh2_dlc09_tmb_art_casket_of_souls	0	1783559263	wh2_dlc09_tmb_units_of_renown_pool		wh2_dlc09_sc_tmb_tomb_kings	
wh2_main_lzd_cav_horned_ones_blessed_0	0	1800351829	wh2_main_lzd_spawnings_pool		wh2_main_sc_lzd_lizardmen	
wh_pro04_brt_cav_knights_of_the_realm_ror_0	1	1850034019	wh_dlc07_brt_units_of_renown_pool		wh_main_sc_brt_bretonnia	
wh2_dlc10_hef_inf_the_grey_ror_0	1	1850641657	wh2_main_hef_units_of_renown_pool		wh2_main_sc_hef_high_elves	
wh_pro04_chs_inf_forsaken_ror_0	1	1866687428	wh_dlc01_chs_units_of_renown_pool		wh_main_sc_chs_chaos	
wh_pro04_brt_cav_knights_errant_ror_0	1	1896433163	wh_dlc07_brt_units_of_renown_pool		wh_main_sc_brt_bretonnia	
wh2_dlc11_cst_cav_deck_droppers_2	0	1898152231	wh2_dlc11_cst_vampire_pirate_merc_pool		wh2_dlc11_sc_cst_vampire_coast	
wh2_dlc11_cst_inf_depth_guard_0	0	1935553946	wh2_dlc11_cst_vampire_pirate_merc_pool		wh2_dlc11_sc_cst_vampire_coast	
wh2_dlc11_cst_mon_bloated_corpse_0	1	1955730278	wh2_dlc11_cst_vampire_pirate_province_pool		wh2_dlc11_sc_cst_vampire_coast	
wh2_dlc10_hef_inf_everqueens_court_guards_ror_0	1	196672817	wh2_main_hef_units_of_renown_pool		wh2_main_sc_hef_high_elves	
wh2_dlc11_cst_art_queen_bess	0	1979844943	wh2_dlc11_cst_units_of_renown_pool		wh2_dlc11_sc_cst_vampire_coast	
wh2_dlc11_cst_cav_deck_droppers_1	0	1998185025	wh2_dlc11_cst_vampire_pirate_merc_pool		wh2_dlc11_sc_cst_vampire_coast	
wh_pro04_chs_cav_chaos_knights_ror_0	1	201369395	wh_dlc01_chs_units_of_renown_pool		wh_main_sc_chs_chaos	
wh2_dlc10_hef_cav_the_heralds_of_the_wind_ror_0	1	2026712319	wh2_main_hef_units_of_renown_pool		wh2_main_sc_hef_high_elves	
wh2_dlc11_cst_art_mortar	0	2033709605	wh2_dlc11_cst_vampire_pirate_merc_pool		wh2_dlc11_sc_cst_vampire_coast	
wh2_dlc10_def_mon_chill_of_sontar_ror_0	1	2038933578	wh2_main_def_units_of_renown_pool		wh2_main_sc_def_dark_elves	
wh_dlc08_chs_mon_dragon_ogre_shaggoth_boss	1	2043462036	wh_dlc08_monster_hunt_of_renown_pool		wh_main_sc_chs_chaos	
wh2_dlc11_cst_inf_depth_guard_1	0	2060749689	wh2_dlc11_cst_vampire_pirate_merc_pool		wh2_dlc11_sc_cst_vampire_coast	
wh2_dlc11_cst_inf_zombie_deckhands_mob_ror_0	1	2098935538	wh2_dlc11_cst_units_of_renown_pool		wh2_dlc11_sc_cst_vampire_coast	
wh2_dlc09_tmb_mon_sepulchral_stalkers_ror	1	2099420963	wh2_dlc09_tmb_units_of_renown_pool		wh2_dlc09_sc_tmb_tomb_kings	
wh_pro04_nor_inf_marauder_berserkers_ror_0	1	2101125634	wh_dlc08_nor_units_of_renown_pool		wh_main_sc_nor_norsca	
wh_pro04_bst_inf_ungor_spearmen_ror_0	1	2113216521	wh_dlc03_bst_units_of_renown_pool		wh_dlc03_sc_bst_beastmen	
wh2_main_lzd_mon_kroxigors_blessed	0	2114839832	wh2_main_lzd_spawnings_pool		wh2_main_sc_lzd_lizardmen	
wh2_main_lzd_inf_temple_guards_blessed	0	2117845909	wh2_main_lzd_spawnings_pool		wh2_main_sc_lzd_lizardmen	
wh_main_vmp_inf_skeleton_warriors_0	1	2617	wh_main_vmp_vampire_merc_pool		wh_main_sc_vmp_vampire_counts	
wh_main_vmp_inf_crypt_ghouls	0	2674	wh_main_vmp_vampire_merc_pool		wh_main_sc_vmp_vampire_counts	
wh_main_vmp_inf_skeleton_warriors_1	1	2691	wh_main_vmp_vampire_merc_pool		wh_main_sc_vmp_vampire_counts	
wh_main_vmp_inf_zombie	2	2696	wh_main_vmp_vampire_merc_pool		wh_main_sc_vmp_vampire_counts	
wh_main_vmp_mon_dire_wolves	0	2698	wh_main_vmp_vampire_merc_pool		wh_main_sc_vmp_vampire_counts	
wh_pro04_brt_inf_battle_pilgrims_ror_0	1	282091490	wh_dlc07_brt_units_of_renown_pool		wh_main_sc_brt_bretonnia	
wh2_main_lzd_cav_cold_one_spearriders_blessed_0	0	28946108	wh2_main_lzd_spawnings_pool		wh2_main_sc_lzd_lizardmen	
wh_main_vmp_cav_black_knights_0	0	2949	wh_main_vmp_vampire_merc_pool		wh_main_sc_vmp_vampire_counts	
wh_main_vmp_cav_black_knights_3	0	2959	wh_main_vmp_vampire_merc_pool		wh_main_sc_vmp_vampire_counts	
wh_main_vmp_cav_hexwraiths	0	2965	wh_main_vmp_vampire_merc_pool		wh_main_sc_vmp_vampire_counts	
wh_main_vmp_inf_cairn_wraiths	0	2971	wh_main_vmp_vampire_merc_pool		wh_main_sc_vmp_vampire_counts	
