character_skills_to_quest_ancillaries_tables	1
ancillary	skill	use_quest_for_prefix
wh2_dlc09_anc_enchanted_item_lucky_skullhelm	wh2_dlc09_skill_skv_lord_unique_tretch_craventail_lucky_skullhelm	true
wh2_dlc09_anc_arcane_item_staff_of_nagash	wh2_dlc09_skill_tmb_lord_unique_arkhan_staff_of_nagash	true
wh2_dlc09_anc_weapon_the_tomb_blade_of_arkhan	wh2_dlc09_skill_tmb_lord_unique_arkhan_the_tomb_blade_of_arkhan	true
wh2_dlc09_anc_weapon_the_venom_staff	wh2_dlc09_skill_tmb_lord_unique_khalida_the_venom_staff	true
wh2_dlc09_anc_arcane_item_the_liche_staff	wh2_dlc09_skill_tmb_lord_unique_khatep_the_liche_staff	true
wh2_dlc09_anc_weapon_the_blessed_blade_of_ptra	wh2_dlc09_skill_tmb_lord_unique_settra_the_blessed_blade_of_ptra	true
wh2_dlc09_anc_enchanted_item_the_crown_of_nehekhara	wh2_dlc09_skill_tmb_lord_unique_settra_the_crown_of_nehekhara	true
wh2_dlc10_anc_weapon_deathsword_and_the_cursed_blade	wh2_dlc10_skill_def_crone_quest_1	true
wh2_dlc10_anc_enchanted_item_star_of_avelorn	wh2_dlc10_skill_hef_alarielle_quest_1	true
wh2_dlc10_anc_weapon_moonbow	wh2_dlc10_skill_hef_alith_anar_quest_1	true
wh2_dlc11_anc_weapon_krakens_bane	wh2_dlc11_skill_cst_aranessa_quest_1	true
wh2_dlc11_anc_arcane_item_the_bordeleaux_flabellum	wh2_dlc11_skill_cst_lord_unique_bordeleaux_flabellum	true
wh2_dlc11_anc_enchanted_item_captain_roths_moondial	wh2_dlc11_skill_cst_lord_unique_captain_roths_moondial	true
wh2_main_anc_armour_helm_of_the_kraken	wh2_dlc11_skill_cst_lord_unique_helm_of_the_kraken	true
wh2_dlc11_anc_weapon_krakens_bane	wh2_dlc11_skill_cst_lord_unique_krakens_bane	true
wh2_dlc11_anc_enchanted_item_slann_gold	wh2_dlc11_skill_cst_lord_unique_slann_gold	true
wh2_dlc11_anc_enchanted_item_slann_gold	wh2_dlc11_skill_node_cst_harkon_quest_0	true
