battle_set_piece_armies_tables	7
ai_army_tactic	approach_angle	army_emblem	army_model	army_name	deployment_zone_id	faction	is_allied_to_player	is_reinforcement_army	is_frontend_player_army	use_default_deployment_zones	is_hidden_army	should_merge_army
	250	skaven_test_emblem_army_01	5625	wh2_dlc09_qb_tmb_arkhan_staff_of_nagash_attacker_slaves_1	0	wh2_main_skv_skaven_qb1	false	false	false	true	false	false
	250	skaven_test_emblem_army_01	5625	wh2_dlc09_qb_tmb_arkhan_staff_of_nagash_attacker_slaves_2	0	wh2_main_skv_skaven_qb2	false	true	false	true	false	false
	200	skaven_test_emblem_army_01	5625	wh2_dlc09_qb_tmb_arkhan_staff_of_nagash_attacker_slaves_3	0	wh2_main_skv_skaven_qb3	false	true	false	true	false	false
	130	skaven_test_emblem_army_01	5625	wh2_dlc09_qb_tmb_arkhan_staff_of_nagash_attacker_slaves_4	0	wh2_main_skv_skaven_qb1	false	true	false	true	false	false
	0	tomb_kings_test_emblem_army_01	128243148	wh2_dlc09_qb_tmb_arkhan_staff_of_nagash_player_1	0	wh2_dlc09_tmb_followers_of_nagash	false	false	true	false	false	false
	0	lizardmen_test_emblem_army_01	853860698	wh2_dlc09_qb_tmb_arkhan_the_tomb_blade_of_arkhan_3_mortuary_of_tzulaqua_attacker_01	0	wh2_main_lzd_lizardmen_qb1	false	false	false	false	false	false
	270	lizardmen_test_emblem_army_01	5584	wh2_dlc09_qb_tmb_arkhan_the_tomb_blade_of_arkhan_3_mortuary_of_tzulaqua_attacker_02	0	wh2_main_lzd_lizardmen_qb1	false	true	false	false	true	false
	180	lizardmen_test_emblem_army_01	1264694346	wh2_dlc09_qb_tmb_arkhan_the_tomb_blade_of_arkhan_3_mortuary_of_tzulaqua_attacker_03	0	wh2_main_lzd_lizardmen_qb1	false	true	false	false	true	false
	0	tomb_kings_test_emblem_army_01	128243148	wh2_dlc09_qb_tmb_arkhan_the_tomb_blade_of_arkhan_3_mortuary_of_tzulaqua_defender_01	0	wh2_dlc09_tmb_followers_of_nagash	false	false	true	false	false	false
	340	empire_test_emblem_army_01	128243148	wh2_dlc09_qb_tmb_final_battle_arkhan	2	wh2_dlc09_tmb_tombking_qb_followers_of_nagash	false	true	false	true	false	false
	0	empire_test_emblem_army_01	1187086529	wh2_dlc09_qb_tmb_final_battle_arkhan_minions_1	0	wh2_dlc09_tmb_tombking_qb1	false	false	false	true	false	false
	0	empire_test_emblem_army_01	1187086529	wh2_dlc09_qb_tmb_final_battle_arkhan_minions_2	1	wh2_dlc09_tmb_tombking_qb2	false	false	false	true	false	false
	90	empire_test_emblem_army_01	3515	wh2_dlc09_qb_tmb_final_battle_arkhan_minions_3	0	wh_main_vmp_vampire_counts_qb1	false	true	false	true	true	false
	270	empire_test_emblem_army_01	3515	wh2_dlc09_qb_tmb_final_battle_arkhan_minions_4	0	wh_main_vmp_vampire_counts_qb2	false	true	false	true	true	false
FALSE	0	empire_test_emblem_army_01	128243148	wh2_dlc09_qb_tmb_final_battle_fon_arkhan_player	0	wh2_dlc09_tmb_followers_of_nagash	false	false	true	true	false	false
	0	empire_test_emblem_army_01	128243148	wh2_dlc09_qb_tmb_final_battle_fon_arkhan_reinforcement_1	1	wh2_dlc09_tmb_followers_of_nagash	true	true	false	true	false	true
	0	empire_test_emblem_army_01	128243148	wh2_dlc09_qb_tmb_final_battle_fon_arkhan_reinforcement_2	2	wh2_dlc09_tmb_followers_of_nagash	true	true	false	true	false	true
	90	empire_test_emblem_army_01	942038784	wh2_dlc09_qb_tmb_final_battle_fon_khalida_1	0	wh2_dlc09_tmb_tombking_qb_lybaras	false	true	false	true	false	false
	270	empire_test_emblem_army_01	942038784	wh2_dlc09_qb_tmb_final_battle_fon_khalida_2	0	wh2_dlc09_tmb_tombking_qb1	false	true	false	true	false	false
