battle_set_piece_armies_junctions_tables	0
army_name	battle_name
wh2_dlc09_qb_tmb_tretch_craventail_lucky_skullhelm_stage_5_mushroom_cave_defender_1	wh2_dlc09_qb_skv_tretch_craventail_lucky_skullhelm_stage_5
wh2_dlc09_qb_tmb_tretch_craventail_lucky_skullhelm_stage_5_mushroom_cave_defender_2	wh2_dlc09_qb_skv_tretch_craventail_lucky_skullhelm_stage_5
wh2_dlc09_qb_tmb_tretch_craventail_lucky_skullhelm_stage_5_mushroom_cave_defender_3	wh2_dlc09_qb_skv_tretch_craventail_lucky_skullhelm_stage_5
wh2_dlc09_qb_tmb_tretch_craventail_lucky_skullhelm_stage_5_mushroom_cave_defender_4	wh2_dlc09_qb_skv_tretch_craventail_lucky_skullhelm_stage_5
wh2_dlc09_qb_tmb_tretch_craventail_lucky_skullhelm_stage_5_mushroom_cave_player	wh2_dlc09_qb_skv_tretch_craventail_lucky_skullhelm_stage_5
wh2_dlc09_qb_tmb_arkhan_staff_of_nagash_attacker_slaves_1	wh2_dlc09_qb_tmb_arkhan_the_staff_of_nagash_stage_5_staff_of_nagash
wh2_dlc09_qb_tmb_arkhan_staff_of_nagash_attacker_slaves_2	wh2_dlc09_qb_tmb_arkhan_the_staff_of_nagash_stage_5_staff_of_nagash
wh2_dlc09_qb_tmb_arkhan_staff_of_nagash_attacker_slaves_3	wh2_dlc09_qb_tmb_arkhan_the_staff_of_nagash_stage_5_staff_of_nagash
wh2_dlc09_qb_tmb_arkhan_staff_of_nagash_attacker_slaves_4	wh2_dlc09_qb_tmb_arkhan_the_staff_of_nagash_stage_5_staff_of_nagash
wh2_dlc09_qb_tmb_arkhan_staff_of_nagash_player_1	wh2_dlc09_qb_tmb_arkhan_the_staff_of_nagash_stage_5_staff_of_nagash
wh2_dlc09_qb_tmb_arkhan_the_tomb_blade_of_arkhan_3_mortuary_of_tzulaqua_attacker_01	wh2_dlc09_qb_tmb_arkhan_the_tomb_blade_of_arkhan_stage_4_mortuary_of_tzulaqua
