unit_set_unit_ability_junctions_tables	0
key	unit_ability	unit_set
wh2_dlc09_effect_ability_deathblow_for_skeleton_units	wh_main_unit_passive_deathblow	wh2_dlc09_tmb_all_skeleton
wh2_dlc09_effect_ability_frenzy_to_ushabti_units	wh_main_unit_passive_frenzy	wh2_dlc09_tmb_ushabti
wh2_dlc09_effect_ability_hawkish_precision_to_archer_units	wh_dlc05_hero_passive_hawkish_precision	wh2_dlc09_tmb_all_archer_units
wh2_dlc10_effect_ability_hawkish_precision_to_archer_units	wh_dlc05_hero_passive_hawkish_precision	wh2_dlc10_hef_all_ranged
wh2_dlc11_cst_cha_vampire_fleet_captain_garrison_1	wh_main_spell_vampires_invocation_of_nehek	wh2_dlc11_cst_cha_vampire_fleet_captain_0
wh2_dlc11_cst_cha_vampire_fleet_captain_garrison_2	wh_main_spell_vampires_vanhels_danse_macabre	wh2_dlc11_cst_cha_vampire_fleet_captain_0
wh2_dlc11_effect_ability_the_ravenous_dead_for_zombie_units	wh2_dlc11_unit_passive_the_ravenous_dead	vmp_zombies
wh2_main_def_cha_sorceress_dark_0_garrison_1	wh2_main_spell_dark_magic_chillwind	wh2_main_def_cha_sorceress_dark_0
wh2_main_def_cha_sorceress_dark_0_garrison_2	wh2_main_spell_dark_magic_power_of_darkness	wh2_main_def_cha_sorceress_dark_0
wh2_main_hef_cha_mage_high_0_garrison_1	wh2_main_spell_high_magic_apotheosis	wh2_main_hef_cha_mage_high_0
wh2_main_hef_cha_mage_high_0_garrison_2	wh2_main_spell_high_magic_hand_of_glory	wh2_main_hef_cha_mage_high_0
wh2_main_lzd_cha_skink_priest_beasts_0_garrison_1	wh_dlc03_spell_beasts_wyssans_wildform	wh2_main_lzd_cha_skink_priest_beasts_0
wh2_main_lzd_cha_skink_priest_beasts_0_garrison_2	wh_dlc03_spell_beasts_flock_of_doom	wh2_main_lzd_cha_skink_priest_beasts_0
wh2_main_skv_cha_plague_priest_0_garrison_1	wh2_main_spell_plague_pestilent_breath	wh2_main_skv_cha_plague_priest_0
wh2_main_skv_cha_plague_priest_0_garrison_2	wh2_main_spell_plague_bless_with_filth	wh2_main_skv_cha_plague_priest_0
wh2_main_skv_cha_warlock_engineer_garrison_1	wh2_main_spell_ruin_warp_lightning	wh2_main_skv_cha_warlock_engineer
wh_dlc05_wef_cha_spellsinger_life_0_garrison_1	wh_dlc05_spell_life_awakening_of_the_wood	wh_dlc05_wef_cha_spellsinger_life_0
wh_dlc05_wef_cha_spellsinger_life_0_garrison_2	wh_dlc05_spell_life_earth_blood	wh_dlc05_wef_cha_spellsinger_life_0
wh_main_brt_cha_damsel_0_garrison_1	wh_main_spell_heavens_harmonic_convergence	wh_main_brt_cha_damsel_0
wh_main_brt_cha_damsel_0_garrison_2	wh_main_spell_heavens_wind_blast	wh_main_brt_cha_damsel_0
wh_main_emp_cha_wizard_fire_0_garrison_1	wh_main_spell_fire_fireball	wh_main_emp_cha_wizard_fire_0
wh_main_emp_cha_wizard_fire_0_garrison_2	wh_main_spell_fire_cascading_fire_cloak	wh_main_emp_cha_wizard_fire_0
wh_main_grn_cha_orc_shaman_0_garrison_1	wh_main_spell_big_waaagh_gaze_of_mork	wh_main_grn_cha_orc_shaman_0
wh_main_grn_cha_orc_shaman_0_garrison_2	wh_main_spell_big_waaagh_brain_bursta	wh_main_grn_cha_orc_shaman_0
wh_main_vmp_cha_necromancer_0_garrison_1	wh_main_spell_vampires_invocation_of_nehek	wh_main_vmp_cha_necromancer_0
wh_main_vmp_cha_necromancer_0_garrison_2	wh_main_spell_vampires_vanhels_danse_macabre	wh_main_vmp_cha_necromancer_0
wh_main_vmp_cha_vampire_0_garrison_1	wh_main_spell_death_spirit_leech	wh_main_vmp_cha_vampire_0
