cdir_military_generator_template_priorities_tables	1
config_key	priority	template_key	leader_only
WH_Beastmen	5	WH_Beastmen_land	false
WH_Beastmen	1	WH_Beastmen_land_2	false
WH_Beastmen	1	WH_default_naval	false
WH_Beastmen_Brayherd	1	WH_Beastmen_Brayherd_land	false
WH_Beastmen_Brayherd	1	WH_default_naval	false
WH_Beastmen_Khazrak	1	WH_Beastmen_land	false
WH_Beastmen_Khazrak	1	WH_Beastmen_land_2	false
WH_Beastmen_Khazrak	100	WH_Beastmen_land_leader_khazrak	true
WH_Beastmen_Khazrak	1	WH_default_naval	false
WH_Beastmen_Morghur	5	WH_Beastmen_land	false
WH_Beastmen_Morghur	1	WH_Beastmen_land_2	false
WH_Beastmen_Morghur	100	WH_Beastmen_land_leader_morghur	true
WH_Beastmen_Morghur	1	WH_default_naval	false
WH_Bretonnia	5	WH_Bretonnia_land	false
WH_Bretonnia	5	WH_Bretonnia_land_cav	false
WH_Bretonnia	1	WH_Bretonnia_land_flying	false
WH_Bretonnia	1	WH_default_naval	false
WH_Bretonnia_Alberic	1	WH_Bretonnia_land	false
WH_Bretonnia_Alberic	1	WH_Bretonnia_land_cav	false
WH_Bretonnia_Alberic	1	WH_Bretonnia_land_flying	false
WH_Bretonnia_Alberic	100	WH_Bretonnia_land_leader_alberic	true
WH_Bretonnia_Alberic	1	WH_default_naval	false
WH_Bretonnia_Fay	5	WH_Bretonnia_land	false
WH_Bretonnia_Fay	5	WH_Bretonnia_land_cav	false
WH_Bretonnia_Fay	1	WH_Bretonnia_land_flying	false
WH_Bretonnia_Fay	100	WH_Bretonnia_land_leader_fayenchantress	true
WH_Bretonnia_Fay	1	WH_default_naval	false
WH_Bretonnia_Main	5	WH_Bretonnia_land	false
WH_Bretonnia_Main	5	WH_Bretonnia_land_cav	false
WH_Bretonnia_Main	1	WH_Bretonnia_land_flying	false
WH_Bretonnia_Main	100	WH_Bretonnia_land_leader_louen	true
WH_Bretonnia_Main	1	WH_default_naval	false
WH_Chaos	5	WH_Chaos_land	false
WH_Chaos	1	WH_Chaos_land_2	false
WH_Chaos	1	WH_default_naval	false
WH_Chaos_Main	5	WH_Chaos_land	false
WH_Chaos_Main	1	WH_Chaos_land_2	false
WH_Chaos_Main	100	WH_Chaos_land_leader_archaon	true
WH_Chaos_Main	1	WH_default_naval	false
WH_Dark_Elves	5	WH_Dark_Elves_land	false
WH_Dark_Elves	5	WH_Dark_Elves_land_2	false
WH_Dark_Elves	1	WH_Dark_Elves_land_rare	false
WH_Dark_Elves	1	WH_default_naval	false
WH_Dark_Elves_Malekith	5	WH_Dark_Elves_land	false
WH_Dark_Elves_Malekith	5	WH_Dark_Elves_land_2	false
WH_Dark_Elves_Malekith	100	WH_Dark_Elves_land_leader_malekith	true
