mercenary_unit_groups_tables	1
chance_to_replenish	key	max_count	unit_record	use_partial_replenishment	max_replenish_per_turn
0	wh2_dlc09_tmb_art_casket_of_souls	1	wh2_dlc09_tmb_art_casket_of_souls_0	false	0
100	wh2_dlc09_tmb_cav_necropolis_knights_ror	1	wh2_dlc09_tmb_cav_necropolis_knights_ror	true	0.1
100	wh2_dlc09_tmb_cav_skeleton_horsemen_ror	1	wh2_dlc09_tmb_cav_nehekhara_horsemen_ror	true	0.1
100	wh2_dlc09_tmb_inf_nehekhara_warriors_ror	1	wh2_dlc09_tmb_inf_nehekhara_warriors_ror	true	0.1
100	wh2_dlc09_tmb_inf_skeleton_archers_ror	1	wh2_dlc09_tmb_inf_skeleton_archers_ror	true	0.1
100	wh2_dlc09_tmb_inf_skeleton_spearmen_ror	1	wh2_dlc09_tmb_inf_skeleton_spearmen_ror	true	0.1
100	wh2_dlc09_tmb_mon_carrion_ror	1	wh2_dlc09_tmb_mon_carrion_ror	true	0.1
100	wh2_dlc09_tmb_mon_necrosphinx_ror	1	wh2_dlc09_tmb_mon_necrosphinx_ror	true	0.1
100	wh2_dlc09_tmb_mon_sepulchral_stalkers_ror	1	wh2_dlc09_tmb_mon_sepulchral_stalkers_ror	true	0.1
100	wh2_dlc09_tmb_mon_ushabti_ror	1	wh2_dlc09_tmb_mon_ushabti_ror	true	0.1
100	wh2_dlc09_tmb_tomb_guard_ror	1	wh2_dlc09_tmb_inf_tomb_guard_ror	true	0.1
100	wh2_dlc10_def_cav_knights_of_the_ebon_claw_ror_0	1	wh2_dlc10_def_cav_knights_of_the_ebon_claw_ror_0	true	0.1
100	wh2_dlc10_def_cav_raven_heralds_ror_0	1	wh2_dlc10_def_cav_raven_heralds_ror_0	true	0.1
100	wh2_dlc10_def_cav_slaanesh_harvesters_ror_0	1	wh2_dlc10_def_cav_slaanesh_harvesters_ror_0	true	0.1
100	wh2_dlc10_def_inf_blades_of_the_blood_queen_ror_0	1	wh2_dlc10_def_inf_blades_of_the_blood_queen_ror_0	true	0.1
100	wh2_dlc10_def_inf_sisters_of_the_singing_doom_ror_0	1	wh2_dlc10_def_inf_sisters_of_the_singing_doom_ror_0	true	0.1
100	wh2_dlc10_def_inf_the_bolt_fiends_ror_0	1	wh2_dlc10_def_inf_the_bolt_fiends_ror_0	true	0.1
100	wh2_dlc10_def_inf_the_hellebronai_ror_0	1	wh2_dlc10_def_inf_the_hellebronai_ror_0	true	0.1
100	wh2_dlc10_def_mon_chill_of_sontar_ror_0	1	wh2_dlc10_def_mon_chill_of_sontar_ror_0	true	0.1
100	wh2_dlc10_hef_cav_the_fireborn_ror_0	1	wh2_dlc10_hef_cav_the_fireborn_ror_0	true	0.1
100	wh2_dlc10_hef_cav_the_heralds_of_the_wind_ror_0	1	wh2_dlc10_hef_cav_the_heralds_of_the_wind_ror_0	true	0.1
100	wh2_dlc10_hef_inf_everqueens_court_guards_ror_0	1	wh2_dlc10_hef_inf_everqueens_court_guards_ror_0	true	0.1
100	wh2_dlc10_hef_inf_the_grey_ror_0	1	wh2_dlc10_hef_inf_the_grey_ror_0	true	0.1
100	wh2_dlc10_hef_inf_the_scions_of_mathlann_ror_0	1	wh2_dlc10_hef_inf_the_scions_of_mathlann_ror_0	true	0.1
100	wh2_dlc10_hef_inf_the_silverpelts_ror_0	1	wh2_dlc10_hef_inf_the_silverpelts_ror_0	true	0.1
100	wh2_dlc10_hef_inf_the_storm_riders_ror_0	1	wh2_dlc10_hef_inf_the_storm_riders_ror_0	true	0.1
100	wh2_dlc10_hef_mon_keepers_of_the_flame_ror_0	1	wh2_dlc10_hef_inf_keepers_of_the_flame_ror_0	true	0.1
100	wh2_dlc10_lzd_mon_carnosaur_boss	1	wh2_dlc10_lzd_mon_carnosaur_boss	true	0.1
100	wh2_dlc10_nor_mon_phoenix_flamespyre_boss	0	wh2_dlc10_nor_mon_phoenix_flamespyre_boss	true	0.1
0	wh2_dlc11_cst_art_carronade	0	wh2_dlc11_cst_art_carronade	false	1
