audio_battle_environment_reverb_junctions_tables	0
environment	reverb	type
beastmen	forest	forest
beastmen	plains	plains
beastmen	urban	urban
cave	underground	plains
chaos	forest	forest
chaos	plains	plains
chaos	urban	urban
dark_elves_beach	forest	forest
dark_elves_beach	plains	plains
dark_elves_beach	urban	urban
dark_elves_cold	forest	forest
dark_elves_cold	plains	plains
dark_elves_cold	urban	urban
dark_elves_desert	forest	forest
dark_elves_desert	plains	plains
dark_elves_desert	urban	urban
dark_elves_hills	forest	forest
dark_elves_hills	plains	plains
dark_elves_hills	urban	urban
dark_elves_marsh	forest	forest
dark_elves_marsh	plains	plains
dark_elves_marsh	urban	urban
dark_elves_qb_altar_of_darkness	forest	forest
dark_elves_qb_altar_of_darkness	plains	plains
dark_elves_qb_altar_of_darkness	urban	urban
dark_elves_volcanic	forest	forest
dark_elves_volcanic	plains	plains
dark_elves_volcanic	urban	urban
dlc10_dark_elves_qb_shrine_of_khaine	forest	forest
dlc10_dark_elves_qb_shrine_of_khaine	plains	plains
dlc10_dark_elves_qb_shrine_of_khaine	urban	urban
dlc10_dark_elves_qb_the_moonbow	forest	forest
dlc10_dark_elves_qb_the_moonbow	plains	plains
dlc10_dark_elves_qb_the_moonbow	urban	urban
dlc10_high_elves_qb_shadow_realm	forest	forest
dlc10_high_elves_qb_shadow_realm	plains	plains
dlc10_high_elves_qb_shadow_realm	urban	urban
dlc10_high_elves_qb_star_of_avelorn	forest	forest
dlc10_high_elves_qb_star_of_avelorn	plains	plains
dlc10_high_elves_qb_star_of_avelorn	urban	urban
dlc11_coast_desert_island	forest	forest
dlc11_coast_desert_island	plains	plains
dlc11_coast_desert_island	urban	urban
dlc11_coast_final_battle	forest	forest
dlc11_coast_final_battle	plains	plains
dlc11_coast_final_battle	urban	urban
dlc11_coast_galleons_graveyard	forest	forest
dlc11_coast_galleons_graveyard	plains	plains
dlc11_coast_galleons_graveyard	urban	urban
dlc11_coast_rocky_island	forest	forest
dlc11_coast_rocky_island	plains	plains
dlc11_coast_rocky_island	urban	urban
dlc11_coast_snowy_island	forest	forest
dlc11_coast_snowy_island	plains	plains
dlc11_coast_snowy_island	urban	urban
dwarf	forest	forest
dwarf	plains	plains
dwarf	urban	urban
empire	forest	forest
empire	plains	plains
empire	urban	urban
greenskin	forest	forest
greenskin	plains	plains
greenskin	urban	urban
high_elves_beach	forest	forest
high_elves_beach	plains	plains
high_elves_beach	urban	urban
high_elves_hills	forest	forest
high_elves_hills	plains	plains
high_elves_hills	urban	urban
high_elves_mwnl_steps_of_isha_01	forest	forest
high_elves_mwnl_steps_of_isha_01	plains	plains
high_elves_mwnl_steps_of_isha_01	urban	urban
high_elves_mwnl_steps_of_isha_02	forest	forest
high_elves_mwnl_steps_of_isha_02	plains	plains
high_elves_mwnl_steps_of_isha_02	urban	urban
high_elves_mwnl_steps_of_isha_03	forest	forest
high_elves_mwnl_steps_of_isha_03	plains	plains
high_elves_mwnl_steps_of_isha_03	urban	urban
high_elves_mwnl_steps_of_isha_04	forest	forest
high_elves_mwnl_steps_of_isha_04	plains	plains
high_elves_mwnl_steps_of_isha_04	urban	urban
high_elves_qb_arnheim	forest	forest
high_elves_qb_arnheim	plains	plains
high_elves_qb_arnheim	urban	urban
high_elves_qb_tower_of_hoeth	forest	forest
high_elves_qb_tower_of_hoeth	plains	plains
high_elves_qb_tower_of_hoeth	urban	urban
lizardmen_jungle	forest	forest
lizardmen_jungle	plains	plains
lizardmen_jungle	urban	urban
lizardmen_mountain	forest	forest
lizardmen_mountain	plains	plains
lizardmen_mountain	urban	urban
lizardmen_qb_crimson_skull	forest	forest
lizardmen_qb_crimson_skull	plains	plains
lizardmen_qb_crimson_skull	urban	urban
lizardmen_qb_fallen_gates	forest	forest
lizardmen_qb_fallen_gates	plains	plains
lizardmen_qb_fallen_gates	urban	urban
lizardmen_qb_mosquito_swamp	forest	forest
lizardmen_qb_mosquito_swamp	plains	plains
lizardmen_qb_mosquito_swamp	urban	urban
lizardmen_swamp	forest	forest
lizardmen_swamp	plains	plains
lizardmen_swamp	urban	urban
nordic	forest	forest
nordic	plains	plains
nordic	urban	urban
skaven_cavern	forest	forest
skaven_cavern	underground	plains
skaven_cavern	urban	urban
skaven_desert	forest	forest
skaven_desert	plains	plains
skaven_desert	urban	urban
skaven_marsh	forest	forest
skaven_marsh	plains	plains
skaven_marsh	urban	urban
tomb_kings_cavern	forest	forest
tomb_kings_cavern	underground	plains
tomb_kings_cavern	urban	urban
tomb_kings_desert	forest	forest
tomb_kings_desert	plains	plains
tomb_kings_desert	urban	urban
tomb_kings_qb_final_battle	forest	forest
tomb_kings_qb_final_battle	plains	plains
tomb_kings_qb_final_battle	urban	urban
tomb_kings_qb_staff_of_nagash	forest	forest
tomb_kings_qb_staff_of_nagash	plains	plains
tomb_kings_qb_staff_of_nagash	urban	urban
vampire	forest	forest
vampire	plains	plains
vampire	urban	urban
wood_elves_autumn	forest	forest
wood_elves_autumn	plains	plains
wood_elves_autumn	urban	urban
wood_elves_generic	forest	forest
wood_elves_generic	plains	plains
wood_elves_generic	urban	urban
wood_elves_night	forest	forest
wood_elves_night	plains	plains
wood_elves_night	urban	urban
wood_elves_winter	forest	forest
wood_elves_winter	plains	plains
wood_elves_winter	urban	urban
