campaign_map_attrition_faction_immunities_tables	0
attrition	faction
athel_loren	wh2_dlc10_def_blood_voyage
athel_loren	wh_dlc05_wef_argwylon
athel_loren	wh_dlc05_wef_torgovann
athel_loren	wh_dlc05_wef_wood_elves
athel_loren	wh_dlc05_wef_wood_elves_qb1
athel_loren	wh_dlc05_wef_wood_elves_qb2
athel_loren	wh_dlc05_wef_wood_elves_qb3
athel_loren	wh_dlc05_wef_wood_elves_rebels
athel_loren	wh_dlc05_wef_wydrioth
besieged	wh2_dlc10_def_blood_voyage
besieging	wh2_dlc10_def_blood_voyage
blockaded	wh2_dlc10_def_blood_voyage
blockaded	wh2_dlc11_cst_noctilus
blockaded	wh2_dlc11_cst_noctilus_separatists
blockaded	wh2_dlc11_cst_pirates_of_sartosa
blockaded	wh2_dlc11_cst_pirates_of_sartosa_separatists
blockaded	wh2_dlc11_cst_the_drowned
blockaded	wh2_dlc11_cst_the_drowned_separatists
blockaded	wh2_dlc11_cst_vampire_coast
blockaded	wh2_dlc11_cst_vampire_coast_rebellion_rebels
blockaded	wh2_dlc11_cst_vampire_coast_rebels
blockaded	wh2_dlc11_cst_vampire_coast_separatists
blockaded	wh2_dlc11_vmp_the_barrow_legion
blockaded	wh2_main_dwf_greybeards_prospectors
blockaded	wh2_main_dwf_karak_zorn
blockaded	wh2_main_dwf_spine_of_sotek_dwarfs
blockaded	wh2_main_vmp_necrarch_brotherhood
blockaded	wh2_main_vmp_strygos_empire
blockaded	wh2_main_vmp_the_silver_host
blockaded	wh2_main_vmp_vampire_coast
blockaded	wh_main_dwf_barak_varr
blockaded	wh_main_dwf_dwarf_rebels
blockaded	wh_main_dwf_dwarfs
blockaded	wh_main_dwf_karak_azul
blockaded	wh_main_dwf_karak_hirn
blockaded	wh_main_dwf_karak_izor
blockaded	wh_main_dwf_karak_kadrin
blockaded	wh_main_dwf_karak_norn
blockaded	wh_main_dwf_karak_ziflin
blockaded	wh_main_dwf_kraka_drak
blockaded	wh_main_dwf_zhufbar
blockaded	wh_main_vmp_mousillon
blockaded	wh_main_vmp_rival_sylvanian_vamps
blockaded	wh_main_vmp_schwartzhafen
blockaded	wh_main_vmp_vampire_counts
blockaded	wh_main_vmp_vampire_rebels
blockaded	wh_main_vmp_waldenhof
blockading	wh2_dlc10_def_blood_voyage
chaos_territory	wh2_dlc09_rogue_black_creek_raiders
chaos_territory	wh2_dlc09_rogue_dwellers_of_zardok
chaos_territory	wh2_dlc09_rogue_eyes_of_the_jungle
chaos_territory	wh2_dlc09_rogue_pilgrims_of_myrmidia
chaos_territory	wh2_dlc10_def_blood_voyage
chaos_territory	wh2_dlc11_brt_bretonnia_dil
chaos_territory	wh2_dlc11_cst_harpoon_the_sunken_land_corsairs
chaos_territory	wh2_dlc11_cst_rogue_bleak_coast_buccaneers
chaos_territory	wh2_dlc11_cst_rogue_boyz_of_the_forbidden_coast
chaos_territory	wh2_dlc11_cst_rogue_freebooters_of_port_royale
chaos_territory	wh2_dlc11_cst_rogue_grey_point_scuttlers
chaos_territory	wh2_dlc11_cst_rogue_terrors_of_the_dark_straights
chaos_territory	wh2_dlc11_cst_rogue_the_churning_gulf_raiders
chaos_territory	wh2_dlc11_cst_rogue_tyrants_of_the_black_ocean
chaos_territory	wh2_dlc11_cst_shanty_dragon_spine_privateers
chaos_territory	wh2_dlc11_cst_shanty_middle_sea_brigands
