battle_catchment_override_group_battles_tables	2
battle_map_location	group	catchment_name	tile_upgrades
terrain/battles/sasemar_nephalia/	wh2_dlc11_island_desert		
terrain/battles/island_brt_kzd/	wh2_dlc11_island_grassy		
terrain/battles/solitary_island/	wh2_dlc11_island_tropical		
terrain/battles/island_nor_kzd/	wh2_dlc11_island_snowy		
terrain/battles/island_hef_kzd/	wh2_dlc11_island_grassy		
terrain/battles/island_hef_kzd/	wh2_dlc11_island_grassy		
terrain/battles/island_nor_kzd/	wh2_dlc11_island_snowy		
terrain/battles/solitary_island/	wh2_dlc11_island_tropical		
terrain/battles/sea_battle_kzd_tmb/	wh2_dlc11_island_desert		
terrain/battles/island_hef_kzd/	wh2_dlc11_island_grassy		
terrain/battles/tidal_island/	wh2_dlc11_island_rocky		
terrain/battles/rav_naval/	wh2_dlc11_island_rocky		
terrain/battles/caldera_tropical/	wh2_dlc11_island_tropical		
terrain/battles/tidal_island/	wh2_dlc11_island_rocky		
terrain/battles/island_hef_kzd/	wh2_dlc11_island_grassy		
terrain/battles/tidal_island/	wh2_dlc11_island_rocky		
terrain/battles/island_hef_kzd/	wh2_dlc11_island_grassy		
terrain/battles/tidal_island/	wh2_dlc11_island_rocky		
terrain/battles/tidal_island/	wh2_dlc11_island_rocky		
terrain/battles/solitary_island_empire/	wh2_dlc11_island_grassy		
terrain/battles/solitary_island_empire/	wh2_dlc11_island_grassy		
terrain/battles/island_nor_kzd/	wh2_dlc11_island_snowy		
terrain/battles/island_nor_kzd/	wh2_dlc11_island_snowy		
terrain/battles/solitary_island/	wh2_dlc11_island_tropical		
terrain/battles/solitary_island_empire/	wh2_dlc11_island_grassy		
terrain/battles/island_nor_kzd/	wh2_dlc11_island_snowy		
terrain/battles/island_nor_kzd/	wh2_dlc11_island_snowy		
terrain/battles/solitary_island/	wh2_dlc11_island_tropical		
terrain/battles/solitary_island_empire/	wh2_dlc11_island_grassy		
terrain/battles/island_nor_kzd/	wh2_dlc11_island_snowy		
terrain/battles/island_brt_kzd/	wh2_dlc11_island_grassy		
terrain/battles/sea_battle_kzd_tmb/	wh2_dlc11_island_desert		
terrain/battles/solitary_island_empire/	wh2_dlc11_island_grassy		
terrain/battles/sasemar_nephalia/	wh2_dlc11_island_desert		
terrain/battles/island_hef_kzd/	wh2_dlc11_island_grassy		
terrain/battles/sasemar_nephalia/	wh2_dlc11_island_desert		
terrain/battles/tidal_island/	wh2_dlc11_island_rocky		
terrain/battles/caldera_tropical/	wh2_dlc11_island_tropical		
terrain/battles/island_hef_kzd/	wh2_dlc11_island_grassy		
terrain/battles/caldera_tropical/	wh2_dlc11_island_tropical		
terrain/battles/sasemar_nephalia/	wh2_dlc11_island_desert		
terrain/battles/sasemar_nephalia/	wh2_dlc11_island_desert		
terrain/battles/caldera_tropical/	wh2_dlc11_island_tropical		
terrain/battles/solitary_island/	wh2_dlc11_island_tropical		
terrain/battles/island_nor_kzd/	wh2_dlc11_island_snowy		
terrain/battles/island_nor_kzd/	wh2_dlc11_island_snowy		
terrain/battles/rav_naval/	wh2_dlc11_island_rocky		
terrain/battles/island_hef_kzd/	wh2_dlc11_island_grassy		
terrain/battles/island_hef_kzd/	wh2_dlc11_island_grassy		
terrain/battles/tidal_island/	wh2_dlc11_island_rocky		
terrain/battles/solitary_island/	wh2_dlc11_island_tropical		
terrain/battles/caldera_tropical/	wh2_dlc11_island_tropical		
terrain/battles/caldera_tropical/	wh2_dlc11_island_tropical		
terrain/battles/sea_battle_kzd_tmb/	wh2_dlc11_island_desert		
terrain/battles/island_hef_kzd/	wh2_dlc11_island_grassy		
terrain/battles/sea_battle_kzd_tmb/	wh2_dlc11_island_desert		
terrain/battles/tidal_island/	wh2_dlc11_island_rocky		
terrain/battles/tidal_island/	wh2_dlc11_island_rocky		
terrain/battles/solitary_island/	wh2_dlc11_island_tropical		
terrain/battles/caldera_tropical/	wh2_dlc11_island_tropical		
terrain/battles/solitary_island_empire/	wh2_dlc11_island_grassy		
terrain/battles/tidal_island/	wh2_dlc11_island_rocky		
terrain/battles/sasemar_nephalia/	wh2_dlc11_island_desert		
terrain/battles/island_hef_kzd/	wh2_dlc11_island_grassy		
terrain/battles/rav_naval/	wh2_dlc11_island_rocky		
terrain/battles/island_hef_kzd/	wh2_dlc11_island_grassy		
terrain/battles/island_nor_kzd/	wh2_dlc11_island_snowy		
terrain/battles/island_hef_kzd/	wh2_dlc11_island_grassy		
terrain/battles/solitary_island/	wh2_dlc11_island_tropical		
terrain/battles/solitary_island/	wh2_dlc11_island_tropical		
terrain/battles/caldera_tropical/	wh2_dlc11_island_tropical		
