ui_unit_group_parents_tables	1
icon	key	order	mp_cap
cannon	artillery_war_machines	11	6
cavalry	cavalry_chariots	5	9
commander	commander	1	0
wh2_dlc09_tmb_constructs	constructs	8	9
dwf_gyrocopter	flying_war_machine	8	4
hero	heroes_agents	2	2
infantry_sword	infantry	3	0
missile_cavalry_bow	missile_cavalry_chariots	6	5
missile_infantry_bow	missile_infantry	4	9
wh2_main_lzd_dinosaur_missile	missile_monster_beasts	10	4
monstrous_infantry	monster_beasts	7	9
wh2_dlc09_tmb_constructs	rare_constructs_monsters	9	3
giant	rare_monsters_beasts	12	3
