loading_screen_quotes_to_campaigns_tables	2
loading_quote	campaign
wh2_main_hp_campaign_intervention_armies	wh2_main_great_vortex_map_1
wh2_main_hp_campaign_intervention_armies	wh2_main_great_vortex_map_2
wh2_main_hp_campaign_intervention_armies	wh2_main_great_vortex_map_3
wh2_main_hp_campaign_intervention_armies	wh2_main_great_vortex_map_4
wh2_main_hp_campaign_intervention_armies	wh2_main_great_vortex_map_5
wh2_main_hp_campaign_intervention_armies	wh2_main_great_vortex_map_6
wh2_main_hp_campaign_ritual_currency	wh2_main_great_vortex_map_1
wh2_main_hp_campaign_ritual_currency	wh2_main_great_vortex_map_2
wh2_main_hp_campaign_ritual_currency	wh2_main_great_vortex_map_3
wh2_main_hp_campaign_ritual_currency	wh2_main_great_vortex_map_4
wh2_main_hp_campaign_ritual_currency	wh2_main_great_vortex_map_5
wh2_main_hp_campaign_ritual_currency	wh2_main_great_vortex_map_6
wh2_main_hp_campaign_ritual_resource_sites	wh2_main_great_vortex_map_1
wh2_main_hp_campaign_ritual_resource_sites	wh2_main_great_vortex_map_2
wh2_main_hp_campaign_ritual_resource_sites	wh2_main_great_vortex_map_3
wh2_main_hp_campaign_ritual_resource_sites	wh2_main_great_vortex_map_4
wh2_main_hp_campaign_ritual_resource_sites	wh2_main_great_vortex_map_5
wh2_main_hp_campaign_ritual_resource_sites	wh2_main_great_vortex_map_6
wh2_main_hp_campaign_rituals	wh2_main_great_vortex_map_1
wh2_main_hp_campaign_rituals	wh2_main_great_vortex_map_2
wh2_main_hp_campaign_rituals	wh2_main_great_vortex_map_3
wh2_main_hp_campaign_rituals	wh2_main_great_vortex_map_4
wh2_main_hp_campaign_rituals	wh2_main_great_vortex_map_5
wh2_main_hp_campaign_rituals	wh2_main_great_vortex_map_6
wh2_main_hp_campaign_the_great_vortex	wh2_main_great_vortex_map_1
wh2_main_hp_campaign_the_great_vortex	wh2_main_great_vortex_map_2
wh2_main_hp_campaign_the_great_vortex	wh2_main_great_vortex_map_3
wh2_main_hp_campaign_the_great_vortex	wh2_main_great_vortex_map_4
wh2_main_hp_campaign_the_great_vortex	wh2_main_great_vortex_map_5
wh2_main_hp_campaign_the_great_vortex	wh2_main_great_vortex_map_6
wh2_main_hp_campaign_the_rituals_bar	wh2_main_great_vortex_map_1
wh2_main_hp_campaign_the_rituals_bar	wh2_main_great_vortex_map_2
wh2_main_hp_campaign_the_rituals_bar	wh2_main_great_vortex_map_3
wh2_main_hp_campaign_the_rituals_bar	wh2_main_great_vortex_map_4
wh2_main_hp_campaign_the_rituals_bar	wh2_main_great_vortex_map_5
wh2_main_hp_campaign_the_rituals_bar	wh2_main_great_vortex_map_6
wh_main_brt_cha_alberic_bordeleaux	warhammer_map_1_1_norsca
wh_main_brt_cha_alberic_bordeleaux	warhammer_map_1_1_prophet
