resource_cost_pooled_resource_junctions_tables	0
amount	pooled_resource_factor	resource_cost
30	canopic_jars_harvest_organs	wh2_dlc09_resource_cost_tmb_harvest_organs
-100	canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_arcane_item_blue_khepra
-200	canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_arcane_item_enkhils_kanopi
-100	canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_arcane_item_neferras_scrolls_of_mighty_incantations
-50	canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_arcane_item_power_scroll
-200	canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_arcane_item_scroll_of_leeching
-50	canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_arcane_item_scroll_of_shielding
-200	canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_armour_armour_of_dawn
-200	canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_armour_armour_of_eternity
-100	canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_armour_armour_of_the_ages
-100	canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_armour_helmet_of_khsar
-50	canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_armour_mortuary_robes
-300	canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_armour_scorpion_armour
-50	canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_armour_shield_of_ptra
-50	canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_armour_skull_cap_of_the_moon
-800	canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_army_capacity
-100	canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_carrion
-100	canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_enchanted_item_brooch_of_the_great_desert
-100	canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_enchanted_item_death_mask_of_kharnut
-50	canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_enchanted_item_elixir_of_might
-50	canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_enchanted_item_hieratic_jar
-50	canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_enchanted_item_icon_of_rulership
-200	canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_enchanted_item_ouroboros
-50	canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_enchanted_item_potion_of_foolhardiness
-50	canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_enchanted_item_potion_of_speed
-50	canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_enchanted_item_potion_of_strength
-50	canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_enchanted_item_potion_of_toughness
-100	canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_enchanted_item_shroud_of_sokth
-300	canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_enchanted_item_vambraces_of_the_sun
-300	canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_necropolis_knights
-250	canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_nehekhara_horsemen
-200	canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_nehekhara_warriors
-300	canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_talisman_amulet_of_pha_stah
-200	canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_talisman_collar_of_shakkara
-50	canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_talisman_dawnstone
-100	canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_talisman_golden_ankhra
-100	canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_talisman_golden_eye_of_rah_nutt
-100	canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_talisman_obsidian_lodestone
-100	canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_weapon_blade_of_antarhak
-200	canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_weapon_blade_of_mourning_fire
-100	canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_weapon_blade_of_setep
-300	canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_weapon_crook_and_flail_of_radiance
-200	canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_weapon_destroyer_of_eternities
-100	canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_weapon_double_crescent_of_neru
-50	canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_weapon_enchanted_lapis_mace
-50	canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_weapon_fang_of_quaph
-50	canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_weapon_golden_dagger
-50	canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_weapon_inscribed_khopesh
-100	canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_weapon_spear_of_pakth
-100	canopic_jars_technology	wh2_dlc09_tmb_tech_agent_unlock
-150	canopic_jars_technology	wh2_dlc09_tmb_tech_follower_unlock
-200	canopic_jars_technology	wh2_dlc09_tmb_tech_tomb_king_unlock
-300	dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_armour_adamant_plate
-300	dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_armour_anvil_of_the_deep
-30	dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_armour_chainmail_of_speed
-90	dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_armour_forgeproven_gromril_armour
-90	dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_armour_guardians_plate
-30	dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_armour_heavy_gromril_armour
-30	dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_armour_helm_of_courage
-90	dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_armour_helm_of_resistance
-200	dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_armour_helm_of_sanctuary
-90	dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_armour_mail_of_concealment
-200	dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_armour_shield_of_preservation
-30	dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_armour_shield_of_warding
-200	dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_armour_wailing_mail
-30	dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_enchanted_item_belt_of_fortitude
-200	dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_enchanted_item_belt_of_survival
-200	dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_enchanted_item_boots_of_swiftness
-90	dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_enchanted_item_bracers_of_evasion
-30	dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_enchanted_item_bracers_of_preservation
-90	dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_enchanted_item_crown_of_courage
-30	dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_enchanted_item_drinking_horn
-200	dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_enchanted_item_everlasting_pint
