military_force_legacy_names_tables	1
key	subculture	for_army
wh2_dlc09_tmb_legacy_01	wh2_dlc09_sc_tmb_tomb_kings	true
wh2_dlc09_tmb_legacy_navy_01	wh2_dlc09_sc_tmb_tomb_kings	false
wh2_main_def_legacy_01	wh2_main_sc_def_dark_elves	true
wh2_main_def_legacy_navy_01	wh2_main_sc_def_dark_elves	false
wh2_main_hef_legacy_01	wh2_main_sc_hef_high_elves	true
wh2_main_hef_legacy_navy_01	wh2_main_sc_hef_high_elves	false
wh2_main_lzd_legacy_01	wh2_main_sc_lzd_lizardmen	true
wh2_main_lzd_legacy_navy_01	wh2_main_sc_lzd_lizardmen	false
wh2_main_rogue_abominations_01	wh2_main_rogue_abominations	true
wh2_main_rogue_abominations_navy_01	wh2_main_rogue_abominations	false
wh2_main_rogue_beastcatchas_01	wh2_main_rogue_beastcatchas	true
wh2_main_rogue_beastcatchas_navy_01	wh2_main_rogue_beastcatchas	false
wh2_main_rogue_bernhoffs_brigands_01	wh2_main_rogue_bernhoffs_brigands	true
wh2_main_rogue_bernhoffs_brigands_navy_01	wh2_main_rogue_bernhoffs_brigands	false
wh2_main_rogue_black_spider_tribe_01	wh2_main_rogue_black_spider_tribe	true
wh2_main_rogue_black_spider_tribe_navy_01	wh2_main_rogue_black_spider_tribe	false
wh2_main_rogue_boneclubbers_tribe_01	wh2_main_rogue_boneclubbers_tribe	true
wh2_main_rogue_boneclubbers_tribe_navy_01	wh2_main_rogue_boneclubbers_tribe	false
wh2_main_rogue_celestial_storm_01	wh2_main_rogue_celestial_storm	true
wh2_main_rogue_celestial_storm_navy_01	wh2_main_rogue_celestial_storm	false
wh2_main_rogue_college_of_pyrotechnics_legacy_01	wh2_main_rogue_college_of_pyrotechnics	true
wh2_main_rogue_college_of_pyrotechnics_legacy_navy_01	wh2_main_rogue_college_of_pyrotechnics	false
wh2_main_rogue_doomseekers_01	wh2_main_rogue_doomseekers	true
wh2_main_rogue_doomseekers_navy_01	wh2_main_rogue_doomseekers	false
wh2_main_rogue_gerhardts_mercenaries_01	wh2_main_rogue_gerhardts_mercenaries	true
wh2_main_rogue_gerhardts_mercenaries_navy_01	wh2_main_rogue_gerhardts_mercenaries	false
