building_set_to_building_junctions_tables	0
building_chain	building_level	building_set	exclude
	wh2_main_brt_resource_dyes_1	wh2_dlc09_set_brt_dyes_pottery	false
	wh2_main_brt_resource_dyes_2	wh2_dlc09_set_brt_dyes_pottery	false
	wh2_main_brt_resource_dyes_3	wh2_dlc09_set_brt_dyes_pottery	false
	wh2_main_brt_resource_pottery_1	wh2_dlc09_set_brt_dyes_pottery	false
	wh2_main_brt_resource_pottery_2	wh2_dlc09_set_brt_dyes_pottery	false
	wh2_main_brt_resource_pottery_3	wh2_dlc09_set_brt_dyes_pottery	false
	wh2_main_brt_resource_salt_1	wh2_dlc09_set_brt_dyes_pottery	false
	wh2_main_brt_resource_salt_2	wh2_dlc09_set_brt_dyes_pottery	false
	wh2_main_brt_resource_salt_3	wh2_dlc09_set_brt_dyes_pottery	false
	wh2_main_brt_resource_gold_1	wh2_dlc09_set_brt_iron_gold_mines	false
	wh2_main_brt_resource_gold_2	wh2_dlc09_set_brt_iron_gold_mines	false
	wh2_main_brt_resource_gold_3	wh2_dlc09_set_brt_iron_gold_mines	false
	wh2_main_brt_resource_iron_1	wh2_dlc09_set_brt_iron_gold_mines	false
	wh2_main_brt_resource_iron_2	wh2_dlc09_set_brt_iron_gold_mines	false
	wh2_main_brt_resource_iron_3	wh2_dlc09_set_brt_iron_gold_mines	false
	wh2_main_brt_resource_pastures_1	wh2_dlc09_set_brt_stables_pastures	false
	wh2_main_brt_resource_pastures_2	wh2_dlc09_set_brt_stables_pastures	false
	wh2_main_brt_resource_pastures_3	wh2_dlc09_set_brt_stables_pastures	false
	wh_main_brt_stables_1	wh2_dlc09_set_brt_stables_pastures	false
	wh_main_brt_stables_2	wh2_dlc09_set_brt_stables_pastures	false
	wh_main_brt_stables_3	wh2_dlc09_set_brt_stables_pastures	false
	wh_main_brt_stables_4	wh2_dlc09_set_brt_stables_pastures	false
	wh_main_brt_stables_5	wh2_dlc09_set_brt_stables_pastures	false
	wh2_main_brt_resource_timber_1	wh2_dlc09_set_brt_timber	false
	wh2_main_brt_resource_timber_2	wh2_dlc09_set_brt_timber	false
	wh2_main_brt_resource_timber_3	wh2_dlc09_set_brt_timber	false
	wh2_dlc09_tmb_growth_1	wh2_dlc09_set_tomb_kings_basic_infra	false
	wh2_dlc09_tmb_growth_2	wh2_dlc09_set_tomb_kings_basic_infra	false
	wh2_dlc09_tmb_growth_3	wh2_dlc09_set_tomb_kings_basic_infra	false
	wh2_dlc09_tmb_income_1	wh2_dlc09_set_tomb_kings_basic_infra	false
	wh2_dlc09_tmb_income_2	wh2_dlc09_set_tomb_kings_basic_infra	false
	wh2_dlc09_tmb_income_3	wh2_dlc09_set_tomb_kings_basic_infra	false
	wh2_dlc09_tmb_public_order_1	wh2_dlc09_set_tomb_kings_basic_infra	false
	wh2_dlc09_tmb_public_order_2	wh2_dlc09_set_tomb_kings_basic_infra	false
	wh2_dlc09_tmb_public_order_3	wh2_dlc09_set_tomb_kings_basic_infra	false
	wh2_dlc09_tmb_cavalry_1	wh2_dlc09_set_tomb_kings_cavalry	false
	wh2_dlc09_tmb_cavalry_2	wh2_dlc09_set_tomb_kings_cavalry	false
	wh2_dlc09_tmb_cavalry_3	wh2_dlc09_set_tomb_kings_cavalry	false
	wh2_dlc09_tmb_cavalry_4	wh2_dlc09_set_tomb_kings_cavalry	false
	wh2_dlc09_tmb_chariots_1	wh2_dlc09_set_tomb_kings_chariots	false
	wh2_dlc09_tmb_chariots_2	wh2_dlc09_set_tomb_kings_chariots	false
	wh2_dlc09_tmb_chariots_3	wh2_dlc09_set_tomb_kings_chariots	false
	wh2_dlc09_tmb_hierotitan_1	wh2_dlc09_set_tomb_kings_constructs	false
	wh2_dlc09_tmb_necrosphinx_1	wh2_dlc09_set_tomb_kings_constructs	false
	wh2_dlc09_tmb_scorpions_1	wh2_dlc09_set_tomb_kings_constructs	false
	wh2_dlc09_tmb_ushabti_1	wh2_dlc09_set_tomb_kings_constructs	false
	wh2_dlc09_tmb_ushabti_2	wh2_dlc09_set_tomb_kings_constructs	false
	wh2_dlc09_tmb_warsphinx_1	wh2_dlc09_set_tomb_kings_constructs	false
wh2_dlc09_tmb_defence_major		wh2_dlc09_set_tomb_kings_defence	false
wh2_dlc09_tmb_defence_minor		wh2_dlc09_set_tomb_kings_defence	false
wh2_dlc09_tmb_defence_norsca		wh2_dlc09_set_tomb_kings_defence	false
	wh2_dlc09_tmb_citadel_1	wh2_dlc09_set_tomb_kings_economy	false
	wh2_dlc09_tmb_estate_1	wh2_dlc09_set_tomb_kings_economy	false
	wh2_dlc09_tmb_growth_1	wh2_dlc09_set_tomb_kings_economy	false
	wh2_dlc09_tmb_growth_2	wh2_dlc09_set_tomb_kings_economy	false
	wh2_dlc09_tmb_growth_3	wh2_dlc09_set_tomb_kings_economy	false
	wh2_dlc09_tmb_income_1	wh2_dlc09_set_tomb_kings_economy	false
	wh2_dlc09_tmb_income_2	wh2_dlc09_set_tomb_kings_economy	false
	wh2_dlc09_tmb_income_3	wh2_dlc09_set_tomb_kings_economy	false
	wh2_dlc09_tmb_public_order_1	wh2_dlc09_set_tomb_kings_economy	false
	wh2_dlc09_tmb_public_order_2	wh2_dlc09_set_tomb_kings_economy	false
	wh2_dlc09_tmb_public_order_3	wh2_dlc09_set_tomb_kings_economy	false
	wh2_dlc09_tmb_citadel_1	wh2_dlc09_set_tomb_kings_estate_citadel	false
	wh2_dlc09_tmb_estate_1	wh2_dlc09_set_tomb_kings_estate_citadel	false
