faction_to_mercenary_set_junctions_tables	0
faction	mercenary_set
wh2_dlc09_tmb_exiles_of_nehek	wh2_dlc09_tmb_units_of_renown_pool
wh2_dlc09_tmb_followers_of_nagash	wh2_dlc09_tmb_units_of_renown_pool
wh2_dlc09_tmb_khemri	wh2_dlc09_tmb_units_of_renown_pool
wh2_dlc09_tmb_lybaras	wh2_dlc09_tmb_units_of_renown_pool
wh2_dlc11_cst_noctilus	wh2_dlc11_cst_units_of_renown_pool
wh2_dlc11_cst_pirates_of_sartosa	wh2_dlc11_cst_units_of_renown_pool
wh2_dlc11_cst_the_drowned	wh2_dlc11_cst_units_of_renown_pool
wh2_dlc11_cst_vampire_coast	wh2_dlc11_cst_units_of_renown_pool
wh2_dlc11_def_the_blessed_dread	wh2_main_def_units_of_renown_pool
wh2_dlc11_vmp_the_barrow_legion	wh_dlc04_vmp_units_of_renown_pool
wh2_main_def_cult_of_pleasure	wh2_main_def_units_of_renown_pool
wh2_main_def_har_ganeth	wh2_main_def_units_of_renown_pool
wh2_main_def_naggarond	wh2_main_def_units_of_renown_pool
wh2_main_hef_avelorn	wh2_main_hef_units_of_renown_pool
wh2_main_hef_eataine	wh2_main_hef_units_of_renown_pool
wh2_main_hef_nagarythe	wh2_main_hef_units_of_renown_pool
wh2_main_hef_order_of_loremasters	wh2_main_hef_units_of_renown_pool
wh2_main_lzd_hexoatl	wh2_main_lzd_spawnings_pool
wh2_main_lzd_last_defenders	wh2_main_lzd_spawnings_pool
wh2_main_lzd_lizardmen	wh2_main_lzd_spawnings_pool
wh_dlc03_bst_beastmen	wh_dlc03_bst_units_of_renown_pool
wh_dlc05_wef_argwylon	wh_dlc05_wef_units_of_renown_pool
wh_dlc05_wef_wood_elves	wh_dlc05_wef_units_of_renown_pool
wh_dlc08_nor_norsca	wh_dlc08_nor_units_of_renown_pool
wh_dlc08_nor_wintertooth	wh_dlc08_nor_units_of_renown_pool
wh_main_brt_bordeleaux	wh_dlc07_brt_units_of_renown_pool
wh_main_brt_bretonnia	wh_dlc07_brt_units_of_renown_pool
wh_main_brt_carcassonne	wh_dlc07_brt_units_of_renown_pool
wh_main_chs_chaos	wh_dlc01_chs_units_of_renown_pool
wh_main_dwf_dwarfs	wh_dlc06_dwf_units_of_renown_pool
wh_main_dwf_karak_izor	wh_dlc06_dwf_units_of_renown_pool
wh_main_dwf_karak_kadrin	wh_dlc06_dwf_units_of_renown_pool
wh_main_emp_empire	wh_dlc04_emp_units_of_renown_pool
wh_main_grn_crooked_moon	wh_dlc06_grn_units_of_renown_pool
wh_main_grn_greenskins	wh_dlc06_grn_units_of_renown_pool
wh_main_grn_orcs_of_the_bloody_hand	wh_dlc06_grn_units_of_renown_pool
wh_main_vmp_schwartzhafen	wh_dlc04_vmp_units_of_renown_pool
wh_main_vmp_vampire_counts	wh_dlc04_vmp_units_of_renown_pool
