faction_banners_tables	0
key	primary_blue	primary_green	primary_red	secondary_blue	secondary_green	secondary_red	symbol	tertiary_blue	tertiary_green	tertiary_red
att_fact_blue	220	50	50	170	60	60		200	80	80
att_fact_red	50	50	220	60	60	170		80	80	200
att_fact_yellow	50	220	220	60	170	170		80	200	200
wh2_dlc09_rogue_black_creek_raiders	38	38	38	221	221	221		0	0	128
wh2_dlc09_rogue_dwellers_of_zardok	38	38	38	221	221	221		0	0	128
wh2_dlc09_rogue_eyes_of_the_jungle	38	38	38	221	221	221		0	0	128
wh2_dlc09_rogue_pilgrims_of_myrmidia	38	38	38	221	221	221		0	0	128
wh2_dlc09_skv_clan_rictus	142	161	167	11	60	145		0	0	0
wh2_dlc09_skv_clan_rictus_separatists	156	156	156	96	96	96		0	0	0
wh2_dlc09_tmb_dune_kingdoms	80	88	0	0	167	223		0	0	0
wh2_dlc09_tmb_exiles_of_nehek	178	195	200	1	1	184		21	132	186
wh2_dlc09_tmb_followers_of_nagash	47	201	218	45	51	53		0	0	0
wh2_dlc09_tmb_khemri	202	174	92	0	175	230		0	0	0
wh2_dlc09_tmb_lybaras	163	182	186	136	177	85		0	0	0
wh2_dlc09_tmb_numas	37	34	179	196	219	225		0	0	0
wh2_dlc09_tmb_rakaph_dynasty	37	159	215	159	186	96		0	0	0
wh2_dlc09_tmb_the_sentinels	51	49	47	111	140	72		0	0	0
wh2_dlc09_tmb_tomb_kings	202	174	92	0	175	230		0	0	0
wh2_dlc09_tmb_tomb_kings_rebels	48	53	57	0	193	234		0	0	0
wh2_dlc09_tmb_tombking_qb1	48	53	57	0	193	234		0	0	0
wh2_dlc09_tmb_tombking_qb2	48	53	57	0	193	234		0	0	0
wh2_dlc09_tmb_tombking_qb3	48	53	57	0	193	234		0	0	0
wh2_dlc09_tmb_tombking_qb4	48	53	57	0	193	234		0	0	0
wh2_dlc09_tmb_tombking_qb_exiles_of_nehek	178	195	200	1	1	184		21	132	186
wh2_dlc09_tmb_tombking_qb_followers_of_nagash	47	201	218	45	51	53		0	0	0
wh2_dlc09_tmb_tombking_qb_khemri	202	174	92	0	175	230		0	0	0
wh2_dlc09_tmb_tombking_qb_lybaras	163	182	186	136	177	85		0	0	0
wh2_dlc10_def_blood_voyage	52	52	53	97	158	179		191	191	191
wh2_dlc11_brt_bretonnia_dil	178	50	50	50	214	243		50	50	200
wh2_dlc11_cst_harpoon_the_sunken_land_corsairs	38	38	38	221	221	221		242	161	53
wh2_dlc11_cst_noctilus	94	0	182	190	184	190		1	1	1
wh2_dlc11_cst_noctilus_separatists	94	0	182	190	184	190		1	1	1
wh2_dlc11_cst_pirates_of_sartosa	51	204	210	125	136	136		1	1	1
wh2_dlc11_cst_pirates_of_sartosa_separatists	51	204	210	125	136	136		1	1	1
wh2_dlc11_cst_rogue_bleak_coast_buccaneers	38	38	38	221	221	221		242	161	53
wh2_dlc11_cst_rogue_boyz_of_the_forbidden_coast	38	38	38	221	221	221		242	161	53
wh2_dlc11_cst_rogue_freebooters_of_port_royale	38	38	38	221	221	221		242	161	53
wh2_dlc11_cst_rogue_grey_point_scuttlers	38	38	38	221	221	221		242	161	53
wh2_dlc11_cst_rogue_terrors_of_the_dark_straights	38	38	38	221	221	221		242	161	53
wh2_dlc11_cst_rogue_the_churning_gulf_raiders	38	38	38	221	221	221		242	161	53
wh2_dlc11_cst_rogue_tyrants_of_the_black_ocean	38	38	38	221	221	221		242	161	53
wh2_dlc11_cst_shanty_dragon_spine_privateers	38	38	38	221	221	221		165	254	42
wh2_dlc11_cst_shanty_middle_sea_brigands	38	38	38	221	221	221		165	254	42
wh2_dlc11_cst_shanty_shark_straight_seadogs	38	38	38	221	221	221		165	254	42
wh2_dlc11_cst_the_drowned	200	77	51	71	193	116		1	1	1
wh2_dlc11_cst_the_drowned_separatists	135	74	57	234	228	204		1	1	1
wh2_dlc11_cst_vampire_coast	71	51	21	129	161	57		71	51	21
wh2_dlc11_cst_vampire_coast_encounters	71	51	21	129	161	57		71	51	21
wh2_dlc11_cst_vampire_coast_qb1	225	225	225	10	10	50		208	214	175
wh2_dlc11_cst_vampire_coast_qb2	225	225	225	10	10	50		208	214	175
wh2_dlc11_cst_vampire_coast_qb3	225	225	225	10	10	50		208	214	175
wh2_dlc11_cst_vampire_coast_rebellion_rebels	10	39	186	251	251	251		10	39	186
wh2_dlc11_cst_vampire_coast_rebels	20	20	20	200	200	200		71	51	21
wh2_dlc11_cst_vampire_coast_separatists	71	51	21	129	161	57		71	51	21
wh2_dlc11_def_dark_elves_dil	218	204	218	38	38	38		97	158	179
wh2_dlc11_def_the_blessed_dread	115	135	25	45	85	235		16	201	223
wh2_dlc11_def_the_blessed_dread_separatists	115	135	25	45	85	235		16	201	223
wh2_dlc11_emp_empire_dil	243	243	243	50	214	243		50	50	172
wh2_dlc11_emp_empire_qb5	243	243	243	50	214	243		50	50	172
wh2_dlc11_nor_norsca_dil	185	90	165	243	243	243		95	105	160
wh2_dlc11_nor_norsca_qb4	185	90	165	243	243	243		95	105	160
wh2_dlc11_vmp_the_barrow_legion	156	133	95	213	150	38		0	0	0
wh2_main_brt_knights_of_origo	0	0	214	251	255	255		0	0	214
wh2_main_brt_knights_of_the_flame	231	253	255	0	0	188		231	253	255
wh2_main_brt_thegans_crusaders	189	129	79	231	253	255		189	129	79
wh2_main_bst_blooded_axe	1	48	91	0	0	192		1	48	91
wh2_main_bst_blooded_axe_brayherd	1	48	91	0	0	192		1	48	91
wh2_main_bst_manblight	0	0	172	217	217	217		0	0	172
wh2_main_bst_manblight_brayherd	0	0	172	217	217	217		0	0	172
wh2_main_bst_ripper_horn	124	99	112	90	124	130		124	99	112
wh2_main_bst_ripper_horn_brayherd	124	99	112	90	124	130		124	99	112
wh2_main_bst_shadowgor	31	59	89	113	113	113		31	59	89
wh2_main_bst_shadowgor_brayherd	31	59	89	113	113	113		31	59	89
wh2_main_bst_skrinderkin	0	135	225	90	124	130		0	135	225
wh2_main_bst_skrinderkin_brayherd	0	135	225	90	124	130		0	135	225
wh2_main_bst_stone_horn	217	217	217	99	71	55		217	217	217
wh2_main_bst_stone_horn_brayherd	217	217	217	99	71	55		217	217	217
wh2_main_chs_chaos_incursion_def	48	38	50	160	48	112		48	38	50
wh2_main_chs_chaos_incursion_hef	51	40	37	243	238	218		51	40	37
wh2_main_chs_chaos_incursion_lzd	42	49	39	121	121	37		42	49	39
wh2_main_chs_chaos_incursion_skv	38	46	50	6	71	151		38	46	50
wh2_main_def_bleak_holds	77	174	149	230	230	234		97	158	179
wh2_main_def_blood_hall_coven	52	53	68	0	0	116		97	158	179
wh2_main_def_clar_karond	0	0	176	43	62	245		38	38	38
wh2_main_def_cult_of_excess	235	0	201	255	201	245		38	38	38
wh2_main_def_cult_of_pleasure	124	70	171	226	217	228		97	158	179
wh2_main_def_cult_of_pleasure_separatists	126	126	126	60	60	60		0	0	0
wh2_main_def_dark_elves	143	62	146	255	241	225		97	158	179
wh2_main_def_dark_elves_intervention	26	91	125	114	1	102		97	158	179
wh2_main_def_dark_elves_qb1	218	204	218	38	38	38		97	158	179
wh2_main_def_dark_elves_qb2	218	204	218	38	38	38		97	158	179
wh2_main_def_dark_elves_qb3	218	204	218	38	38	38		97	158	179
wh2_main_def_dark_elves_qb4	218	204	218	38	38	38		97	158	179
wh2_main_def_dark_elves_rebels	218	204	218	38	38	38		97	158	179
wh2_main_def_deadwood_sentinels	204	213	199	128	128	0		191	191	191
wh2_main_def_drackla_coven	164	117	67	38	38	38		191	191	191
wh2_main_def_ghrond	188	94	89	31	198	237		97	158	179
wh2_main_def_hag_graef	195	95	201	0	0	192		191	191	191
wh2_main_def_har_ganeth	52	52	53	97	158	179		191	191	191
wh2_main_def_har_ganeth_separatists	0	0	0	0	0	0		0	0	0
wh2_main_def_karond_kar	128	196	95	128	128	0		97	158	179
wh2_main_def_naggarond	143	62	146	255	241	225		97	158	179
wh2_main_def_naggarond_separatists	104	104	104	36	36	36		0	0	0
wh2_main_def_scourge_of_khaine	0	121	255	38	38	38		97	158	179
wh2_main_def_ssildra_tor	0	0	231	0	0	116		191	191	191
wh2_main_def_the_forgebound	203	89	152	97	158	179		97	158	179
wh2_main_dwf_greybeards_prospectors	217	217	217	38	38	38		2	186	244
wh2_main_dwf_karak_zorn	0	0	170	223	229	237		172	176	55
wh2_main_dwf_spine_of_sotek_dwarfs	156	100	60	151	189	196		59	104	59
wh2_main_emp_new_world_colonies	0	0	214	68	209	253		251	255	255
wh2_main_emp_pirates_of_sartosa	54	39	16	251	255	255		54	39	16
wh2_main_emp_sudenburg	0	0	188	231	253	255		71	51	21
wh2_main_grn_arachnos	82	120	75	0	234	240		0	0	0
wh2_main_grn_arachnos_waaagh	82	120	75	0	234	240		0	0	0
wh2_main_grn_blue_vipers	126	188	194	255	177	1		0	0	0
wh2_main_grn_blue_vipers_waaagh	126	188	194	255	177	1		0	0	0
wh2_main_hef_avelorn	150	224	116	0	0	255		150	224	116
wh2_main_hef_caledor	35	39	219	80	208	146		35	39	219
wh2_main_hef_chrace	35	39	219	242	242	242		35	39	219
wh2_main_hef_citadel_of_dusk	225	141	159	19	98	203		38	38	38
wh2_main_hef_cothique	104	111	53	2	168	220		244	232	144
wh2_main_hef_eataine	242	242	242	190	110	30		0	0	195
wh2_main_hef_ellyrion	213	159	205	242	242	242		230	0	186
wh2_main_hef_fortress_of_dawn	232	222	183	10	147	240		38	38	38
wh2_main_hef_high_elves	242	242	242	190	110	30		0	0	195
wh2_main_hef_high_elves_intervention	242	242	242	12	12	12		38	57	205
wh2_main_hef_high_elves_qb1	235	152	96	11	197	255		213	141	83
wh2_main_hef_high_elves_qb2	235	152	96	11	197	255		213	141	83
wh2_main_hef_high_elves_qb3	235	152	96	11	197	255		213	141	83
wh2_main_hef_high_elves_qb4	235	152	96	11	197	255		213	141	83
wh2_main_hef_high_elves_rebels	235	152	96	11	197	255		213	141	83
wh2_main_hef_nagarythe	0	51	51	155	255	255		29	52	189
