mortuary_cult_categories_to_rituals_tables	0
mortuary_category	ritual
wh2_dlc09_arcane_items	wh2_dlc09_ritual_crafting_tmb_arcane_item_blue_khepra
wh2_dlc09_arcane_items	wh2_dlc09_ritual_crafting_tmb_arcane_item_enkhils_kanopi
wh2_dlc09_arcane_items	wh2_dlc09_ritual_crafting_tmb_arcane_item_neferras_scrolls_of_mighty_incantations
wh2_dlc09_arcane_items	wh2_dlc09_ritual_crafting_tmb_arcane_item_power_scroll
wh2_dlc09_arcane_items	wh2_dlc09_ritual_crafting_tmb_arcane_item_scroll_of_leeching
wh2_dlc09_arcane_items	wh2_dlc09_ritual_crafting_tmb_arcane_item_scroll_of_shielding
wh2_dlc09_armour	wh2_dlc09_ritual_crafting_tmb_armour_armour_of_dawn
wh2_dlc09_armour	wh2_dlc09_ritual_crafting_tmb_armour_armour_of_eternity
wh2_dlc09_armour	wh2_dlc09_ritual_crafting_tmb_armour_armour_of_the_ages
wh2_dlc09_armour	wh2_dlc09_ritual_crafting_tmb_armour_helmet_of_khsar
wh2_dlc09_armour	wh2_dlc09_ritual_crafting_tmb_armour_mortuary_robes
wh2_dlc09_armour	wh2_dlc09_ritual_crafting_tmb_armour_scorpion_armour
wh2_dlc09_armour	wh2_dlc09_ritual_crafting_tmb_armour_shield_of_ptra
wh2_dlc09_armour	wh2_dlc09_ritual_crafting_tmb_armour_skull_cap_of_the_moon
wh2_dlc09_enchanted_items	wh2_dlc09_ritual_crafting_tmb_enchanted_item_brooch_of_the_great_desert
wh2_dlc09_enchanted_items	wh2_dlc09_ritual_crafting_tmb_enchanted_item_death_mask_of_kharnut
wh2_dlc09_enchanted_items	wh2_dlc09_ritual_crafting_tmb_enchanted_item_elixir_of_might
wh2_dlc09_enchanted_items	wh2_dlc09_ritual_crafting_tmb_enchanted_item_hieratic_jar
wh2_dlc09_enchanted_items	wh2_dlc09_ritual_crafting_tmb_enchanted_item_icon_of_rulership
wh2_dlc09_enchanted_items	wh2_dlc09_ritual_crafting_tmb_enchanted_item_ouroboros
wh2_dlc09_enchanted_items	wh2_dlc09_ritual_crafting_tmb_enchanted_item_potion_of_foolhardiness
wh2_dlc09_enchanted_items	wh2_dlc09_ritual_crafting_tmb_enchanted_item_potion_of_speed
wh2_dlc09_enchanted_items	wh2_dlc09_ritual_crafting_tmb_enchanted_item_potion_of_strength
wh2_dlc09_enchanted_items	wh2_dlc09_ritual_crafting_tmb_enchanted_item_potion_of_toughness
wh2_dlc09_enchanted_items	wh2_dlc09_ritual_crafting_tmb_enchanted_item_shroud_of_sokth
wh2_dlc09_enchanted_items	wh2_dlc09_ritual_crafting_tmb_enchanted_item_vambraces_of_the_sun
wh2_dlc09_regiments_of_renown	wh2_dlc09_ritual_crafting_tmb_army_capacity
