unit_set_unit_attribute_junctions_tables	0
key	unit_attribute	unit_set
def_enable_fear_blackguard	causes_fear	def_blackguard
def_enable_fear_corsairs	stalk	def_corsairs
def_enable_fear_shades	causes_fear	def_shades
def_enable_stable_corsairs	causes_fear	def_corsairs
lzd_astromancy_guerilla_units_deploy	guerrilla_deploy	lzd_astromancy_stance_guerilla_units
lzd_enable_terror_blessed_kroxigors	causes_terror	wh2_main_lzd_mon_kroxigors_blessed
wh2_dlc09_tmb_chariots_guerilla_deploy	guerrilla_deploy	wh2_dlc09_tmb_chariots
wh2_dlc11_cst_monsters_guerilla_deploy	guerrilla_deploy	wh2_dlc11_cst_rite_vanguard_monsters
wh2_dlc12_effect_attribute_expendable_skv_clanrats	expendable	skv_clanrats
wh2_dlc12_skaven_doomflayer_character_stalker	stalk	wh2_dlc12_skv_cha_doomflayer
wh2_dlc12_skaven_doomflayer_vanguard_deployment	guerrilla_deploy	wh2_dlc12_skv_doomflayers
wh2_dlc12_skaven_doomwheel_character_perfect_vigour	fatigue_immune	wh2_dlc12_skv_cha_doomwheel
wh2_dlc12_skaven_doomwheel_strider	ignore_forest_penalties	skv_doomwheel
wh2_dlc12_skaven_jezzail_stalker	stalk	wh2_dlc12_skv_jezzail
wh2_main_hef_moranions_wayshard	guerrilla_deploy	wh2_main_hef_moranions_wayshard
