effect_bonus_value_unit_set_unit_attribute_junctions_tables	0
bonus_value_id	effect	unit_set_attribute
enable	wh2_dlc09_effect_battle_vanguard_tmb_chariots	wh2_dlc09_tmb_chariots_guerilla_deploy
enable	wh2_dlc11_effect_corsair_fear	def_enable_fear_corsairs
enable	wh2_dlc11_effect_corsair_stalk	def_enable_stable_corsairs
enable	wh2_dlc11_effect_rite_vanguard_monsters	wh2_dlc11_cst_monsters_guerilla_deploy
enable	wh2_main_effect_army_hef_guerrilla_deployment	wh2_main_hef_moranions_wayshard
enable	wh2_main_effect_army_lzd_guerrilla_deployment	lzd_astromancy_guerilla_units_deploy
enable	wh2_main_effect_unit_attribute_enable_fear_blackguard	def_enable_fear_blackguard
enable	wh2_main_effect_unit_stat_enable_fear_shades	def_enable_fear_shades
enable	wh2_main_spawning_blessed_kroxigors_cause_terror	lzd_enable_terror_blessed_kroxigors
