technology_ui_groups_to_technology_nodes_junctions_tables	2
bottom_right_node	tech_ui_group	top_left_node	optional_top_right_node	optional_bottom_left_node
tech_cst_command_06	cst_1	tech_cst_command_05		
tech_cst_firearms_08	cst_2	tech_cst_firearms_01		
tech_cst_vampiric_12	cst_3	tech_cst_vampiric_01		
tech_cst_admirals_04	cst_5	tech_cst_admirals_01		
tech_hef_0_10	hef_0	tech_hef_0_01		
tech_hef_1_10	hef_1	tech_hef_1_01		
tech_hef_2_09	hef_2	tech_hef_2_01		
tech_hef_3_09	hef_3	tech_hef_3_01		
tech_hef_4_12	hef_4	tech_hef_4_01		
tech_hef_5_08	hef_5	tech_hef_5_01		
tech_lzd_8_4	lzd_1	tech_lzd_1_4		
tech_lzd_8_7	lzd_2	tech_lzd_1_7		
tech_dlc09_tmb_campaign_bonus_1_3	tmb_1	tech_dlc09_tmb_tomb_king_1	tech_dlc09_tmb_liche_priest_1	tech_dlc09_tmb_faction_target_1
tech_dlc09_tmb_campaign_bonus_2_3	tmb_2	tech_dlc09_tmb_tomb_king_2	tech_dlc09_tmb_necrotect_2	tech_dlc09_tmb_faction_target_2
tech_dlc09_tmb_campaign_bonus_3_3	tmb_3	tech_dlc09_tmb_tomb_king_3	tech_dlc09_tmb_tomb_prince_3	tech_dlc09_tmb_faction_target_3
tech_dlc09_tmb_campaign_bonus_4_3	tmb_4	tech_dlc09_tmb_tomb_king_4	tech_dlc09_tmb_necrotect_4	tech_dlc09_tmb_faction_target_4
tech_dlc09_tmb_campaign_bonus_5_3	tmb_5	tech_dlc09_tmb_tomb_king_5	tech_dlc09_tmb_liche_priest_5	tech_dlc09_tmb_faction_target_5
tech_dlc09_tmb_campaign_bonus_6_3	tmb_6	tech_dlc09_tmb_tomb_king_6	tech_dlc09_tmb_tomb_prince_6	tech_dlc09_tmb_faction_target_6
tech_dlc09_tmb_legions_of_legend	tmb_7	tech_dlc09_tmb_extra_army_1	tech_dlc09_tmb_legions_of_legend	tech_dlc09_tmb_extra_army_7
